# Bin vel(km/s) disp(km/s) chi2/DOF dV dsigma
0 151 2.382592229273733153e+02 9.258724206701217652e-01 7.149479519092911239e+00 7.492587305277136345e+00
1 143 2.546526513731092507e+02 1.066424658693067906e+00 7.428084229046515219e+00 7.546759540788076315e+00
2 143 2.320164413375453876e+02 1.015119683505771642e+00 7.015637920605141353e+00 7.371266379046205408e+00
3 155 2.565454117000278984e+02 1.041535264467178701e+00 7.408089448147766376e+00 7.630701038754758692e+00
4 165 2.298335711939472503e+02 1.353579527674446670e+00 6.589233952125014504e+00 6.936561933443464945e+00
5 155 1.977515558684450809e+02 1.303358675684354706e+00 6.128420322218071981e+00 6.602817622164028677e+00
6 131 2.146493989611180950e+02 1.529369416849629681e+00 1.200439361344103517e+01 1.295872307411854685e+01
7 130 2.120914615645641561e+02 1.488706957625049565e+00 1.239938832058865614e+01 1.301979889908316146e+01
8 161 2.270149153220852440e+02 1.405523900734217291e+00 6.343449548111083303e+00 6.676597085944401933e+00
9 154 2.509131016017672380e+02 1.136104157968694794e+00 6.873520757624337563e+00 7.241201150093485417e+00
10 142 2.316894717490081632e+02 1.200840367126974728e+00 6.812221200798656007e+00 6.864469656136993336e+00
11 165 2.173641428721086015e+02 1.436033395654517708e+00 1.359901626195684088e+01 1.405128298742868331e+01
12 158 2.428715646290678762e+02 1.331838707573842928e+00 6.192355799915508996e+00 6.398016275294784450e+00
13 193 2.260947263577154160e+02 1.481902027520028753e+00 1.312751998623111227e+01 1.417415049600856314e+01
14 158 2.390729902146843528e+02 1.223749621417679956e+00 5.347023319306350331e+00 5.639894742269298433e+00
15 141 2.487745162244642074e+02 1.024951053377379573e+00 6.663840439877006361e+00 6.992278911545110276e+00
16 166 2.353093347642387982e+02 9.080719926853488833e-01 7.181696725774726175e+00 7.746791960753126816e+00
17 119 2.107086410772862450e+02 1.624838108896608402e+00 1.223969843873578256e+01 1.301373699091099922e+01
18 148 2.336287606824712952e+02 1.097520196026074979e+00 6.974846732042793818e+00 7.315121688359545793e+00
19 154 2.459111666611623264e+02 1.054750943442394506e+00 7.068872990409478696e+00 7.333840284472833204e+00
20 151 2.233312830256111567e+02 1.446381188905835113e+00 5.546475602567996432e+00 5.907945010711044276e+00
21 158 2.383296454898813010e+02 1.303929699512032858e+00 5.715880423084486850e+00 5.906142390932872743e+00
22 191 2.241116488595506553e+02 1.436374670444708679e+00 1.388058917220313937e+01 1.380211840586918015e+01
23 152 2.431406301942790833e+02 1.447859581523957662e+00 1.153031148622910784e+01 1.200750212337759137e+01
24 154 2.250619954412628658e+02 1.338100078079221822e+00 6.340424124893566216e+00 6.207172573949754302e+00
25 163 2.152527643892225058e+02 1.354775603805148165e+00 7.505599232019482869e+00 8.022662252119014070e+00
26 146 2.247567098826017116e+02 1.669493522360058435e+00 1.166756020056988774e+01 1.214021128205546063e+01
27 136 2.392501565362025531e+02 1.551841488077750242e+00 1.527969761417132588e+01 1.556928422228969389e+01
