# Bin vel(km/s) disp(km/s) chi2/DOF dV dsigma
0 152 2.410336766389513627e+02 9.341531220948706693e-01 7.274790216453559388e+00 7.515289065699516158e+00
1 150 2.568280989874793931e+02 1.515277404695844377e+00 3.961923052054691752e+00 4.082265032658520809e+00
2 157 2.451451519510368939e+02 1.480076417572487424e+00 3.599161898837911711e+00 3.772573281852988458e+00
3 148 2.445176665753187990e+02 1.384758513291488136e+00 3.637424585174879876e+00 3.692917969178494797e+00
4 158 2.207298269230025767e+02 1.326667225134163575e+00 3.980907904207410919e+00 3.824509402583094353e+00
5 148 2.257247883184116688e+02 1.413284160468165851e+00 4.644244456834778489e+00 4.878696581206711791e+00
6 164 2.361794250157525994e+02 1.332130437778918930e+00 5.532585402792417284e+00 5.682021475729961857e+00
7 168 2.226351141531668247e+02 1.135685222578760145e+00 5.731232987574261806e+00 6.016571096269678343e+00
8 157 2.239526029468863157e+02 1.242280581242213744e+00 7.033583399468973596e+00 7.408359075736746568e+00
9 144 2.063022663113395083e+02 1.241493242055037527e+00 7.950170098575537914e+00 8.525458340649270994e+00
10 128 2.154542210532819979e+02 1.227797019790896726e+00 9.914976015540293730e+00 1.056043225663080953e+01
11 147 2.495959226126714725e+02 1.280547248969879925e+00 1.390200921413089752e+01 1.437506224404572563e+01
12 142 2.271063032188229727e+02 1.261319522044091146e+00 1.388588558363765024e+01 1.482097125492711953e+01
13 149 2.540154766856725814e+02 1.289743764612725441e+00 2.039964697421021356e+01 2.003542148700780601e+01
14 208 2.302500826712973492e+02 1.296165043364508662e+00 2.592373385602004987e+01 2.801219411826675554e+01
15 340 2.799646484243986606e+02 1.093507582177699389e+00 1.099229076702504813e+02 9.214089598177008611e+01
