# Surface Potential(M_sun/pc²) Sigma Potential(arcsec) qObs
10042085062.805735		   0.000116   0.320000
2521239733.611656		   0.000270   0.320000
649216023.672279		   0.000622   0.320000
169816676.003642		   0.001421   0.320000
45096813.579516		   0.003217   0.320000
12149868.402196		   0.007219   0.320000
3317682.118143		   0.016072   0.320000
917156.940883		   0.035522   0.320000
256355.022639		   0.077970   0.320000
72321.077171		   0.169880   0.320000
20519.379036		   0.366293   0.320000
5759.258620		   0.775359   0.320000
1515.735593		   1.609619   0.320000
380.215063		   3.352283   0.320000
 98.823968		   7.991475   0.320000
