# Vel [km/s] 	 Disp [km/s]
1.37367e+02 	 2.22366e+02
1.40510e+02 	 2.17462e+02
1.44304e+02 	 2.18011e+02
1.49855e+02 	 2.34049e+02
1.37149e+02 	 2.21465e+02
1.51921e+02 	 2.19408e+02
1.45027e+02 	 2.22554e+02
1.37061e+02 	 2.37072e+02
1.33759e+02 	 2.25778e+02
1.45202e+02 	 2.18761e+02
1.43554e+02 	 2.29003e+02
1.45346e+02 	 2.24324e+02
1.40729e+02 	 2.32050e+02
1.38503e+02 	 2.31050e+02
1.34134e+02 	 2.42872e+02
1.47490e+02 	 2.25248e+02
1.46704e+02 	 2.18918e+02
1.39186e+02 	 2.23779e+02
1.40435e+02 	 2.33075e+02
1.30642e+02 	 2.20633e+02
1.37050e+02 	 2.31648e+02
1.51452e+02 	 2.24736e+02
1.44970e+02 	 2.41478e+02
1.33384e+02 	 2.24080e+02
1.41729e+02 	 2.49317e+02
1.42909e+02 	 2.34157e+02
1.48306e+02 	 2.19808e+02
1.43048e+02 	 2.23470e+02
1.44770e+02 	 2.26144e+02
1.50548e+02 	 2.29218e+02
1.50877e+02 	 2.37446e+02
1.48558e+02 	 2.21858e+02
1.52694e+02 	 2.37625e+02
1.34183e+02 	 2.19068e+02
1.33010e+02 	 2.27213e+02
1.43256e+02 	 2.19826e+02
1.38858e+02 	 2.25398e+02
1.44040e+02 	 2.34331e+02
1.45481e+02 	 2.22609e+02
1.50092e+02 	 2.29287e+02
1.40218e+02 	 2.30806e+02
1.50066e+02 	 2.26636e+02
1.42551e+02 	 2.25763e+02
1.45757e+02 	 2.30417e+02
1.39790e+02 	 2.34955e+02
1.37292e+02 	 2.17201e+02
1.45314e+02 	 2.41033e+02
1.45278e+02 	 2.30580e+02
1.42709e+02 	 2.32405e+02
1.26866e+02 	 2.24377e+02
1.45924e+02 	 2.25401e+02
1.43291e+02 	 2.17126e+02
1.54906e+02 	 2.18746e+02
1.43813e+02 	 2.22220e+02
1.38045e+02 	 2.30067e+02
1.43100e+02 	 2.32859e+02
1.36951e+02 	 2.23739e+02
1.40402e+02 	 2.29912e+02
1.38369e+02 	 2.23837e+02
1.33181e+02 	 2.31612e+02
1.37866e+02 	 2.24657e+02
1.33569e+02 	 2.18523e+02
1.43483e+02 	 2.32335e+02
1.38414e+02 	 2.23215e+02
1.30933e+02 	 2.31493e+02
1.37938e+02 	 2.24243e+02
1.36921e+02 	 2.24477e+02
1.43230e+02 	 2.24913e+02
1.48439e+02 	 2.27730e+02
1.41864e+02 	 2.27491e+02
1.49781e+02 	 2.16716e+02
1.38184e+02 	 2.20096e+02
1.36958e+02 	 2.30735e+02
1.39122e+02 	 2.30268e+02
1.33290e+02 	 2.31011e+02
1.43216e+02 	 2.20377e+02
1.25605e+02 	 2.28804e+02
1.46823e+02 	 2.32153e+02
1.45424e+02 	 2.27329e+02
1.47786e+02 	 2.35276e+02
1.50524e+02 	 2.27853e+02
1.32026e+02 	 2.22845e+02
1.60282e+02 	 2.31210e+02
1.31503e+02 	 2.35580e+02
1.45969e+02 	 2.29030e+02
1.45206e+02 	 2.23854e+02
1.52601e+02 	 2.23697e+02
1.48389e+02 	 2.35467e+02
1.34400e+02 	 2.33249e+02
1.36106e+02 	 2.24673e+02
1.48954e+02 	 2.23647e+02
1.46157e+02 	 2.17943e+02
1.33289e+02 	 2.23210e+02
1.50277e+02 	 2.17700e+02
1.48345e+02 	 2.32251e+02
1.41410e+02 	 2.30178e+02
1.32629e+02 	 2.29275e+02
1.33525e+02 	 2.17948e+02
1.40312e+02 	 2.39076e+02
