# Vel [km/s] 	 Disp [km/s]
1.56860e+02 	 2.45580e+02
1.39460e+02 	 2.49136e+02
1.49503e+02 	 2.36655e+02
1.55878e+02 	 2.13103e+02
1.46435e+02 	 2.05386e+02
1.42251e+02 	 2.24577e+02
1.42220e+02 	 2.36512e+02
1.43832e+02 	 2.24572e+02
1.50356e+02 	 2.31514e+02
1.41807e+02 	 2.27793e+02
1.48775e+02 	 2.35335e+02
1.48499e+02 	 2.00611e+02
1.56735e+02 	 2.24712e+02
1.54608e+02 	 2.23566e+02
1.56074e+02 	 2.36961e+02
1.44377e+02 	 2.47295e+02
1.43941e+02 	 2.42737e+02
1.58428e+02 	 2.41750e+02
1.54064e+02 	 2.50493e+02
1.38698e+02 	 2.28344e+02
1.36071e+02 	 2.25225e+02
1.49964e+02 	 2.16082e+02
1.56311e+02 	 2.36556e+02
1.45862e+02 	 2.29701e+02
1.62453e+02 	 2.57511e+02
1.48243e+02 	 2.19265e+02
1.65040e+02 	 2.23687e+02
1.56815e+02 	 2.34396e+02
1.45768e+02 	 2.26266e+02
1.50069e+02 	 2.37768e+02
1.64582e+02 	 2.20072e+02
1.48066e+02 	 2.31819e+02
1.52255e+02 	 2.27335e+02
1.58415e+02 	 2.44447e+02
1.54651e+02 	 2.49470e+02
1.51377e+02 	 2.42106e+02
1.49640e+02 	 2.53613e+02
1.53882e+02 	 2.35390e+02
1.53083e+02 	 2.23968e+02
1.56771e+02 	 2.29957e+02
1.49813e+02 	 2.26461e+02
1.44322e+02 	 2.33586e+02
1.45141e+02 	 2.33787e+02
1.49024e+02 	 2.41635e+02
1.28609e+02 	 2.43364e+02
1.37513e+02 	 2.24741e+02
1.53048e+02 	 2.40281e+02
1.43695e+02 	 2.27507e+02
1.51289e+02 	 2.31995e+02
1.33643e+02 	 2.31392e+02
1.45942e+02 	 2.23832e+02
1.61876e+02 	 2.34201e+02
1.39392e+02 	 2.37157e+02
1.50792e+02 	 2.45451e+02
1.54770e+02 	 2.38767e+02
1.32329e+02 	 2.42865e+02
1.35953e+02 	 2.32293e+02
1.38210e+02 	 2.33496e+02
1.49888e+02 	 2.36734e+02
1.67558e+02 	 2.24659e+02
1.49901e+02 	 2.42373e+02
1.56305e+02 	 2.39729e+02
1.34902e+02 	 2.32292e+02
1.48999e+02 	 2.43029e+02
1.49084e+02 	 2.48509e+02
1.56335e+02 	 2.45892e+02
1.59596e+02 	 2.38255e+02
1.46486e+02 	 2.55088e+02
1.39438e+02 	 2.23393e+02
1.63208e+02 	 2.43060e+02
1.56329e+02 	 2.24349e+02
1.50621e+02 	 2.30737e+02
1.51135e+02 	 2.25654e+02
1.37787e+02 	 2.30568e+02
1.45921e+02 	 2.22419e+02
1.49820e+02 	 2.36346e+02
1.48072e+02 	 2.35015e+02
1.63878e+02 	 2.39021e+02
1.43296e+02 	 2.23884e+02
1.51572e+02 	 2.27836e+02
1.45835e+02 	 2.35738e+02
1.54352e+02 	 2.23624e+02
1.55589e+02 	 2.27976e+02
1.57022e+02 	 2.49439e+02
1.24738e+02 	 2.24429e+02
1.40852e+02 	 2.35344e+02
1.50565e+02 	 2.58149e+02
1.49107e+02 	 2.37501e+02
1.55027e+02 	 2.34871e+02
