# Bin vel(km/s) disp(km/s) chi2/DOF dV dsigma
0 136 2.414821767302000808e+02 1.099352007018163935e+00 9.673934099628160865e+00 1.035166942473144402e+01
1 139 2.231090764014367380e+02 1.266346769057506982e+00 7.501654472304636556e+00 7.295250247589042836e+00
2 141 2.258484929769410599e+02 1.365002753975081529e+00 6.060723478337476600e+00 7.528695350779859297e+00
3 142 2.081175919435157766e+02 1.367840098247909530e+00 7.919350760626408636e+00 8.968424490087020473e+00
4 159 2.112607739734390577e+02 1.365834764391773426e+00 1.206341422663652097e+01 1.118964642029048662e+01
5 181 2.475409506065951177e+02 1.180803161460803441e+00 1.292843608336565531e+01 1.634167216459206884e+01
6 141 1.828983017268269009e+02 1.226290773559318037e+00 1.227759709731544291e+01 1.501131940457647040e+01
7 68 4.070749785642725556e+02 1.290271679874997357e+00 2.756452303506738488e+01 4.450835105367460898e+01
8 163 2.232458120411259586e+02 1.412260649154535086e+00 2.246405736893410676e+01 2.940916141213735457e+01
9 228 2.054747163196765598e+02 1.234380915271096502e+00 3.501396749774789185e+01 4.154904320126460249e+01
10 230 7.409101113011612938e+01 1.240308247363715921e+00 4.087484327478364321e+01 7.295588589567111626e+01
