# R[arcsec] 	 Vrms[km/s] 	 Erms[Km/s]
1.000000e-01 	 2.455660e+02 	 9.938908e+00
4.242641e-01 	 2.371295e+02 	 6.155793e+00
3.399346e-01 	 2.427659e+02 	 6.940435e+00
2.981424e-01 	 2.496180e+02 	 7.064780e+00
1.157980e+00 	 2.324692e+02 	 7.054432e+00
1.240474e+00 	 2.274164e+02 	 6.275952e+00
6.449806e-01 	 2.282388e+02 	 8.588819e+00
1.484369e+00 	 2.358362e+02 	 5.496494e+00
5.215362e-01 	 2.383069e+02 	 6.603953e+00
2.236068e-01 	 2.492265e+02 	 9.698036e+00
5.656854e-01 	 2.432687e+02 	 1.228165e+01
1.341310e+00 	 2.258165e+02 	 9.076611e+00
5.315073e-01 	 2.381846e+02 	 1.017235e+01
6.000000e-01 	 2.433787e+02 	 1.011046e+01
1.345529e+00 	 2.476339e+02 	 5.577056e+00
1.331401e+00 	 1.877150e+02 	 6.378734e+00
1.489685e+00 	 2.513892e+02 	 6.550491e+00
