CMDLINE mpiexec --oversubscribe -n 6 python run.py
MEM 0.933594 1616609987.6680
MEM 58.175781 1616609987.7807
MEM 114.050781 1616609987.8961
MEM 183.253906 1616609988.0031
MEM 260.062500 1616609988.1159
MEM 290.488281 1616609988.2259
MEM 322.574219 1616609988.3350
MEM 357.386719 1616609988.4436
MEM 365.507812 1616609988.5538
MEM 374.175781 1616609988.6668
MEM 407.289062 1616609988.7748
MEM 416.570312 1616609988.8902
MEM 451.203125 1616609988.9984
MEM 479.105469 1616609989.1132
MEM 491.238281 1616609989.2230
MEM 523.843750 1616609989.3352
MEM 536.171875 1616609989.4521
MEM 539.843750 1616609989.5656
MEM 543.160156 1616609989.6796
MEM 545.890625 1616609989.7943
MEM 548.281250 1616609989.9065
MEM 550.722656 1616609990.0168
MEM 560.273438 1616609990.1302
MEM 567.035156 1616609990.2428
MEM 576.710938 1616609990.3591
MEM 582.449219 1616609990.4725
MEM 588.566406 1616609990.5853
MEM 599.277344 1616609990.7022
MEM 608.531250 1616609990.8135
MEM 615.085938 1616609990.9249
MEM 619.859375 1616609991.0369
MEM 631.089844 1616609991.1530
MEM 641.261719 1616609991.2628
MEM 648.710938 1616609991.3728
MEM 651.476562 1616609991.4853
MEM 654.871094 1616609991.5959
MEM 655.574219 1616609991.7093
MEM 669.796875 1616609991.8166
MEM 678.410156 1616609991.9276
MEM 688.578125 1616609992.0378
MEM 693.945312 1616609992.1473
MEM 695.957031 1616609992.2558
MEM 727.179688 1616609992.3720
MEM 730.828125 1616609992.4792
MEM 735.707031 1616609992.5891
MEM 743.628906 1616609992.7059
MEM 752.160156 1616609992.8237
MEM 758.750000 1616609992.9372
MEM 783.585938 1616609993.0492
MEM 791.171875 1616609993.1618
MEM 795.324219 1616609993.2696
MEM 797.117188 1616609993.3774
MEM 801.679688 1616609993.4865
MEM 805.855469 1616609993.5975
MEM 814.472656 1616609993.7094
MEM 821.429688 1616609993.8212
MEM 826.507812 1616609993.9344
MEM 832.667969 1616609994.0463
MEM 842.976562 1616609994.1554
MEM 850.933594 1616609994.2655
MEM 855.597656 1616609994.3764
MEM 861.816406 1616609994.4870
MEM 871.371094 1616609994.5975
MEM 875.851562 1616609994.7125
MEM 878.160156 1616609994.8287
MEM 881.343750 1616609994.9388
MEM 998.503906 1616609995.0524
MEM 1044.050781 1616609995.1678
MEM 1097.207031 1616609995.2778
MEM 1108.019531 1616609995.3855
MEM 1127.636719 1616609995.4994
MEM 1146.476562 1616609995.6084
MEM 1167.042969 1616609995.7211
MEM 1187.363281 1616609995.8330
MEM 1188.164062 1616609995.9456
MEM 1191.000000 1616609996.0589
MEM 1208.031250 1616609996.1700
MEM 1218.320312 1616609996.2803
MEM 1218.320312 1616609996.3904
MEM 1220.601562 1616609996.4989
MEM 1232.039062 1616609996.6089
MEM 1236.699219 1616609996.7212
MEM 1241.089844 1616609996.8357
MEM 1245.292969 1616609996.9489
MEM 1248.078125 1616609997.0620
MEM 1251.019531 1616609997.1729
MEM 1252.285156 1616609997.2879
MEM 1254.074219 1616609997.4018
MEM 1255.519531 1616609997.5084
MEM 1261.363281 1616609997.6162
MEM 1263.117188 1616609997.7293
