CMDLINE mpiexec --oversubscribe -n 6 python run.py
CHLD 1 94.835938 1616612181.8289
CHLD 2 94.753906 1616612181.8289
CHLD 3 94.867188 1616612181.8289
CHLD 4 95.121094 1616612181.8289
CHLD 5 94.574219 1616612181.8290
MEM 590.621094 1616612181.9366
CHLD 0 96.109375 1616612181.9450
CHLD 1 96.363281 1616612181.9450
CHLD 2 96.269531 1616612181.9450
CHLD 3 96.398438 1616612181.9451
CHLD 4 96.621094 1616612181.9451
CHLD 5 96.050781 1616612181.9451
MEM 592.144531 1616612182.0587
CHLD 0 96.363281 1616612182.0647
CHLD 1 96.617188 1616612182.0647
CHLD 2 96.523438 1616612182.0647
CHLD 3 96.652344 1616612182.0647
CHLD 4 96.875000 1616612182.0648
CHLD 5 96.304688 1616612182.0648
MEM 594.078125 1616612182.1781
CHLD 0 96.683594 1616612182.1846
CHLD 1 96.941406 1616612182.1847
CHLD 2 96.843750 1616612182.1847
CHLD 3 96.972656 1616612182.1847
CHLD 4 97.195312 1616612182.1847
CHLD 5 96.632812 1616612182.1848
MEM 596.035156 1616612182.3008
CHLD 0 96.976562 1616612182.3067
CHLD 1 97.289062 1616612182.3067
CHLD 2 97.175781 1616612182.3067
CHLD 3 97.308594 1616612182.3067
CHLD 4 97.531250 1616612182.3068
CHLD 5 96.945312 1616612182.3068
MEM 596.691406 1616612182.4206
CHLD 0 97.093750 1616612182.4276
CHLD 1 97.398438 1616612182.4276
CHLD 2 97.273438 1616612182.4277
CHLD 3 97.414062 1616612182.4277
CHLD 4 97.632812 1616612182.4277
CHLD 5 97.070312 1616612182.4277
MEM 601.832031 1616612182.5416
CHLD 0 98.109375 1616612182.5474
CHLD 1 98.445312 1616612182.5474
CHLD 2 98.300781 1616612182.5474
CHLD 3 98.453125 1616612182.5474
CHLD 4 98.667969 1616612182.5475
CHLD 5 98.105469 1616612182.5475
MEM 610.300781 1616612182.6620
CHLD 0 99.468750 1616612182.6678
CHLD 1 99.789062 1616612182.6678
CHLD 2 99.636719 1616612182.6679
CHLD 3 99.796875 1616612182.6679
CHLD 4 100.019531 1616612182.6679
CHLD 5 99.382812 1616612182.6679
MEM 616.816406 1616612182.7813
CHLD 0 101.031250 1616612182.7893
CHLD 1 101.281250 1616612182.7894
CHLD 2 101.160156 1616612182.7894
CHLD 3 101.269531 1616612182.7894
CHLD 4 101.554688 1616612182.7894
CHLD 5 100.929688 1616612182.7894
MEM 629.109375 1616612182.9019
CHLD 0 103.113281 1616612182.9109
CHLD 1 103.421875 1616612182.9110
CHLD 2 103.230469 1616612182.9110
