CMDLINE mpiexec --oversubscribe -n 6 python run.py
CHLD 2 475.507812 1616612424.9104
CHLD 3 474.550781 1616612424.9105
CHLD 4 475.031250 1616612424.9105
CHLD 5 473.238281 1616612424.9106
MEM 2845.636719 1616612425.0307
CHLD 0 450.632812 1616612425.0501
CHLD 1 474.925781 1616612425.0502
CHLD 2 475.507812 1616612425.0503
CHLD 3 474.550781 1616612425.0503
CHLD 4 475.031250 1616612425.0505
CHLD 5 473.238281 1616612425.0505
MEM 2845.636719 1616612425.1703
CHLD 0 450.632812 1616612425.1893
CHLD 1 474.925781 1616612425.1894
CHLD 2 475.507812 1616612425.1895
CHLD 3 474.550781 1616612425.1896
CHLD 4 475.031250 1616612425.1896
CHLD 5 473.238281 1616612425.1897
MEM 2845.636719 1616612425.3096
CHLD 0 450.632812 1616612425.3286
CHLD 1 474.925781 1616612425.3287
CHLD 2 475.507812 1616612425.3288
CHLD 3 474.550781 1616612425.3289
CHLD 4 475.031250 1616612425.3290
CHLD 5 473.238281 1616612425.3290
MEM 2845.636719 1616612425.4490
CHLD 0 450.632812 1616612425.4682
CHLD 1 474.925781 1616612425.4683
CHLD 2 475.507812 1616612425.4684
CHLD 3 474.550781 1616612425.4685
CHLD 4 475.031250 1616612425.4686
CHLD 5 473.238281 1616612425.4687
MEM 2845.636719 1616612425.5887
CHLD 0 450.632812 1616612425.6083
CHLD 1 474.925781 1616612425.6083
CHLD 2 475.507812 1616612425.6084
CHLD 3 474.550781 1616612425.6085
CHLD 4 475.031250 1616612425.6086
CHLD 5 473.238281 1616612425.6086
MEM 2845.636719 1616612425.7287
CHLD 0 450.632812 1616612425.7478
CHLD 1 474.925781 1616612425.7479
CHLD 2 475.507812 1616612425.7480
CHLD 3 474.550781 1616612425.7481
CHLD 4 475.031250 1616612425.7481
CHLD 5 473.238281 1616612425.7482
MEM 2845.636719 1616612425.8683
CHLD 0 450.632812 1616612425.8877
CHLD 1 474.925781 1616612425.8878
CHLD 2 475.507812 1616612425.8878
CHLD 3 474.550781 1616612425.8879
CHLD 4 475.031250 1616612425.8880
CHLD 5 473.238281 1616612425.8881
MEM 2845.636719 1616612426.0081
CHLD 0 450.632812 1616612426.0275
CHLD 1 474.925781 1616612426.0276
CHLD 2 475.507812 1616612426.0277
CHLD 3 474.550781 1616612426.0278
CHLD 4 475.031250 1616612426.0279
CHLD 5 473.238281 1616612426.0279
MEM 2875.281250 1616612426.1482
CHLD 0 450.632812 1616612426.1677
CHLD 1 474.925781 1616612426.1678
CHLD 2 475.507812 1616612426.1679
CHLD 3 474.550781 1616612426.1680
CHLD 4 475.031250 1616612426.1680
CHLD 5 523.765625 1616612426.1681
MEM 3024.812500 1616612426.2885
CHLD 0 450.632812 1616612426.3082
CHLD 1 474.925781 1616612426.3083
CHLD 2 475.507812 1616612426.3084
CHLD 3 474.550781 1616612426.3084
CHLD 4 475.031250 1616612426.3085
CHLD 5 673.554688 1616612426.3086
MEM 3090.296875 1616612426.4290
CHLD 0 450.632812 1616612426.4487
CHLD 1 474.925781 1616612426.4488
CHLD 2 475.507812 1616612426.4489
CHLD 3 474.550781 1616612426.4490
CHLD 4 475.031250 1616612426.4491
CHLD 5 717.898438 1616612426.4492
MEM 3090.296875 1616612426.5696
CHLD 0 450.632812 1616612426.5892
CHLD 1 474.925781 1616612426.5893
CHLD 2 475.507812 1616612426.5893
CHLD 3 474.550781 1616612426.5894
CHLD 4 475.031250 1616612426.5895
CHLD 5 717.898438 1616612426.5895
MEM 3090.296875 1616612426.7096
CHLD 0 450.632812 1616612426.7290
CHLD 1 474.925781 1616612426.7291
CHLD 2 475.507812 1616612426.7292
CHLD 3 474.550781 1616612426.7293
CHLD 4 475.031250 1616612426.7294
CHLD 5 717.898438 1616612426.7294
MEM 2967.988281 1616612426.8498
CHLD 0 450.632812 1616612426.8695
CHLD 1 474.925781 1616612426.8696
CHLD 2 475.507812 1616612426.8697
CHLD 3 474.550781 1616612426.8697
CHLD 4 475.031250 1616612426.8698
CHLD 5 595.589844 1616612426.8699
MEM 2987.062500 1616612426.9904
CHLD 0 450.632812 1616612427.0102
CHLD 1 474.925781 1616612427.0102
CHLD 2 475.507812 1616612427.0103
CHLD 3 474.550781 1616612427.0104
CHLD 4 475.031250 1616612427.0104
CHLD 5 614.664062 1616612427.0105
MEM 3045.503906 1616612427.1310
CHLD 0 450.632812 1616612427.1514
CHLD 1 474.925781 1616612427.1514
CHLD 2 475.507812 1616612427.1515
CHLD 3 474.550781 1616612427.1516
CHLD 4 475.031250 1616612427.1517
CHLD 5 673.105469 1616612427.1518
MEM 3045.503906 1616612427.2733
CHLD 0 450.632812 1616612427.2940
CHLD 1 474.925781 1616612427.2941
CHLD 2 475.507812 1616612427.2942
CHLD 3 474.550781 1616612427.2943
CHLD 4 475.031250 1616612427.2943
CHLD 5 673.105469 1616612427.2944
MEM 2957.222656 1616612427.4146
CHLD 0 454.496094 1616612427.4343
CHLD 1 474.925781 1616612427.4344
CHLD 2 475.507812 1616612427.4344
CHLD 3 474.550781 1616612427.4345
CHLD 4 475.031250 1616612427.4346
CHLD 5 472.972656 1616612427.4347
MEM 2959.792969 1616612427.5546
CHLD 0 583.054688 1616612427.5739
CHLD 1 474.925781 1616612427.5740
CHLD 2 475.507812 1616612427.5741
CHLD 3 474.550781 1616612427.5742
CHLD 4 475.031250 1616612427.5742
CHLD 5 472.972656 1616612427.5743
MEM 3086.636719 1616612427.6946
CHLD 0 709.945312 1616612427.7142
CHLD 1 474.925781 1616612427.7143
CHLD 2 475.507812 1616612427.7144
CHLD 3 474.550781 1616612427.7144
CHLD 4 475.031250 1616612427.7145
CHLD 5 472.972656 1616612427.7146
MEM 3215.542969 1616612427.8349
CHLD 0 838.593750 1616612427.8545
CHLD 1 474.925781 1616612427.8546
CHLD 2 475.507812 1616612427.8546
CHLD 3 474.550781 1616612427.8547
CHLD 4 475.031250 1616612427.8548
CHLD 5 472.972656 1616612427.8548
MEM 3128.496094 1616612427.9748
CHLD 0 656.933594 1616612427.9944
CHLD 1 474.925781 1616612427.9945
CHLD 2 475.507812 1616612427.9946
CHLD 3 474.550781 1616612427.9947
CHLD 4 475.031250 1616612427.9947
CHLD 5 571.453125 1616612427.9948
MEM 3070.437500 1616612428.1155
CHLD 0 450.632812 1616612428.1386
CHLD 1 474.925781 1616612428.1387
CHLD 2 475.507812 1616612428.1388
CHLD 3 474.550781 1616612428.1389
CHLD 4 475.031250 1616612428.1390
CHLD 5 718.406250 1616612428.1391
MEM 3199.343750 1616612428.2586
CHLD 0 450.632812 1616612428.2781
CHLD 1 474.925781 1616612428.2782
CHLD 2 475.507812 1616612428.2783
CHLD 3 474.550781 1616612428.2783
CHLD 4 475.031250 1616612428.2784
CHLD 5 844.734375 1616612428.2786
MEM 2845.750000 1616612428.3989
CHLD 0 450.632812 1616612428.4189
CHLD 1 474.925781 1616612428.4190
CHLD 2 475.507812 1616612428.4191
CHLD 3 474.550781 1616612428.4192
CHLD 4 475.031250 1616612428.4192
CHLD 5 473.351562 1616612428.4193
MEM 2845.750000 1616612428.5397
CHLD 0 450.632812 1616612428.5595
CHLD 1 474.925781 1616612428.5596
CHLD 2 475.507812 1616612428.5597
CHLD 3 474.550781 1616612428.5598
CHLD 4 477.863281 1616612428.5598
CHLD 5 473.351562 1616612428.5599
MEM 2959.957031 1616612428.6803
CHLD 0 450.632812 1616612428.6999
CHLD 1 474.925781 1616612428.7000
CHLD 2 475.507812 1616612428.7000
CHLD 3 474.550781 1616612428.7001
CHLD 4 606.769531 1616612428.7002
CHLD 5 473.351562 1616612428.7002
MEM 3090.152344 1616612428.8204
CHLD 0 450.632812 1616612428.8398
CHLD 1 474.925781 1616612428.8399
CHLD 2 475.507812 1616612428.8400
CHLD 3 474.550781 1616612428.8401
CHLD 4 719.691406 1616612428.8402
CHLD 5 473.351562 1616612428.8402
MEM 3090.410156 1616612428.9603
CHLD 0 450.632812 1616612428.9796
CHLD 1 474.925781 1616612428.9797
CHLD 2 475.507812 1616612428.9797
CHLD 3 474.550781 1616612428.9798
CHLD 4 719.691406 1616612428.9799
CHLD 5 473.351562 1616612428.9800
MEM 3090.410156 1616612429.1003
CHLD 0 450.632812 1616612429.1197
CHLD 1 474.925781 1616612429.1198
CHLD 2 475.507812 1616612429.1199
CHLD 3 474.550781 1616612429.1200
CHLD 4 719.691406 1616612429.1201
CHLD 5 473.351562 1616612429.1202
MEM 3090.410156 1616612429.2404
CHLD 0 450.632812 1616612429.2599
CHLD 1 474.925781 1616612429.2600
CHLD 2 475.507812 1616612429.2601
CHLD 3 474.550781 1616612429.2601
CHLD 4 719.691406 1616612429.2602
CHLD 5 473.351562 1616612429.2603
MEM 2968.101562 1616612429.3801
CHLD 0 450.632812 1616612429.3990
CHLD 1 474.925781 1616612429.3991
CHLD 2 475.507812 1616612429.3992
CHLD 3 474.550781 1616612429.3993
CHLD 4 597.382812 1616612429.3994
CHLD 5 473.351562 1616612429.3994
MEM 2987.433594 1616612429.5189
CHLD 0 450.632812 1616612429.5379
CHLD 1 474.925781 1616612429.5380
CHLD 2 475.507812 1616612429.5381
CHLD 3 474.550781 1616612429.5382
CHLD 4 616.714844 1616612429.5383
CHLD 5 473.351562 1616612429.5383
MEM 3093.824219 1616612429.6591
CHLD 0 450.632812 1616612429.6783
CHLD 1 474.925781 1616612429.6784
CHLD 2 549.496094 1616612429.6785
CHLD 3 474.550781 1616612429.6786
CHLD 4 675.414062 1616612429.6786
CHLD 5 473.351562 1616612429.6787
MEM 3283.832031 1616612429.7991
CHLD 0 450.632812 1616612429.8187
CHLD 1 474.925781 1616612429.8188
CHLD 2 720.167969 1616612429.8189
CHLD 3 474.550781 1616612429.8190
CHLD 4 675.414062 1616612429.8190
CHLD 5 473.351562 1616612429.8191
MEM 3175.003906 1616612429.9386
CHLD 0 453.722656 1616612429.9576
CHLD 1 474.925781 1616612429.9577
CHLD 2 720.167969 1616612429.9578
CHLD 3 474.550781 1616612429.9579
CHLD 4 475.156250 1616612429.9579
CHLD 5 473.351562 1616612429.9580
MEM 3181.753906 1616612430.0773
CHLD 0 555.773438 1616612430.0960
CHLD 1 474.925781 1616612430.0961
CHLD 2 720.167969 1616612430.0961
CHLD 3 474.550781 1616612430.0962
CHLD 4 475.156250 1616612430.0963
CHLD 5 473.351562 1616612430.0963
MEM 3162.523438 1616612430.2153
CHLD 0 658.851562 1616612430.2334
CHLD 1 474.925781 1616612430.2335
CHLD 2 610.230469 1616612430.2335
CHLD 3 474.550781 1616612430.2336
CHLD 4 475.156250 1616612430.2337
CHLD 5 473.351562 1616612430.2337
MEM 3337.796875 1616612430.3533
CHLD 0 760.218750 1616612430.3718
CHLD 1 474.925781 1616612430.3719
CHLD 2 671.765625 1616612430.3720
CHLD 3 474.550781 1616612430.3720
CHLD 4 475.156250 1616612430.3721
CHLD 5 473.351562 1616612430.3722
MEM 3434.734375 1616612430.4929
CHLD 0 856.898438 1616612430.5123
CHLD 1 474.925781 1616612430.5124
CHLD 2 671.765625 1616612430.5125
CHLD 3 474.550781 1616612430.5126
CHLD 4 475.156250 1616612430.5127
CHLD 5 473.351562 1616612430.5127
MEM 3126.250000 1616612430.6315
CHLD 0 656.933594 1616612430.6494
CHLD 1 474.925781 1616612430.6494
CHLD 2 471.468750 1616612430.6495
CHLD 3 474.550781 1616612430.6496
CHLD 4 570.800781 1616612430.6497
CHLD 5 473.351562 1616612430.6497
MEM 3185.578125 1616612430.7687
CHLD 0 453.980469 1616612430.7874
CHLD 1 474.925781 1616612430.7875
CHLD 2 471.468750 1616612430.7876
CHLD 3 474.550781 1616612430.7877
CHLD 4 705.378906 1616612430.7878
CHLD 5 473.351562 1616612430.7878
MEM 3273.105469 1616612430.9070
CHLD 0 568.406250 1616612430.9255
CHLD 1 474.925781 1616612430.9255
CHLD 2 471.468750 1616612430.9256
CHLD 3 474.550781 1616612430.9257
CHLD 4 819.589844 1616612430.9258
CHLD 5 473.351562 1616612430.9258
MEM 3122.843750 1616612431.0448
CHLD 0 688.804688 1616612431.0631
CHLD 1 474.925781 1616612431.0632
CHLD 2 471.468750 1616612431.0632
CHLD 3 474.550781 1616612431.0633
CHLD 4 475.156250 1616612431.0634
CHLD 5 473.351562 1616612431.0635
MEM 3186.226562 1616612431.1829
CHLD 0 811.007812 1616612431.2017
CHLD 1 474.925781 1616612431.2018
CHLD 2 471.468750 1616612431.2019
CHLD 3 474.550781 1616612431.2020
CHLD 4 475.156250 1616612431.2020
CHLD 5 473.351562 1616612431.2021
MEM 3095.054688 1616612431.3222
CHLD 0 656.933594 1616612431.3412
CHLD 1 474.925781 1616612431.3413
CHLD 2 547.261719 1616612431.3414
CHLD 3 474.550781 1616612431.3415
CHLD 4 475.156250 1616612431.3416
CHLD 5 473.351562 1616612431.3416
MEM 3081.855469 1616612431.4619
CHLD 0 450.632812 1616612431.4811
CHLD 1 474.925781 1616612431.4812
CHLD 2 733.144531 1616612431.4813
CHLD 3 474.550781 1616612431.4814
CHLD 4 475.156250 1616612431.4815
CHLD 5 473.351562 1616612431.4815
MEM 3237.574219 1616612431.6012
CHLD 0 450.632812 1616612431.6204
CHLD 1 474.925781 1616612431.6205
CHLD 2 806.105469 1616612431.6206
CHLD 3 474.550781 1616612431.6207
CHLD 4 475.156250 1616612431.6207
CHLD 5 473.351562 1616612431.6208
MEM 2845.750000 1616612431.7411
CHLD 0 450.632812 1616612431.7606
CHLD 1 474.925781 1616612431.7607
CHLD 2 475.382812 1616612431.7608
CHLD 3 474.550781 1616612431.7609
CHLD 4 475.156250 1616612431.7610
CHLD 5 473.351562 1616612431.7610
MEM 2845.750000 1616612431.8821
CHLD 0 450.632812 1616612431.9024
CHLD 1 474.925781 1616612431.9025
CHLD 2 475.382812 1616612431.9025
CHLD 3 474.550781 1616612431.9026
CHLD 4 475.156250 1616612431.9027
CHLD 5 473.351562 1616612431.9028
MEM 2845.750000 1616612432.0231
CHLD 0 450.632812 1616612432.0426
CHLD 1 474.925781 1616612432.0427
CHLD 2 475.382812 1616612432.0428
CHLD 3 474.550781 1616612432.0428
CHLD 4 475.156250 1616612432.0429
CHLD 5 473.351562 1616612432.0430
MEM 2845.750000 1616612432.1635
CHLD 0 450.632812 1616612432.1832
CHLD 1 474.925781 1616612432.1833
CHLD 2 475.382812 1616612432.1834
CHLD 3 474.550781 1616612432.1834
CHLD 4 475.156250 1616612432.1835
CHLD 5 473.351562 1616612432.1836
MEM 2845.750000 1616612432.3035
CHLD 0 450.632812 1616612432.3226
CHLD 1 474.925781 1616612432.3227
CHLD 2 475.382812 1616612432.3228
CHLD 3 474.550781 1616612432.3229
CHLD 4 475.156250 1616612432.3230
CHLD 5 473.351562 1616612432.3231
MEM 2845.750000 1616612432.4429
CHLD 0 450.632812 1616612432.4618
CHLD 1 474.925781 1616612432.4619
CHLD 2 475.382812 1616612432.4620
CHLD 3 474.550781 1616612432.4621
CHLD 4 475.156250 1616612432.4621
CHLD 5 473.351562 1616612432.4622
MEM 2845.750000 1616612432.5819
CHLD 0 450.632812 1616612432.6011
CHLD 1 474.925781 1616612432.6012
CHLD 2 475.382812 1616612432.6013
CHLD 3 474.550781 1616612432.6013
CHLD 4 475.156250 1616612432.6014
CHLD 5 473.351562 1616612432.6015
MEM 2845.750000 1616612432.7214
CHLD 0 450.632812 1616612432.7405
CHLD 1 474.925781 1616612432.7406
CHLD 2 475.382812 1616612432.7407
CHLD 3 474.550781 1616612432.7407
CHLD 4 475.156250 1616612432.7408
CHLD 5 473.351562 1616612432.7409
MEM 2845.750000 1616612432.8607
CHLD 0 450.632812 1616612432.8798
CHLD 1 474.925781 1616612432.8799
CHLD 2 475.382812 1616612432.8800
CHLD 3 474.550781 1616612432.8801
CHLD 4 475.156250 1616612432.8801
CHLD 5 473.351562 1616612432.8802
MEM 2845.750000 1616612432.9999
CHLD 0 450.632812 1616612433.0191
CHLD 1 474.925781 1616612433.0192
CHLD 2 475.382812 1616612433.0192
CHLD 3 474.550781 1616612433.0193
CHLD 4 475.156250 1616612433.0194
CHLD 5 473.351562 1616612433.0195
MEM 2845.750000 1616612433.1391
CHLD 0 450.632812 1616612433.1579
CHLD 1 474.925781 1616612433.1580
CHLD 2 475.382812 1616612433.1581
CHLD 3 474.550781 1616612433.1582
CHLD 4 475.156250 1616612433.1583
CHLD 5 473.351562 1616612433.1584
MEM 2845.750000 1616612433.2781
CHLD 0 450.632812 1616612433.2971
CHLD 1 474.925781 1616612433.2972
CHLD 2 475.382812 1616612433.2973
CHLD 3 474.550781 1616612433.2974
CHLD 4 475.156250 1616612433.2974
CHLD 5 473.351562 1616612433.2975
MEM 2845.750000 1616612433.4172
CHLD 0 450.632812 1616612433.4363
CHLD 1 474.925781 1616612433.4364
CHLD 2 475.382812 1616612433.4365
CHLD 3 474.550781 1616612433.4366
CHLD 4 475.156250 1616612433.4366
CHLD 5 473.351562 1616612433.4367
MEM 2897.050781 1616612433.5568
CHLD 0 450.632812 1616612433.5764
CHLD 1 474.925781 1616612433.5764
CHLD 2 475.382812 1616612433.5765
CHLD 3 547.250000 1616612433.5766
CHLD 4 475.156250 1616612433.5767
CHLD 5 473.351562 1616612433.5768
MEM 3045.550781 1616612433.6966
CHLD 0 450.632812 1616612433.7156
CHLD 1 474.925781 1616612433.7157
CHLD 2 475.382812 1616612433.7158
CHLD 3 694.460938 1616612433.7158
CHLD 4 475.156250 1616612433.7159
CHLD 5 473.351562 1616612433.7160
MEM 3090.410156 1616612433.8361
CHLD 0 450.632812 1616612433.8556
CHLD 1 474.925781 1616612433.8557
CHLD 2 475.382812 1616612433.8557
CHLD 3 719.210938 1616612433.8558
CHLD 4 475.156250 1616612433.8559
CHLD 5 473.351562 1616612433.8560
MEM 3090.410156 1616612433.9763
CHLD 0 450.632812 1616612433.9959
CHLD 1 474.925781 1616612433.9960
CHLD 2 475.382812 1616612433.9961
CHLD 3 719.210938 1616612433.9962
CHLD 4 475.156250 1616612433.9963
CHLD 5 473.351562 1616612433.9964
MEM 3090.410156 1616612434.1167
CHLD 0 450.632812 1616612434.1360
CHLD 1 474.925781 1616612434.1361
CHLD 2 475.382812 1616612434.1362
CHLD 3 719.210938 1616612434.1363
CHLD 4 475.156250 1616612434.1363
CHLD 5 473.351562 1616612434.1364
MEM 2968.101562 1616612434.2563
CHLD 0 450.632812 1616612434.2757
CHLD 1 474.925781 1616612434.2758
CHLD 2 475.382812 1616612434.2759
CHLD 3 596.902344 1616612434.2759
CHLD 4 475.156250 1616612434.2760
CHLD 5 473.351562 1616612434.2761
MEM 2991.558594 1616612434.3963
CHLD 0 450.632812 1616612434.4160
CHLD 1 474.925781 1616612434.4161
CHLD 2 475.382812 1616612434.4162
CHLD 3 645.507812 1616612434.4162
CHLD 4 475.156250 1616612434.4163
CHLD 5 473.351562 1616612434.4164
MEM 3042.074219 1616612434.5374
CHLD 0 450.632812 1616612434.5576
CHLD 1 474.925781 1616612434.5577
CHLD 2 475.382812 1616612434.5578
CHLD 3 670.875000 1616612434.5579
CHLD 4 475.156250 1616612434.5580
CHLD 5 473.351562 1616612434.5580
MEM 3042.074219 1616612434.6791
CHLD 0 450.632812 1616612434.6994
CHLD 1 474.925781 1616612434.6995
CHLD 2 475.382812 1616612434.6996
CHLD 3 670.875000 1616612434.6997
CHLD 4 475.156250 1616612434.6997
CHLD 5 473.351562 1616612434.6998
MEM 2993.226562 1616612434.8182
CHLD 0 511.429688 1616612434.8358
CHLD 1 600.218750 1616612434.8359
CHLD 2 475.382812 1616612434.8359
CHLD 3 470.515625 1616612434.8360
CHLD 4 475.156250 1616612434.8361
CHLD 5 473.351562 1616612434.8361
MEM 3259.531250 1616612434.9552
CHLD 0 641.835938 1616612434.9737
CHLD 1 719.585938 1616612434.9738
CHLD 2 475.382812 1616612434.9738
CHLD 3 470.515625 1616612434.9739
CHLD 4 475.156250 1616612434.9740
CHLD 5 473.351562 1616612434.9741
MEM 3390.546875 1616612435.0936
CHLD 0 772.851562 1616612435.1123
CHLD 1 719.585938 1616612435.1124
CHLD 2 475.382812 1616612435.1125
CHLD 3 470.515625 1616612435.1126
CHLD 4 475.156250 1616612435.1126
CHLD 5 473.351562 1616612435.1127
MEM 3292.929688 1616612435.2322
CHLD 0 656.933594 1616612435.2511
CHLD 1 719.585938 1616612435.2512
CHLD 2 475.382812 1616612435.2513
CHLD 3 492.425781 1616612435.2514
CHLD 4 475.156250 1616612435.2515
CHLD 5 473.351562 1616612435.2515
MEM 3323.761719 1616612435.3688
CHLD 0 656.933594 1616612435.3853
CHLD 1 597.277344 1616612435.3854
CHLD 2 475.382812 1616612435.3855
CHLD 3 642.730469 1616612435.3855
CHLD 4 475.156250 1616612435.3856
CHLD 5 473.351562 1616612435.3857
MEM 3277.558594 1616612435.5119
CHLD 0 450.632812 1616612435.5308
CHLD 1 640.265625 1616612435.5310
CHLD 2 475.382812 1616612435.5311
CHLD 3 778.597656 1616612435.5312
CHLD 4 475.156250 1616612435.5313
CHLD 5 473.351562 1616612435.5313
MEM 3402.882812 1616612435.6521
CHLD 0 450.632812 1616612435.6724
CHLD 1 675.375000 1616612435.6725
CHLD 2 475.382812 1616612435.6725
CHLD 3 662.160156 1616612435.6726
CHLD 4 475.156250 1616612435.6727
CHLD 5 473.351562 1616612435.6728
MEM 2858.304688 1616612435.7937
CHLD 0 482.781250 1616612435.8151
CHLD 1 475.050781 1616612435.8152
CHLD 2 475.382812 1616612435.8153
CHLD 3 474.425781 1616612435.8154
CHLD 4 475.156250 1616612435.8154
CHLD 5 473.351562 1616612435.8155
MEM 2991.578125 1616612435.9375
CHLD 0 615.539062 1616612435.9585
CHLD 1 475.050781 1616612435.9586
CHLD 2 475.382812 1616612435.9587
CHLD 3 474.425781 1616612435.9587
CHLD 4 475.156250 1616612435.9588
CHLD 5 473.351562 1616612435.9589
MEM 3122.851562 1616612436.0810
CHLD 0 747.328125 1616612436.1022
CHLD 1 475.050781 1616612436.1023
CHLD 2 475.382812 1616612436.1024
CHLD 3 474.425781 1616612436.1025
CHLD 4 475.156250 1616612436.1025
CHLD 5 473.351562 1616612436.1026
MEM 3255.109375 1616612436.2247
CHLD 0 702.746094 1616612436.2460
CHLD 1 475.050781 1616612436.2461
CHLD 2 475.382812 1616612436.2461
CHLD 3 474.425781 1616612436.2462
CHLD 4 475.156250 1616612436.2463
CHLD 5 473.351562 1616612436.2464
MEM 3207.507812 1616612436.3656
CHLD 0 656.933594 1616612436.3839
CHLD 1 649.843750 1616612436.3840
CHLD 2 475.382812 1616612436.3841
CHLD 3 474.425781 1616612436.3841
CHLD 4 475.156250 1616612436.3842
CHLD 5 473.351562 1616612436.3843
MEM 3153.574219 1616612436.5048
CHLD 0 450.632812 1616612436.5244
CHLD 1 799.632812 1616612436.5245
CHLD 2 475.382812 1616612436.5246
CHLD 3 474.425781 1616612436.5247
CHLD 4 475.156250 1616612436.5247
CHLD 5 473.351562 1616612436.5248
MEM 2847.035156 1616612436.6475
CHLD 0 450.632812 1616612436.6689
CHLD 1 475.050781 1616612436.6690
CHLD 2 475.382812 1616612436.6690
CHLD 3 475.710938 1616612436.6691
CHLD 4 475.156250 1616612436.6692
CHLD 5 473.351562 1616612436.6693
MEM 2847.035156 1616612436.7910
CHLD 0 450.632812 1616612436.8116
CHLD 1 475.050781 1616612436.8117
CHLD 2 475.382812 1616612436.8117
CHLD 3 475.710938 1616612436.8118
CHLD 4 475.156250 1616612436.8119
CHLD 5 473.351562 1616612436.8120
MEM 2847.035156 1616612436.9331
CHLD 0 450.632812 1616612436.9537
CHLD 1 475.050781 1616612436.9538
CHLD 2 475.382812 1616612436.9539
CHLD 3 475.710938 1616612436.9540
CHLD 4 475.156250 1616612436.9540
CHLD 5 473.351562 1616612436.9541
MEM 2847.035156 1616612437.0759
CHLD 0 450.632812 1616612437.0973
CHLD 1 475.050781 1616612437.0974
CHLD 2 475.382812 1616612437.0974
CHLD 3 475.710938 1616612437.0975
CHLD 4 475.156250 1616612437.0976
CHLD 5 473.351562 1616612437.0977
MEM 2847.035156 1616612437.2194
CHLD 0 450.632812 1616612437.2398
CHLD 1 475.050781 1616612437.2399
CHLD 2 475.382812 1616612437.2400
CHLD 3 475.710938 1616612437.2401
CHLD 4 475.156250 1616612437.2402
CHLD 5 473.351562 1616612437.2402
MEM 2847.035156 1616612437.3601
CHLD 0 450.632812 1616612437.3791
CHLD 1 475.050781 1616612437.3791
CHLD 2 475.382812 1616612437.3792
CHLD 3 475.710938 1616612437.3793
CHLD 4 475.156250 1616612437.3793
CHLD 5 473.351562 1616612437.3794
MEM 2847.035156 1616612437.4986
CHLD 0 450.632812 1616612437.5173
CHLD 1 475.050781 1616612437.5174
CHLD 2 475.382812 1616612437.5175
CHLD 3 475.710938 1616612437.5176
CHLD 4 475.156250 1616612437.5176
CHLD 5 473.351562 1616612437.5177
MEM 2847.035156 1616612437.6372
CHLD 0 450.632812 1616612437.6559
CHLD 1 475.050781 1616612437.6560
CHLD 2 475.382812 1616612437.6561
CHLD 3 475.710938 1616612437.6562
CHLD 4 475.156250 1616612437.6563
CHLD 5 473.351562 1616612437.6564
MEM 2847.035156 1616612437.7758
CHLD 0 450.632812 1616612437.7942
CHLD 1 475.050781 1616612437.7943
CHLD 2 475.382812 1616612437.7944
CHLD 3 475.710938 1616612437.7944
CHLD 4 475.156250 1616612437.7945
CHLD 5 473.351562 1616612437.7945
MEM 2847.035156 1616612437.9139
CHLD 0 450.632812 1616612437.9327
CHLD 1 475.050781 1616612437.9328
CHLD 2 475.382812 1616612437.9328
CHLD 3 475.710938 1616612437.9329
CHLD 4 475.156250 1616612437.9329
CHLD 5 473.351562 1616612437.9330
MEM 2847.035156 1616612438.0524
CHLD 0 450.632812 1616612438.0712
CHLD 1 475.050781 1616612438.0713
CHLD 2 475.382812 1616612438.0714
CHLD 3 475.710938 1616612438.0714
CHLD 4 475.156250 1616612438.0715
CHLD 5 473.351562 1616612438.0715
MEM 2847.035156 1616612438.1908
CHLD 0 450.632812 1616612438.2093
CHLD 1 475.050781 1616612438.2094
CHLD 2 475.382812 1616612438.2095
CHLD 3 475.710938 1616612438.2095
CHLD 4 475.156250 1616612438.2096
CHLD 5 473.351562 1616612438.2097
MEM 2847.035156 1616612438.3288
CHLD 0 450.632812 1616612438.3474
CHLD 1 475.050781 1616612438.3474
CHLD 2 475.382812 1616612438.3475
CHLD 3 475.710938 1616612438.3476
CHLD 4 475.156250 1616612438.3477
CHLD 5 473.351562 1616612438.3478
MEM 2847.035156 1616612438.4669
CHLD 0 450.632812 1616612438.4857
CHLD 1 475.050781 1616612438.4858
CHLD 2 475.382812 1616612438.4858
CHLD 3 475.710938 1616612438.4859
CHLD 4 475.156250 1616612438.4860
CHLD 5 473.351562 1616612438.4861
MEM 2847.035156 1616612438.6056
CHLD 0 450.632812 1616612438.6241
CHLD 1 475.050781 1616612438.6241
CHLD 2 475.382812 1616612438.6242
CHLD 3 475.710938 1616612438.6242
CHLD 4 475.156250 1616612438.6243
CHLD 5 473.351562 1616612438.6244
MEM 2847.035156 1616612438.7438
CHLD 0 450.632812 1616612438.7624
CHLD 1 475.050781 1616612438.7625
CHLD 2 475.382812 1616612438.7625
CHLD 3 475.710938 1616612438.7626
CHLD 4 475.156250 1616612438.7627
CHLD 5 473.351562 1616612438.7628
MEM 2847.035156 1616612438.8820
CHLD 0 450.632812 1616612438.9007
CHLD 1 475.050781 1616612438.9008
CHLD 2 475.382812 1616612438.9008
CHLD 3 475.710938 1616612438.9009
CHLD 4 475.156250 1616612438.9010
CHLD 5 473.351562 1616612438.9011
MEM 2847.035156 1616612439.0210
CHLD 0 450.632812 1616612439.0394
CHLD 1 475.050781 1616612439.0395
CHLD 2 475.382812 1616612439.0396
