# Vel [km/s] 	 Disp [km/s]
1.58721e+02 	 2.47857e+02
1.55313e+02 	 2.29984e+02
1.59473e+02 	 2.34516e+02
1.45691e+02 	 2.44986e+02
1.50769e+02 	 2.47219e+02
1.55286e+02 	 2.47559e+02
1.58380e+02 	 2.42741e+02
1.52599e+02 	 2.41046e+02
1.44152e+02 	 2.41274e+02
1.55886e+02 	 2.39692e+02
1.65755e+02 	 2.43129e+02
1.47636e+02 	 2.50721e+02
1.48080e+02 	 2.43166e+02
1.44530e+02 	 2.43300e+02
1.54157e+02 	 2.46790e+02
1.43944e+02 	 2.46270e+02
1.59186e+02 	 2.53499e+02
1.56558e+02 	 2.42689e+02
1.51299e+02 	 2.47298e+02
1.57349e+02 	 2.43749e+02
1.51012e+02 	 2.33618e+02
1.57693e+02 	 2.58146e+02
1.54876e+02 	 2.38645e+02
1.56385e+02 	 2.46575e+02
1.45995e+02 	 2.51992e+02
1.59710e+02 	 2.43363e+02
1.49994e+02 	 2.49406e+02
1.59253e+02 	 2.46847e+02
1.67457e+02 	 2.51383e+02
1.46779e+02 	 2.45391e+02
1.54019e+02 	 2.38416e+02
1.56223e+02 	 2.40168e+02
1.50890e+02 	 2.28739e+02
1.39873e+02 	 2.38132e+02
1.45803e+02 	 2.39303e+02
1.59019e+02 	 2.37816e+02
1.51011e+02 	 2.41103e+02
1.52427e+02 	 2.54026e+02
1.50979e+02 	 2.39973e+02
1.58003e+02 	 2.43393e+02
1.55607e+02 	 2.35827e+02
1.42080e+02 	 2.46811e+02
1.58828e+02 	 2.42056e+02
1.46763e+02 	 2.32952e+02
1.54973e+02 	 2.43028e+02
1.47312e+02 	 2.38426e+02
1.50949e+02 	 2.50408e+02
1.40910e+02 	 2.39391e+02
1.37723e+02 	 2.39849e+02
1.49189e+02 	 2.41975e+02
1.54512e+02 	 2.42476e+02
1.56130e+02 	 2.43698e+02
1.48336e+02 	 2.32654e+02
1.57743e+02 	 2.36931e+02
1.50423e+02 	 2.47999e+02
1.56831e+02 	 2.46904e+02
1.54022e+02 	 2.45974e+02
1.56823e+02 	 2.43964e+02
1.46943e+02 	 2.45239e+02
1.54403e+02 	 2.50327e+02
1.39150e+02 	 2.42628e+02
1.58218e+02 	 2.43977e+02
1.56326e+02 	 2.47466e+02
1.56702e+02 	 2.42363e+02
1.49628e+02 	 2.53413e+02
1.47150e+02 	 2.45317e+02
1.49058e+02 	 2.34059e+02
1.55642e+02 	 2.40333e+02
1.51836e+02 	 2.38582e+02
1.60620e+02 	 2.31088e+02
1.57078e+02 	 2.43232e+02
1.53738e+02 	 2.41189e+02
1.57802e+02 	 2.39255e+02
1.51580e+02 	 2.37565e+02
1.54846e+02 	 2.39672e+02
1.55513e+02 	 2.43595e+02
1.45078e+02 	 2.38155e+02
1.49780e+02 	 2.41727e+02
1.51393e+02 	 2.43514e+02
1.60655e+02 	 2.39612e+02
1.43594e+02 	 2.38751e+02
1.49599e+02 	 2.45448e+02
1.58684e+02 	 2.41008e+02
1.48483e+02 	 2.46832e+02
1.44361e+02 	 2.45882e+02
1.42485e+02 	 2.42970e+02
1.52362e+02 	 2.50735e+02
1.52259e+02 	 2.47908e+02
1.53529e+02 	 2.50890e+02
1.48016e+02 	 2.28765e+02
1.52871e+02 	 2.50116e+02
1.51671e+02 	 2.48840e+02
1.63776e+02 	 2.45782e+02
1.45198e+02 	 2.41059e+02
1.51514e+02 	 2.24262e+02
1.62178e+02 	 2.47637e+02
1.43891e+02 	 2.45551e+02
1.45861e+02 	 2.41695e+02
1.50248e+02 	 2.38420e+02
1.60992e+02 	 2.40908e+02
1.55691e+02 	 2.36810e+02
1.71289e+02 	 2.56558e+02
1.53212e+02 	 2.40340e+02
1.57185e+02 	 2.46759e+02
1.51823e+02 	 2.51102e+02
1.63643e+02 	 2.41959e+02
1.48461e+02 	 2.39713e+02
1.53344e+02 	 2.44496e+02
1.66644e+02 	 2.40230e+02
1.59920e+02 	 2.44222e+02
1.47399e+02 	 2.43119e+02
1.45278e+02 	 2.52352e+02
1.53171e+02 	 2.56177e+02
1.62081e+02 	 2.48793e+02
1.47377e+02 	 2.39284e+02
1.54744e+02 	 2.46417e+02
1.51753e+02 	 2.44128e+02
1.54502e+02 	 2.42681e+02
1.46242e+02 	 2.48942e+02
1.41113e+02 	 2.37204e+02
1.55090e+02 	 2.33446e+02
1.53779e+02 	 2.50580e+02
1.65555e+02 	 2.39865e+02
1.59037e+02 	 2.36306e+02
1.50307e+02 	 2.40852e+02
1.54589e+02 	 2.38335e+02
1.51188e+02 	 2.44689e+02
1.50924e+02 	 2.34786e+02
1.56926e+02 	 2.33698e+02
1.46920e+02 	 2.47726e+02
1.36942e+02 	 2.31403e+02
1.63006e+02 	 2.50274e+02
1.65508e+02 	 2.42453e+02
1.59144e+02 	 2.45139e+02
1.48182e+02 	 2.53226e+02
1.49707e+02 	 2.44934e+02
1.56766e+02 	 2.37596e+02
1.55333e+02 	 2.53801e+02
1.48777e+02 	 2.46355e+02
1.55041e+02 	 2.40991e+02
1.55401e+02 	 2.33216e+02
1.48785e+02 	 2.49632e+02
1.62465e+02 	 2.39680e+02
1.49193e+02 	 2.42487e+02
1.56286e+02 	 2.36473e+02
1.58821e+02 	 2.42406e+02
1.52308e+02 	 2.42570e+02
1.60760e+02 	 2.49343e+02
1.39366e+02 	 2.33115e+02
1.63345e+02 	 2.34726e+02
1.46648e+02 	 2.31978e+02
1.49269e+02 	 2.46990e+02
1.49736e+02 	 2.37248e+02
1.55871e+02 	 2.45078e+02
1.53616e+02 	 2.32045e+02
1.60511e+02 	 2.53402e+02
1.40369e+02 	 2.56252e+02
1.58122e+02 	 2.58027e+02
1.49739e+02 	 2.53927e+02
1.47665e+02 	 2.37900e+02
1.53636e+02 	 2.49390e+02
1.57482e+02 	 2.50560e+02
1.45130e+02 	 2.45787e+02
1.51669e+02 	 2.36944e+02
1.49836e+02 	 2.44414e+02
1.59068e+02 	 2.47136e+02
1.52835e+02 	 2.43576e+02
1.48120e+02 	 2.41266e+02
1.68478e+02 	 2.51527e+02
1.62585e+02 	 2.49183e+02
1.62828e+02 	 2.39835e+02
1.45966e+02 	 2.40260e+02
1.56958e+02 	 2.41269e+02
1.50197e+02 	 2.55275e+02
1.57035e+02 	 2.34843e+02
1.59027e+02 	 2.47478e+02
1.52830e+02 	 2.41375e+02
1.56192e+02 	 2.38843e+02
1.55675e+02 	 2.46299e+02
1.59501e+02 	 2.43243e+02
1.56450e+02 	 2.28642e+02
1.50393e+02 	 2.45703e+02
1.58940e+02 	 2.39673e+02
1.51675e+02 	 2.41618e+02
1.53830e+02 	 2.37381e+02
1.49152e+02 	 2.37356e+02
1.50863e+02 	 2.41372e+02
1.53816e+02 	 2.48496e+02
1.60544e+02 	 2.39591e+02
1.48368e+02 	 2.34416e+02
1.67066e+02 	 2.50939e+02
1.55061e+02 	 2.48275e+02
1.52371e+02 	 2.34913e+02
1.57292e+02 	 2.42174e+02
1.61853e+02 	 2.43533e+02
1.58147e+02 	 2.38851e+02
1.51992e+02 	 2.50263e+02
1.55059e+02 	 2.43007e+02
1.40669e+02 	 2.42405e+02
1.47919e+02 	 2.42550e+02
