galaxies_source_regularization_coefficient,log_likelihood,log_prior,log_posterior,weights
1.1615715232409412,60675.26749920757,0.8609026478282329,60676.1284018554,1.0
1.0019813596916678,60551.84921109038,0.9980225583315467,60552.84723364872,1.0
1.1814925900339583,60689.459917739645,0.846387026406368,60690.306304766054,1.0
1.0095172864369981,60558.10878224518,0.9905724383674612,60559.099354683545,1.0
0.958075087431206,60514.41136215196,1.043759526908484,60515.45512167887,1.0
0.8801419690431783,60443.50501077314,1.1361803381414954,60444.64119111128,1.0
1.1055691085501411,60634.01634791832,0.9045115246675208,60634.92085944299,1.0
0.8029673833957952,60366.787217908706,1.2453805978655603,60368.03259850657,1.0
0.8433950898495145,60407.85465975833,1.185683924456364,60409.04034368279,1.0
1.1471605739780169,60664.84699321131,0.871717545637306,60665.71871075695,1.0
1.0290296506900345,60574.1006208288,0.9717892961873663,60575.07241012499,1.0
1.292556495153038,60764.41279397482,0.7736605740251227,60765.18645454885,1.0
0.9110398292461859,60472.34355963704,1.097646851320893,60473.44120648836,1.0
0.9623485652686445,60518.130186722316,1.0391245293963158,60519.16931125171,1.0
0.8158913180132112,60380.136904093655,1.2256534392780578,60381.362557532935,1.0
0.8849066553641041,60448.017775761866,1.1300626952438724,60449.14783845711,1.0
0.9472889687345054,60504.95057263997,1.0556440885571716,60506.00621672853,1.0
1.0141070645437522,60561.89822139162,0.9860891763434279,60562.88431056796,1.0
0.9725328017355725,60526.92616526003,1.028242953055578,60527.95440821309,1.0
1.1584417720287823,60673.01549858928,0.8632285403941341,60673.878727129675,1.0
1.0548826470874801,60594.82580670477,0.9479727463154214,60595.77377945109,1.0
1.001801090490852,60551.69889522573,0.9982021476040023,60552.69709737333,1.0
1.131966497382764,60653.71646611758,0.8834183717558024,60654.59988448933,1.0
0.9990027562223094,60549.3620360959,1.000998239265587,60550.36303433517,1.0
1.508252126649643,60893.00921280439,0.6630191214922075,60893.672231925884,1.0
1.178657558842671,60687.45492704539,0.8484228455480354,60688.30334989094,1.0
0.9439386048230904,60501.989848183126,1.059390933785801,60503.04923911691,1.0
0.9187872793343762,60479.42071073402,1.0883912114286771,60480.50910194545,1.0
1.3388084156388134,60793.72727602983,0.7469328608327049,60794.474208890664,1.0
1.2441839340948664,60732.59921542564,0.8037396823705908,60733.40295510801,1.0
1.015630462698246,60563.152168714376,0.9846100887357,60564.13677880311,1.0
1.1711063626581846,60682.09077206193,0.853893405318193,60682.94466546725,1.0
0.9076409538253659,60469.21966407899,1.1017572485963478,60470.321421327586,1.0
0.8086840367136302,60372.71856713643,1.236576900990712,60373.95514403742,1.0
0.979532857913049,60532.9185187893,1.0208947989050183,60533.93941358821,1.0
1.160103481117259,60674.21193711469,0.8619920690496778,60675.07392918374,1.0
1.1799402579634748,60688.36267867946,0.8475005350914598,60689.210179214555,1.0
0.8473215326144362,60411.73753221682,1.1801895284243158,60412.917721745245,1.0
0.9101198335820773,60471.499150729236,1.0987564088831794,60472.59790713812,1.0
0.860635567693429,60424.77076245851,1.1619319925158087,60425.932694451025,1.0
0.8373203015889354,60401.81141263959,1.1942861030627783,60403.00569874265,1.0
0.9181232892249694,60478.81651970545,1.089178339920063,60479.90569804537,1.0
1.3176087744795437,60780.419981462466,0.7589506228015221,60781.17893208527,1.0
0.9248269599272285,60484.89641467564,1.0812833571360059,60485.97769803277,1.0
0.8203845079172511,60384.72849601627,1.218940619123522,60385.9474366354,1.0
1.2625229717199717,60744.80492213358,0.7920647959677684,60745.59698692955,1.0
1.084653376394678,60618.068008300565,0.9219535215240277,60618.98996182209,1.0
1.2038503176686801,60705.10393783495,0.8306680534308891,60705.93460588838,1.0
0.9208446096016706,60481.289978107474,1.0859595523207435,60482.375937659795,1.0
1.0018409786811848,60551.73215798837,0.9981624042933358,60552.730320392664,1.0
1.1622509810777022,60675.7555930551,0.8603993597602695,60676.61599241486,1.0
1.0019813596916678,60551.84921109038,0.9980225583315467,60552.84723364872,1.0
1.1814925900339583,60689.459917739645,0.846387026406368,60690.306304766054,1.0
1.0095172864369981,60558.10878224518,0.9905724383674612,60559.099354683545,1.0
0.958075087431206,60514.41136215196,1.043759526908484,60515.45512167887,1.0
0.8801419690431783,60443.50501077314,1.1361803381414954,60444.64119111128,1.0
1.1055691085501411,60634.01634791832,0.9045115246675208,60634.92085944299,1.0
0.8029673833957952,60366.787217908706,1.2453805978655603,60368.03259850657,1.0
0.8433950898495145,60407.85465975833,1.185683924456364,60409.04034368279,1.0
1.160595352884299,60674.56575604117,0.8616267483019046,60675.42738278947,1.0
1.0290296506900345,60574.1006208288,0.9717892961873663,60575.07241012499,1.0
1.292556495153038,60764.41279397482,0.7736605740251227,60765.18645454885,1.0
0.9110398292461859,60472.34355963704,1.097646851320893,60473.44120648836,1.0
0.9723196564856101,60526.74302452727,1.028468357427267,60527.7714928847,1.0
0.9130659088523915,60474.200162493595,1.0952111893618652,60475.29537368296,1.0
0.8849066553641041,60448.017775761866,1.1300626952438724,60449.14783845711,1.0
0.9472889687345054,60504.95057263997,1.0556440885571716,60506.00621672853,1.0
1.0807792613637415,60615.08003804996,0.9252583166133174,60616.00529636657,1.0
1.0041578451596858,60553.66191260832,0.9958593709348309,60554.657771979255,1.0
1.368020220567928,60811.719307013656,0.7309833472964706,60812.450290360954,1.0
1.0665917654524428,60604.04497319987,0.9375658357682942,60604.982539035635,1.0
1.001801090490852,60551.69889522573,0.9982021476040023,60552.69709737333,1.0
1.131966497382764,60653.71646611758,0.8834183717558024,60654.59988448933,1.0
