# Surface Potential(M_sun/pc²) Sigma Potential(arcsec) qObs
52311.116946		 9.825808e-10   0.800000
40918.480597		 1.961566e-09   0.800000
3894.294539		 2.169173e-09   0.800000
38425.567291		 3.601355e-09   0.800000
2020.892180		 6.038305e-09   0.800000
32653.771639		 6.097682e-09   0.800000
33050.682415		 9.922585e-09   0.800000
517.405529		 1.241805e-08   0.800000
33295.649372		 1.611848e-08   0.800000
32207.043869		 2.602371e-08   0.800000
9245.852953		 3.640607e-08   0.800000
27815.217471		 4.497184e-08   0.800000
2679.392549		 6.125784e-08   0.800000
30419.707200		 7.186259e-08   0.800000
30787.385011		 1.128761e-07   0.800000
29307.755977		 1.740627e-07   0.800000
13610.734036		 2.639879e-07   0.800000
15800.090228		 2.672075e-07   0.800000
11288.117466		 4.001626e-07   0.800000
18344.500533		 4.124137e-07   0.800000
27806.736451		 6.192474e-07   0.800000
23855.583820		 9.014984e-07   0.800000
21283.675901		 1.242865e-06   0.800000
15814.233217		 1.659898e-06   0.800000
12028.625518		 1.929208e-06   0.800000
22880.238871		 2.554983e-06   0.800000
18579.422369		 3.498587e-06   0.800000
10993.108759		 4.219199e-06   0.800000
18955.970348		 5.305893e-06   0.800000
16396.145155		 6.874782e-06   0.800000
16829.242948		 8.687976e-06   0.800000
17254.713747		 1.116723e-05   0.800000
15394.779814		 1.413250e-05   0.800000
15865.782437		 1.766266e-05   0.800000
16700.850293		 2.238176e-05   0.800000
16508.604315		 2.848388e-05   0.800000
15869.469924		 3.598275e-05   0.800000
16645.622055		 4.540960e-05   0.800000
18035.924662		 5.841028e-05   0.800000
17929.030916		 7.591636e-05   0.800000
16553.482415		 9.745062e-05   0.800000
16257.602738		 1.232302e-04   0.800000
16923.142963		 1.567139e-04   0.800000
16832.539557		 2.001700e-04   0.800000
16696.117333		 2.549620e-04   0.800000
16874.515064		 3.249156e-04   0.800000
17093.364367		 4.154166e-04   0.800000
16971.340457		 5.317364e-04   0.800000
16533.280867		 6.774386e-04   0.800000
16560.795265		 8.597595e-04   0.800000
17090.919490		 1.096392e-03   0.800000
17323.047013		 1.407201e-03   0.800000
16893.200868		 1.803116e-03   0.800000
16626.403451		 2.295545e-03   0.800000
16856.283323		 2.924333e-03   0.800000
16589.932817		 3.727475e-03   0.800000
16154.290159		 4.720442e-03   0.800000
16409.232895		 5.969843e-03   0.800000
16766.620197		 7.590897e-03   0.800000
16824.083282		 9.683847e-03   0.800000
16622.357852		 1.233626e-02   0.800000
16764.328296		 1.570556e-02   0.800000
16805.431377		 2.004912e-02   0.800000
16576.903367		 2.555803e-02   0.800000
16596.589197		 3.255052e-02   0.800000
16396.517960		 4.152231e-02   0.800000
15690.987801		 5.264196e-02   0.800000
16340.530022		 6.691643e-02   0.800000
15851.230880		 8.609491e-02   0.800000
13713.080292		 1.088929e-01   0.800000
14634.668838		 1.378454e-01   0.800000
13365.486286		 1.794042e-01   0.800000
9499.965273		 2.248724e-01   0.800000
10666.166736		 2.837413e-01   0.800000
7947.313011		 3.713331e-01   0.800000
5771.290183		 4.632060e-01   0.800000
5773.055511		 6.051571e-01   0.800000
2893.055727		 8.029628e-01   0.800000
2291.776202		 9.589901e-01   0.800000
2309.788873		 1.306047e+00   0.800000
1285.980796		 1.881910e+00   0.800000
566.557467		 2.620245e+00   0.800000
304.091824		 3.349482e+00   0.800000
214.442680		 4.315595e+00   0.800000
162.262890		 5.845155e+00   0.800000
 95.867011		 8.823026e+00   0.800000
 43.862061		 1.484166e+01   0.800000
  1.070602		 1.697596e+01   0.800000
 17.244678		 3.209096e+01   0.800000
