# R[arcsec] 	 Vrms[km/s] 	 Erms[Km/s]
0.000000e+00 	 2.424164e+02 	 9.371638e+00
3.000000e-01 	 2.294611e+02 	 6.666283e+00
6.000000e-01 	 2.269722e+02 	 6.798397e+00
9.000000e-01 	 2.177674e+02 	 8.402372e+00
1.200000e+00 	 2.188889e+02 	 1.052925e+01
1.500000e+00 	 2.491594e+02 	 1.517990e+01
1.800000e+00 	 1.871081e+02 	 1.475378e+01
2.100000e+00 	 2.321228e+02 	 4.594222e+01
