# Bin vel(km/s) disp(km/s) chi2/DOF dV dsigma
0 136 2.424164030748983976e+02 1.137569472055855568e+00 8.144218227632036289e+00 9.371638350521816818e+00
1 140 2.294261882293510837e+02 1.359501297813537901e+00 5.829140686706284491e+00 6.666521647217060753e+00
2 138 2.269634201139806748e+02 1.400132465221370470e+00 6.105441838603392846e+00 6.798448413067122331e+00
3 144 2.176203875796105649e+02 1.442271596992512839e+00 7.593858564464411209e+00 8.403412167121356191e+00
4 155 2.180627223845031892e+02 1.423620395200596134e+00 9.317524914788480217e+00 1.053791655561685658e+01
5 178 2.455940348810613898e+02 1.216407729811827432e+00 1.297519004078417559e+01 1.523957980642036247e+01
6 143 1.869770893668424776e+02 1.238398085583698904e+00 1.327578591735489510e+01 1.475574739489448817e+01
7 81 2.255127127580705633e+02 1.396397525471313017e+00 4.323072104735640409e+01 4.609848436392874760e+01
