# y_px 	 x_px 	 Vorbin_Id
 19.000000  28.000000       22
 19.000000  29.000000       22
 19.000000  30.000000       22
 19.000000  31.000000       22
 20.000000  25.000000        7
 20.000000  26.000000       22
 20.000000  27.000000       22
 20.000000  28.000000       22
 20.000000  29.000000       22
 20.000000  30.000000       22
 20.000000  31.000000       22
 20.000000  32.000000       22
 20.000000  33.000000       22
 20.000000  34.000000       23
 21.000000  25.000000        7
 21.000000  26.000000        5
 21.000000  27.000000       22
 21.000000  28.000000       22
 21.000000  29.000000       22
 21.000000  30.000000       22
 21.000000  31.000000       22
 21.000000  32.000000       22
 21.000000  33.000000       22
 21.000000  34.000000       23
 22.000000  24.000000        7
 22.000000  25.000000        7
 22.000000  26.000000        5
 22.000000  27.000000        5
 22.000000  28.000000       22
 22.000000  29.000000       22
 22.000000  30.000000       22
 22.000000  31.000000       22
 22.000000  32.000000       22
 22.000000  33.000000       23
 22.000000  34.000000       23
 22.000000  35.000000       23
 23.000000  23.000000        7
 23.000000  24.000000        7
 23.000000  25.000000        7
 23.000000  26.000000        5
 23.000000  27.000000        5
 23.000000  28.000000        5
 23.000000  29.000000       22
 23.000000  30.000000       22
 23.000000  31.000000       22
 23.000000  32.000000       23
 23.000000  33.000000       23
 23.000000  34.000000       23
 23.000000  35.000000       23
 23.000000  36.000000       23
 23.000000  37.000000       23
 24.000000  22.000000        7
 24.000000  23.000000        7
 24.000000  24.000000        7
 24.000000  25.000000        7
 24.000000  26.000000        5
 24.000000  27.000000        5
 24.000000  28.000000        5
 24.000000  29.000000        5
 24.000000  30.000000        6
 24.000000  31.000000        6
 24.000000  32.000000       23
 24.000000  33.000000       23
 24.000000  34.000000       23
 24.000000  35.000000       23
 24.000000  36.000000       23
 24.000000  37.000000       23
 25.000000  22.000000        7
 25.000000  23.000000        7
 25.000000  24.000000        7
 25.000000  25.000000        7
 25.000000  26.000000        5
 25.000000  27.000000        5
 25.000000  28.000000        5
 25.000000  29.000000        6
 25.000000  30.000000        6
 25.000000  31.000000        6
 25.000000  32.000000       21
 25.000000  33.000000       23
 25.000000  34.000000       23
 25.000000  35.000000       23
 25.000000  36.000000       23
 25.000000  37.000000       23
 26.000000  21.000000        7
 26.000000  22.000000        7
 26.000000  23.000000        7
 26.000000  24.000000        7
 26.000000  25.000000        7
 26.000000  26.000000        4
 26.000000  27.000000        4
 26.000000  28.000000        2
 26.000000  29.000000        6
 26.000000  30.000000        6
 26.000000  31.000000       21
 26.000000  32.000000       21
 26.000000  33.000000       21
 26.000000  34.000000       23
 26.000000  35.000000       23
 26.000000  36.000000       23
 26.000000  37.000000       26
 26.000000  38.000000       26
 27.000000  21.000000        7
 27.000000  22.000000        7
 27.000000  23.000000        7
 27.000000  24.000000        7
 27.000000  25.000000        4
 27.000000  26.000000        4
 27.000000  27.000000        4
 27.000000  28.000000        2
 27.000000  29.000000        1
 27.000000  30.000000       17
 27.000000  31.000000       21
 27.000000  32.000000       21
 27.000000  33.000000       24
 27.000000  34.000000       24
 27.000000  35.000000       26
 27.000000  36.000000       26
 27.000000  37.000000       26
 27.000000  38.000000       26
 28.000000  21.000000        9
 28.000000  22.000000        8
 28.000000  23.000000        8
 28.000000  24.000000        8
 28.000000  25.000000        8
 28.000000  26.000000        4
 28.000000  27.000000        4
 28.000000  28.000000        2
 28.000000  29.000000        1
 28.000000  30.000000       17
 28.000000  31.000000       18
 28.000000  32.000000       24
 28.000000  33.000000       24
 28.000000  34.000000       24
 28.000000  35.000000       26
 28.000000  36.000000       26
 28.000000  37.000000       26
 28.000000  38.000000       26
 29.000000  21.000000        9
 29.000000  22.000000        9
 29.000000  23.000000        8
 29.000000  24.000000        8
 29.000000  25.000000        8
 29.000000  26.000000        8
 29.000000  27.000000        3
 29.000000  28.000000        3
 29.000000  29.000000        0
 29.000000  30.000000       16
 29.000000  31.000000       18
 29.000000  32.000000       20
 29.000000  33.000000       24
 29.000000  34.000000       24
 29.000000  35.000000       26
 29.000000  36.000000       26
 29.000000  37.000000       26
 29.000000  38.000000       26
 30.000000  21.000000        9
 30.000000  22.000000        9
 30.000000  23.000000        9
 30.000000  24.000000        8
 30.000000  25.000000        8
 30.000000  26.000000        8
 30.000000  27.000000       10
 30.000000  28.000000       10
 30.000000  29.000000       13
 30.000000  30.000000       13
 30.000000  31.000000       20
 30.000000  32.000000       20
 30.000000  33.000000       20
 30.000000  34.000000       25
 30.000000  35.000000       26
 30.000000  36.000000       26
 30.000000  37.000000       26
 30.000000  38.000000       26
 31.000000  21.000000        9
 31.000000  22.000000        9
 31.000000  23.000000        9
 31.000000  24.000000        9
 31.000000  25.000000        8
 31.000000  26.000000       11
 31.000000  27.000000       11
 31.000000  28.000000       11
 31.000000  29.000000       15
 31.000000  30.000000       15
 31.000000  31.000000       19
 31.000000  32.000000       20
 31.000000  33.000000       25
 31.000000  34.000000       25
 31.000000  35.000000       25
 31.000000  36.000000       25
 31.000000  37.000000       26
 31.000000  38.000000       26
 32.000000  21.000000        9
 32.000000  22.000000        9
 32.000000  23.000000        9
 32.000000  24.000000        9
 32.000000  25.000000        9
 32.000000  26.000000       11
 32.000000  27.000000       11
 32.000000  28.000000       11
 32.000000  29.000000       14
 32.000000  30.000000       19
 32.000000  31.000000       19
 32.000000  32.000000       19
 32.000000  33.000000       25
 32.000000  34.000000       25
 32.000000  35.000000       25
 32.000000  36.000000       25
 32.000000  37.000000       25
 33.000000  22.000000        9
 33.000000  23.000000        9
 33.000000  24.000000        9
 33.000000  25.000000        9
 33.000000  26.000000       11
 33.000000  27.000000       11
 33.000000  28.000000       14
 33.000000  29.000000       14
 33.000000  30.000000       19
 33.000000  31.000000       19
 33.000000  32.000000       19
 33.000000  33.000000       25
 33.000000  34.000000       25
 33.000000  35.000000       25
 33.000000  36.000000       25
 33.000000  37.000000       25
 34.000000  22.000000        9
 34.000000  23.000000        9
 34.000000  24.000000        9
 34.000000  25.000000       12
 34.000000  26.000000       12
 34.000000  27.000000       12
 34.000000  28.000000       14
 34.000000  29.000000       14
 34.000000  30.000000       14
 34.000000  31.000000       19
 34.000000  32.000000       27
 34.000000  33.000000       27
 34.000000  34.000000       25
 34.000000  35.000000       25
 34.000000  36.000000       25
 34.000000  37.000000       25
 35.000000  23.000000       12
 35.000000  24.000000       12
 35.000000  25.000000       12
 35.000000  26.000000       12
 35.000000  27.000000       12
 35.000000  28.000000       12
 35.000000  29.000000       14
 35.000000  30.000000       27
 35.000000  31.000000       27
 35.000000  32.000000       27
 35.000000  33.000000       27
 35.000000  34.000000       27
 35.000000  35.000000       27
 36.000000  23.000000       12
 36.000000  24.000000       12
 36.000000  25.000000       12
 36.000000  26.000000       12
 36.000000  27.000000       12
 36.000000  28.000000       12
 36.000000  29.000000       12
 36.000000  30.000000       27
 36.000000  31.000000       27
 36.000000  32.000000       27
 36.000000  33.000000       27
 36.000000  34.000000       27
 37.000000  24.000000       12
 37.000000  25.000000       12
 37.000000  26.000000       12
 37.000000  27.000000       12
 37.000000  28.000000       12
 37.000000  29.000000       12
 37.000000  30.000000       27
 37.000000  31.000000       27
 37.000000  32.000000       27
 37.000000  33.000000       27
 37.000000  34.000000       27
 38.000000  24.000000       12
 38.000000  25.000000       12
 38.000000  26.000000       12
 38.000000  27.000000       12
 38.000000  28.000000       12
 38.000000  29.000000       12
 38.000000  30.000000       27
 38.000000  31.000000       27
 38.000000  32.000000       27
 39.000000  26.000000       12
 39.000000  27.000000       12
 39.000000  28.000000       12
 39.000000  29.000000       12
 39.000000  30.000000       27
