# x[px] 		 y[px] 		 Vrms[kms⁻¹] 		 Erms[kms⁻¹]
9.578885665621154e+00 -3.040550839068075e+00 2.360981140136719e+02 1.208054351806641e+01
9.785089851017784e+00 -2.062041853966297e+00 2.360981140136719e+02 1.208054351806641e+01
9.991294036414413e+00 -1.083532868864518e+00 2.360981140136719e+02 1.208054351806641e+01
1.019749822181104e+01 -1.050238837627397e-01 2.360981140136719e+02 1.208054351806641e+01
7.981764124329487e+00 -5.769873608976781e+00 1.997777557373047e+02 1.150677776336670e+01
8.187968309726116e+00 -4.791364623875002e+00 2.360981140136719e+02 1.208054351806641e+01
8.394172495122746e+00 -3.812855638773224e+00 2.360981140136719e+02 1.208054351806641e+01
8.600376680519377e+00 -2.834346653671445e+00 2.360981140136719e+02 1.208054351806641e+01
8.806580865916006e+00 -1.855837668569667e+00 2.360981140136719e+02 1.208054351806641e+01
9.012785051312635e+00 -8.773286834678885e-01 2.360981140136719e+02 1.208054351806641e+01
9.218989236709266e+00 1.011803016338899e-01 2.360981140136719e+02 1.208054351806641e+01
9.425193422105895e+00 1.079689286735668e+00 2.360981140136719e+02 1.208054351806641e+01
9.631397607502524e+00 2.058198271837447e+00 2.360981140136719e+02 1.208054351806641e+01
9.837601792899154e+00 3.036707256939225e+00 2.589293823242188e+02 1.235851383209229e+01
7.003255139227709e+00 -5.563669423580151e+00 1.997777557373047e+02 1.150677776336670e+01
7.209459324624339e+00 -4.585160438478372e+00 2.090647125244141e+02 9.216159820556641e+00
7.415663510020968e+00 -3.606651453376594e+00 2.360981140136719e+02 1.208054351806641e+01
7.621867695417597e+00 -2.628142468274816e+00 2.360981140136719e+02 1.208054351806641e+01
7.828071880814227e+00 -1.649633483173037e+00 2.360981140136719e+02 1.208054351806641e+01
8.034276066210857e+00 -6.711244980712588e-01 2.360981140136719e+02 1.208054351806641e+01
8.240480251607487e+00 3.073844870305196e-01 2.360981140136719e+02 1.208054351806641e+01
8.446684437004116e+00 1.285893472132298e+00 2.360981140136719e+02 1.208054351806641e+01
8.652888622400745e+00 2.264402457234076e+00 2.360981140136719e+02 1.208054351806641e+01
8.859092807797376e+00 3.242911442335854e+00 2.589293823242188e+02 1.235851383209229e+01
5.818541968729301e+00 -6.335974223285300e+00 1.997777557373047e+02 1.150677776336670e+01
6.024746154125930e+00 -5.357465238183521e+00 1.997777557373047e+02 1.150677776336670e+01
6.230950339522559e+00 -4.378956253081743e+00 2.090647125244141e+02 9.216159820556641e+00
6.437154524919189e+00 -3.400447267979964e+00 2.090647125244141e+02 9.216159820556641e+00
6.643358710315820e+00 -2.421938282878186e+00 2.360981140136719e+02 1.208054351806641e+01
6.849562895712449e+00 -1.443429297776408e+00 2.360981140136719e+02 1.208054351806641e+01
7.055767081109078e+00 -4.649203126746292e-01 2.360981140136719e+02 1.208054351806641e+01
7.261971266505708e+00 5.135886724271492e-01 2.360981140136719e+02 1.208054351806641e+01
7.468175451902338e+00 1.492097657528928e+00 2.360981140136719e+02 1.208054351806641e+01
7.674379637298967e+00 2.470606642630706e+00 2.589293823242188e+02 1.235851383209229e+01
