# Vel [km/s] 	 Disp [km/s]
1.48270e+02 	 2.42292e+02
1.39883e+02 	 2.27620e+02
1.59518e+02 	 2.34420e+02
1.51857e+02 	 2.25744e+02
1.48079e+02 	 2.39855e+02
1.50063e+02 	 2.19659e+02
1.58816e+02 	 2.20865e+02
1.41908e+02 	 2.34367e+02
1.53284e+02 	 2.22842e+02
1.63834e+02 	 2.31185e+02
1.61263e+02 	 2.28503e+02
1.42774e+02 	 2.27614e+02
1.65336e+02 	 2.21227e+02
1.38208e+02 	 2.23881e+02
1.41662e+02 	 2.25690e+02
1.42825e+02 	 2.30829e+02
1.47318e+02 	 2.30573e+02
1.51794e+02 	 2.22791e+02
1.53697e+02 	 2.27934e+02
1.53554e+02 	 2.24312e+02
1.43036e+02 	 2.24116e+02
1.55334e+02 	 2.38980e+02
1.41020e+02 	 2.10323e+02
1.61508e+02 	 2.47577e+02
1.42034e+02 	 2.27559e+02
1.59387e+02 	 2.21949e+02
1.46313e+02 	 2.31584e+02
1.51151e+02 	 2.38828e+02
1.54841e+02 	 2.32136e+02
1.56433e+02 	 2.43748e+02
1.39828e+02 	 2.22352e+02
1.51814e+02 	 2.32725e+02
1.49859e+02 	 2.36776e+02
1.49791e+02 	 2.33875e+02
1.43939e+02 	 2.22137e+02
1.48075e+02 	 2.27084e+02
1.63721e+02 	 2.29821e+02
1.36286e+02 	 2.30704e+02
1.54435e+02 	 2.30971e+02
1.59952e+02 	 2.31138e+02
1.63517e+02 	 2.17174e+02
1.42443e+02 	 2.32247e+02
1.43202e+02 	 2.37483e+02
1.60604e+02 	 2.06246e+02
1.46477e+02 	 2.31644e+02
1.54573e+02 	 2.08984e+02
1.47311e+02 	 2.21958e+02
1.46684e+02 	 2.24846e+02
1.62604e+02 	 2.07102e+02
1.57525e+02 	 2.11381e+02
1.56618e+02 	 2.51387e+02
1.39739e+02 	 2.21929e+02
1.46832e+02 	 2.26290e+02
1.44146e+02 	 2.30306e+02
1.47045e+02 	 2.35371e+02
1.44353e+02 	 2.40187e+02
1.53803e+02 	 2.01050e+02
1.49992e+02 	 2.30436e+02
1.36188e+02 	 2.32194e+02
1.30717e+02 	 2.36070e+02
1.40535e+02 	 2.12307e+02
1.47471e+02 	 2.32503e+02
1.48087e+02 	 2.38791e+02
1.64626e+02 	 2.28243e+02
1.56206e+02 	 2.38947e+02
1.57280e+02 	 2.21200e+02
1.37277e+02 	 2.35975e+02
1.46176e+02 	 2.24040e+02
1.51945e+02 	 2.15485e+02
1.51022e+02 	 2.27412e+02
1.46889e+02 	 2.19317e+02
1.37000e+02 	 2.41726e+02
1.50973e+02 	 2.17472e+02
1.40821e+02 	 2.30790e+02
1.43862e+02 	 2.28509e+02
1.27611e+02 	 2.31436e+02
1.56674e+02 	 2.13476e+02
1.56753e+02 	 2.23720e+02
1.40183e+02 	 2.34675e+02
1.53382e+02 	 2.16520e+02
1.44316e+02 	 2.51480e+02
1.50330e+02 	 2.06311e+02
1.49014e+02 	 2.19127e+02
1.41700e+02 	 2.17881e+02
1.57580e+02 	 2.23853e+02
1.52479e+02 	 2.30837e+02
1.67178e+02 	 2.05978e+02
1.41803e+02 	 2.21626e+02
1.49831e+02 	 2.28060e+02
1.55383e+02 	 2.23645e+02
1.57585e+02 	 2.22961e+02
1.35914e+02 	 2.28675e+02
1.54346e+02 	 2.10656e+02
1.48783e+02 	 2.26398e+02
1.47295e+02 	 2.27559e+02
1.53763e+02 	 2.30373e+02
1.53397e+02 	 2.46286e+02
1.48216e+02 	 2.27710e+02
1.55531e+02 	 2.37293e+02
1.63154e+02 	 2.31004e+02
1.58242e+02 	 2.40250e+02
1.56143e+02 	 2.20375e+02
1.51350e+02 	 2.26783e+02
1.50688e+02 	 2.11837e+02
1.59319e+02 	 2.18773e+02
1.53458e+02 	 2.43700e+02
1.59265e+02 	 2.24035e+02
1.42770e+02 	 2.22449e+02
1.56334e+02 	 2.32064e+02
1.59095e+02 	 2.27609e+02
1.46778e+02 	 2.28973e+02
1.41444e+02 	 2.33009e+02
1.41761e+02 	 2.30234e+02
1.43562e+02 	 2.24655e+02
1.62512e+02 	 2.12442e+02
1.36352e+02 	 2.19688e+02
1.45732e+02 	 2.30482e+02
1.48269e+02 	 2.09199e+02
1.59625e+02 	 2.33327e+02
1.50654e+02 	 2.34463e+02
1.42991e+02 	 2.17337e+02
1.47875e+02 	 2.24699e+02
1.54992e+02 	 2.18940e+02
1.56712e+02 	 2.20519e+02
