galaxies_lens_mass_centre_0,galaxies_lens_mass_centre_1,log_likelihood,log_prior,log_posterior,weights
-0.00244370506097841,0.0014193675709094833,61864.61927161353,4.4368326257783233e-05,61864.61931598185,1.0
-0.003752341014901266,-0.0012646923791715418,61880.31086403485,8.710838836691578e-05,61880.31095114324,1.0
0.0038914387882966173,-0.002664046441134453,61895.13354210519,0.00012355799601989216,61895.13366566319,1.0
-0.00574255621597863,0.003747187216820016,61897.86932253861,0.00026121313295318963,61897.869583751744,1.0
-0.00030179944183148844,0.0008348973662233451,61908.12162454346,4.378536195647091e-06,61908.121628921996,1.0
-0.00023280562884685002,0.0029443753209934245,61958.327821905536,4.846413606498838e-05,61958.32787036967,1.0
0.0026597255453409737,-0.006114421838421793,61931.47854778181,0.0002470016355261593,61931.47879478344,1.0
-0.008519781096495748,-0.005645489839090895,61993.835140375304,0.0005803234747526934,61993.83572069878,1.0
-0.00437810772634831,0.003917609171399068,61874.0795542265,0.00019175271601856034,61874.079745979216,1.0
0.0008783274896597229,0.002782907387360926,61946.64449108752,4.7311292809555365e-05,61946.64453839882,1.0
-0.006518242428559064,0.0025015367158152794,61948.36725518436,0.00027080650165577476,61948.36752599086,1.0
-0.0022087157822292154,-0.0037762325713633998,61925.028538082464,0.00010632421022052361,61925.02864440667,1.0
-0.005991406010832275,0.0023934564997502754,61920.55145057246,0.0002312532222379664,61920.55168182568,1.0
-0.007953358981927165,-0.010125941794882024,61959.03202268413,0.0009210589796041117,61959.03294374311,1.0
-0.0006413828529820533,-0.00800728966850264,61932.76116531055,0.00035848922110782506,61932.76152379977,1.0
0.003966318279550627,0.002005420598049598,61953.29728676317,0.00010974106927655032,61953.29739650424,1.0
-0.011271894851328266,0.006098383261249345,62090.96064372992,0.0009124771774471494,62090.9615562071,1.0
-0.004882604559021915,-0.006151997412783123,61916.34823204834,0.00034270499692595465,61916.348574753334,1.0
0.005145222426092312,-0.0021006291650640828,61982.28691579863,0.00017158864835045047,61982.287087387274,1.0
-0.005412235222703637,-0.00719228364074397,61918.448807035355,0.0004501179670821512,61918.44925715332,1.0
-0.004925021017241495,0.011006313896309515,61972.66143362456,0.0008077487644687022,61972.66224137333,1.0
0.002214199584354418,-0.0017498366435031764,61943.94078309869,4.42478226572319e-05,61943.94082734651,1.0
-0.0015996596219594928,0.01412332069913289,61957.01017076837,0.0011223727693149064,61957.01129314114,1.0
0.006821000134001704,-0.0005170913896602093,61943.08886838334,0.00025996347962951107,61943.08912834682,1.0
0.004584894611530231,-0.0033001714055458198,61917.3806021694,0.00017729105502678455,61917.38077946046,1.0
0.002466755418083271,0.0055987357685478465,61857.08551293968,0.00020794846943700122,61857.08572088815,1.0
-0.004812274886129568,5.9981945447896805e-05,61932.774860877646,0.0001286754856302948,61932.77498955313,1.0
-0.0014283023193405358,0.0052927394804456445,61845.8043255498,0.00016696188179611993,61845.80449251168,1.0
0.00270549273652899,0.006491683587848147,61873.3749199883,0.00027478692640082287,61873.37519477523,1.0
0.0009580007283393825,-0.0013650331626037918,61935.11793127737,1.5450449613927208e-05,61935.11794672782,1.0
-0.004800277310489215,0.001879152427788892,61877.024010067704,0.00014763264502479147,61877.02415770035,1.0
0.008009030723618828,0.010969474967345367,61886.33802171515,0.0010248553010615944,61886.33904657045,1.0
0.0009161041143772928,-0.00036788831409593657,61932.26877004322,5.414380889040859e-06,61932.2687754576,1.0
0.00014239078511751188,0.00030953579536810856,61949.261558041464,6.449308016697169e-07,61949.2615586864,1.0
-0.0005196490612294899,0.003292681997350803,61934.22467560571,6.17321660139709e-05,61934.22473733787,1.0
0.002007233315979508,0.002279023646173069,61950.28742478373,5.123852424774489e-05,61950.287476022255,1.0
-0.0024446327700334346,-0.009662017258183728,61964.76169271811,0.0005518378159875642,61964.762244555925,1.0
-0.009077016774895735,-0.00612276829781021,61972.34887859008,0.000666002917557824,61972.349544592995,1.0
0.0020060568676300663,-0.002069466173683188,61930.091096915996,4.61497466676927e-05,61930.09114306574,1.0
-0.0006455331454660123,0.0006841964013096311,61894.918924778205,4.9157653192238535e-06,61894.91892969397,1.0
-0.0025860517973715323,0.000738431292377037,61914.92232124846,4.0183025956945304e-05,61914.92236143148,1.0
0.0011312317182601659,0.006877678414301697,61898.09808145602,0.00026990080872749643,61898.09835135683,1.0
-0.009966977144306837,0.006194355679510455,62164.2451407711,0.0007650593093301017,62164.24590583041,1.0
-0.006048369886610796,-0.0054422370552749556,61927.441506215815,0.00036778179139482285,61927.44187399761,1.0
0.00310533097076421,0.007416367350334059,61882.03058921911,0.0003591421395171578,61882.03094836125,1.0
0.00510615768664719,-0.010821062716331199,61942.97846284211,0.0007953791368426628,61942.97925822125,1.0
0.001379070767774488,0.00075672605869384,61990.35002436721,1.3747058391313492e-05,61990.350038114266,1.0
-0.005752345863341968,0.006218060411696884,61847.04399029024,0.00039863199008344154,61847.04438892224,1.0
-0.0020395302903024933,0.005382159282132891,61854.75641373324,0.00018404067968505892,61854.756597773914,1.0
0.004218235834362541,0.005744614092240724,61847.11438019426,0.00028218947012817203,61847.11466238373,1.0
-0.0016709853082340397,0.0030042438955744403,61874.73726104886,6.565374046905721e-05,61874.7373267026,1.0
-0.0025699730474634326,0.0005145468116680074,61920.47236571592,3.816399936714553e-05,61920.47240387992,1.0
0.01069365550794297,-0.007012073755904303,61925.05701531772,0.0009084635915600052,61925.05792378131,1.0
-0.013784847753156394,0.006476873843259813,62058.22696298051,0.001288732901995578,62058.22825171341,1.0
