# Vel [km/s] 	 Disp [km/s]
1.65072e+02 	 2.47767e+02
1.55556e+02 	 2.48579e+02
1.60534e+02 	 2.41980e+02
1.49056e+02 	 2.34933e+02
1.49022e+02 	 2.39743e+02
1.55903e+02 	 2.47495e+02
1.53260e+02 	 2.45300e+02
1.49875e+02 	 2.43339e+02
1.56411e+02 	 2.49008e+02
1.61241e+02 	 2.42581e+02
1.51447e+02 	 2.24937e+02
1.63313e+02 	 2.41846e+02
1.60036e+02 	 2.40935e+02
1.61893e+02 	 2.31652e+02
1.54496e+02 	 2.45102e+02
1.57551e+02 	 2.55006e+02
1.47345e+02 	 2.48357e+02
1.64311e+02 	 2.43575e+02
1.46296e+02 	 2.55176e+02
1.58797e+02 	 2.43523e+02
1.51573e+02 	 2.49220e+02
1.48150e+02 	 2.45462e+02
1.54326e+02 	 2.40950e+02
1.46800e+02 	 2.34427e+02
1.60618e+02 	 2.29512e+02
1.63371e+02 	 2.51419e+02
1.64717e+02 	 2.35376e+02
1.56357e+02 	 2.33957e+02
1.65509e+02 	 2.33893e+02
1.67592e+02 	 2.38822e+02
1.61679e+02 	 2.47248e+02
1.49068e+02 	 2.45073e+02
1.49707e+02 	 2.38341e+02
1.67780e+02 	 2.38208e+02
1.55310e+02 	 2.24395e+02
1.49243e+02 	 2.37057e+02
1.42045e+02 	 2.38360e+02
1.47372e+02 	 2.49880e+02
1.59092e+02 	 2.36168e+02
1.59167e+02 	 2.42771e+02
1.61061e+02 	 2.47961e+02
1.38276e+02 	 2.33716e+02
1.62227e+02 	 2.28154e+02
1.49524e+02 	 2.41898e+02
1.64668e+02 	 2.51763e+02
1.49023e+02 	 2.52104e+02
1.58041e+02 	 2.37472e+02
1.61186e+02 	 2.45208e+02
1.63557e+02 	 2.43287e+02
1.53502e+02 	 2.31308e+02
1.60128e+02 	 2.38526e+02
1.60105e+02 	 2.39580e+02
1.42879e+02 	 2.47385e+02
1.50431e+02 	 2.34324e+02
1.57642e+02 	 2.43980e+02
1.48798e+02 	 2.41997e+02
1.51905e+02 	 2.33478e+02
1.62144e+02 	 2.35602e+02
1.59857e+02 	 2.46257e+02
1.60378e+02 	 2.35307e+02
1.50897e+02 	 2.38932e+02
1.48494e+02 	 2.47425e+02
1.45895e+02 	 2.41460e+02
1.52950e+02 	 2.28906e+02
1.63797e+02 	 2.32056e+02
1.58028e+02 	 2.41123e+02
1.55366e+02 	 2.39362e+02
1.68947e+02 	 2.30268e+02
1.62417e+02 	 2.42537e+02
1.38943e+02 	 2.42979e+02
1.53653e+02 	 2.41283e+02
1.49505e+02 	 2.45744e+02
1.59196e+02 	 2.41709e+02
1.63394e+02 	 2.51166e+02
1.66887e+02 	 2.32734e+02
1.55847e+02 	 2.37997e+02
1.67693e+02 	 2.49544e+02
1.60609e+02 	 2.35186e+02
1.55309e+02 	 2.39377e+02
1.53046e+02 	 2.52163e+02
1.60337e+02 	 2.40939e+02
1.50395e+02 	 2.36416e+02
1.62475e+02 	 2.41514e+02
1.54035e+02 	 2.50683e+02
1.56710e+02 	 2.39289e+02
1.53679e+02 	 2.42859e+02
1.49735e+02 	 2.53495e+02
1.51416e+02 	 2.39570e+02
1.64074e+02 	 2.41513e+02
1.55348e+02 	 2.34332e+02
1.59448e+02 	 2.35716e+02
1.65850e+02 	 2.44843e+02
1.39179e+02 	 2.37004e+02
1.43446e+02 	 2.60133e+02
1.54112e+02 	 2.25028e+02
1.58461e+02 	 2.41708e+02
1.60677e+02 	 2.40269e+02
1.60117e+02 	 2.37573e+02
1.48079e+02 	 2.39019e+02
1.65372e+02 	 2.33002e+02
1.51602e+02 	 2.41041e+02
1.54516e+02 	 2.50219e+02
1.58931e+02 	 2.37361e+02
1.59646e+02 	 2.49037e+02
1.56812e+02 	 2.44759e+02
1.50991e+02 	 2.35423e+02
1.62658e+02 	 2.36846e+02
1.55585e+02 	 2.42244e+02
1.53569e+02 	 2.41578e+02
1.43202e+02 	 2.44714e+02
1.66839e+02 	 2.35134e+02
1.54291e+02 	 2.34662e+02
1.62528e+02 	 2.40204e+02
1.58687e+02 	 2.45925e+02
1.59069e+02 	 2.46904e+02
1.50632e+02 	 2.43359e+02
1.57770e+02 	 2.34109e+02
1.46610e+02 	 2.29787e+02
1.63056e+02 	 2.50219e+02
1.45941e+02 	 2.36404e+02
1.53931e+02 	 2.47285e+02
1.48652e+02 	 2.38076e+02
1.58973e+02 	 2.44540e+02
1.49682e+02 	 2.45310e+02
1.38866e+02 	 2.45802e+02
1.56232e+02 	 2.53047e+02
1.56089e+02 	 2.40229e+02
1.41553e+02 	 2.42086e+02
1.68593e+02 	 2.53630e+02
1.53225e+02 	 2.46545e+02
1.65129e+02 	 2.45723e+02
1.57330e+02 	 2.35178e+02
1.51269e+02 	 2.48636e+02
1.58226e+02 	 2.24790e+02
1.54995e+02 	 2.30526e+02
1.61552e+02 	 2.45457e+02
1.55438e+02 	 2.38695e+02
1.48372e+02 	 2.36986e+02
1.62008e+02 	 2.46690e+02
1.47882e+02 	 2.35961e+02
1.50093e+02 	 2.39966e+02
1.53911e+02 	 2.40272e+02
1.60158e+02 	 2.32720e+02
1.45900e+02 	 2.52426e+02
1.39409e+02 	 2.35372e+02
1.53354e+02 	 2.31570e+02
1.57399e+02 	 2.48068e+02
1.56415e+02 	 2.33805e+02
1.56159e+02 	 2.36729e+02
1.56818e+02 	 2.43423e+02
1.52205e+02 	 2.55139e+02
1.71161e+02 	 2.37069e+02
1.57475e+02 	 2.37750e+02
1.42968e+02 	 2.43024e+02
1.53883e+02 	 2.41091e+02
1.40918e+02 	 2.29429e+02
1.46825e+02 	 2.45980e+02
1.59154e+02 	 2.31256e+02
1.55927e+02 	 2.32208e+02
1.52101e+02 	 2.47013e+02
1.50566e+02 	 2.42445e+02
1.59458e+02 	 2.39889e+02
1.47886e+02 	 2.36452e+02
1.56374e+02 	 2.37461e+02
1.50615e+02 	 2.39774e+02
1.62942e+02 	 2.39195e+02
1.48456e+02 	 2.33275e+02
1.56008e+02 	 2.39859e+02
1.61259e+02 	 2.39557e+02
1.57702e+02 	 2.41499e+02
1.59231e+02 	 2.39960e+02
1.53179e+02 	 2.39949e+02
1.67035e+02 	 2.42661e+02
1.59445e+02 	 2.47986e+02
1.64210e+02 	 2.42023e+02
1.61852e+02 	 2.40362e+02
1.63749e+02 	 2.47854e+02
1.56329e+02 	 2.44988e+02
1.60440e+02 	 2.25976e+02
1.58061e+02 	 2.36314e+02
1.51352e+02 	 2.28764e+02
1.61398e+02 	 2.38619e+02
1.51684e+02 	 2.41712e+02
1.48396e+02 	 2.39404e+02
1.57899e+02 	 2.46105e+02
1.68855e+02 	 2.42252e+02
1.63229e+02 	 2.36203e+02
1.56808e+02 	 2.47886e+02
1.50659e+02 	 2.37111e+02
1.66800e+02 	 2.41366e+02
1.51029e+02 	 2.39838e+02
1.57497e+02 	 2.39555e+02
1.65826e+02 	 2.37435e+02
1.55391e+02 	 2.51138e+02
1.45754e+02 	 2.37873e+02
1.62266e+02 	 2.37840e+02
1.56619e+02 	 2.33768e+02
1.53851e+02 	 2.42583e+02
1.52240e+02 	 2.32444e+02
1.55608e+02 	 2.41781e+02
