# 1e0 		 1e12
0.000000e+00 	 1.140000e-04
0.000000e+00 	 2.280000e-04
0.000000e+00 	 2.590000e-04
1.140000e-04 	 3.750000e-04
2.280000e-04 	 4.190000e-04
2.590000e-04 	 6.600000e-04
3.750000e-04 	 8.430000e-04
4.190000e-04 	 1.161000e-03
6.920000e-04 	 1.253000e-03
8.390000e-04 	 1.825000e-03
1.161000e-03 	 2.101000e-03
1.630000e-03 	 2.563000e-03
1.825000e-03 	 3.123000e-03
2.563000e-03 	 4.074000e-03
2.791000e-03 	 4.311000e-03
4.029000e-03 	 5.657000e-03
5.656000e-03 	 5.823000e-03
6.844000e-03 	 7.324000e-03
7.942000e-03 	 9.957000e-03
9.957000e-03 	 1.398000e-02
1.398000e-02 	 1.962700e-02
1.962800e-02 	 2.755700e-02
2.755600e-02 	 3.438800e-02
3.200700e-02 	 3.694400e-02
4.332100e-02 	 4.332200e-02
5.505800e-02 	 5.376100e-02
6.810500e-02 	 6.810500e-02
9.561600e-02 	 9.561800e-02
1.070670e-01 	 1.070670e-01
1.598080e-01 	 1.600870e-01
1.683190e-01 	 1.683140e-01
2.646920e-01 	 2.646810e-01
2.962910e-01 	 2.962900e-01
4.860080e-01 	 4.867250e-01
9.493250e-01 	 9.585730e-01
1.006556e+00 	 1.008673e+00
2.277678e+00 	 2.277753e+00
2.391985e+00 	 2.391653e+00
9.329915e+00 	 9.329915e+00
