# Vel [km/s] 	 Disp [km/s]
1.49874e+02 	 2.19991e+02
1.59379e+02 	 2.42513e+02
1.58068e+02 	 2.41090e+02
1.65629e+02 	 2.39396e+02
1.44156e+02 	 2.37056e+02
1.57999e+02 	 2.46346e+02
1.55341e+02 	 2.42193e+02
1.41037e+02 	 2.33058e+02
1.48750e+02 	 2.26877e+02
1.46326e+02 	 2.37481e+02
1.59563e+02 	 2.50099e+02
1.45036e+02 	 2.27109e+02
1.55977e+02 	 2.49953e+02
1.59007e+02 	 2.42495e+02
1.65862e+02 	 2.47357e+02
1.54372e+02 	 2.38544e+02
1.48894e+02 	 2.40751e+02
1.65849e+02 	 2.45900e+02
1.54659e+02 	 2.29894e+02
1.51562e+02 	 2.44626e+02
1.55612e+02 	 2.36679e+02
1.60384e+02 	 2.45302e+02
1.53205e+02 	 2.52591e+02
1.50124e+02 	 2.35767e+02
1.56278e+02 	 2.36493e+02
1.61188e+02 	 2.52874e+02
1.43766e+02 	 2.43135e+02
1.52083e+02 	 2.39811e+02
1.43773e+02 	 2.36586e+02
1.49419e+02 	 2.40887e+02
1.51531e+02 	 2.28025e+02
1.58715e+02 	 2.39455e+02
1.52086e+02 	 2.39848e+02
1.43294e+02 	 2.47079e+02
1.51008e+02 	 2.37818e+02
1.53407e+02 	 2.38442e+02
1.49546e+02 	 2.49054e+02
1.54315e+02 	 2.43750e+02
1.63463e+02 	 2.49869e+02
1.53252e+02 	 2.46248e+02
1.42638e+02 	 2.35015e+02
1.46093e+02 	 2.27707e+02
1.49242e+02 	 2.46513e+02
1.56283e+02 	 2.36072e+02
1.66852e+02 	 2.34774e+02
1.50351e+02 	 2.33041e+02
1.47425e+02 	 2.27327e+02
1.53354e+02 	 2.30556e+02
1.53812e+02 	 2.40320e+02
1.47971e+02 	 2.28581e+02
1.45214e+02 	 2.43826e+02
1.61041e+02 	 2.38816e+02
1.53753e+02 	 2.36334e+02
1.58100e+02 	 2.34615e+02
1.39277e+02 	 2.37067e+02
1.43663e+02 	 2.36685e+02
1.62967e+02 	 2.42376e+02
1.57310e+02 	 2.36063e+02
1.45833e+02 	 2.41197e+02
1.58965e+02 	 2.41226e+02
1.45181e+02 	 2.34500e+02
1.64843e+02 	 2.40814e+02
1.54911e+02 	 2.40100e+02
1.53919e+02 	 2.36987e+02
1.47773e+02 	 2.32706e+02
1.47505e+02 	 2.36902e+02
1.62230e+02 	 2.53726e+02
1.58619e+02 	 2.23270e+02
1.61111e+02 	 2.34498e+02
1.52709e+02 	 2.35312e+02
1.44147e+02 	 2.38547e+02
1.52251e+02 	 2.39331e+02
1.62357e+02 	 2.36578e+02
1.49175e+02 	 2.34178e+02
1.49457e+02 	 2.27764e+02
1.53040e+02 	 2.48464e+02
1.35132e+02 	 2.39942e+02
1.59712e+02 	 2.27870e+02
1.58083e+02 	 2.43549e+02
1.63343e+02 	 2.33501e+02
1.47150e+02 	 2.35147e+02
