# Vel [km/s] 	 Disp [km/s]
1.62178e+02 	 2.27440e+02
1.76797e+02 	 2.39475e+02
1.44634e+02 	 2.34027e+02
1.81099e+02 	 2.25696e+02
1.45947e+02 	 2.37136e+02
1.75454e+02 	 2.45852e+02
1.69751e+02 	 2.47419e+02
1.84615e+02 	 2.26532e+02
1.55678e+02 	 2.41264e+02
1.80903e+02 	 2.35853e+02
1.65556e+02 	 2.19136e+02
1.80840e+02 	 2.24374e+02
1.77606e+02 	 2.51254e+02
1.50863e+02 	 2.19164e+02
1.45566e+02 	 2.27995e+02
1.70190e+02 	 2.38071e+02
1.86838e+02 	 2.47831e+02
1.73000e+02 	 2.28184e+02
1.68060e+02 	 2.31033e+02
1.65372e+02 	 2.27517e+02
1.65842e+02 	 2.44495e+02
1.70439e+02 	 2.30492e+02
1.35627e+02 	 2.45271e+02
1.52017e+02 	 2.64562e+02
1.47249e+02 	 2.28142e+02
1.72361e+02 	 2.27399e+02
1.39849e+02 	 2.20720e+02
1.46543e+02 	 2.29562e+02
1.55936e+02 	 2.38091e+02
1.62856e+02 	 2.41678e+02
1.84193e+02 	 2.37652e+02
1.48037e+02 	 2.41594e+02
1.84334e+02 	 2.50497e+02
1.62543e+02 	 2.42795e+02
1.57352e+02 	 2.24674e+02
1.62165e+02 	 2.34059e+02
1.60460e+02 	 2.34317e+02
1.82635e+02 	 2.32387e+02
1.68997e+02 	 2.33385e+02
1.62536e+02 	 2.43933e+02
1.74901e+02 	 2.41745e+02
1.87769e+02 	 2.42697e+02
1.60023e+02 	 2.23553e+02
1.62039e+02 	 2.50799e+02
1.75564e+02 	 2.35550e+02
1.69531e+02 	 2.37834e+02
1.53189e+02 	 2.36571e+02
1.78420e+02 	 2.31037e+02
1.66067e+02 	 2.27963e+02
1.79920e+02 	 2.46416e+02
1.51940e+02 	 2.46989e+02
1.70037e+02 	 2.24649e+02
1.74922e+02 	 2.30822e+02
1.55753e+02 	 2.28765e+02
1.40090e+02 	 2.34537e+02
1.43230e+02 	 2.29130e+02
1.79459e+02 	 2.24850e+02
1.44445e+02 	 2.36212e+02
1.68516e+02 	 2.33200e+02
1.56682e+02 	 2.25755e+02
1.54924e+02 	 2.32241e+02
1.49305e+02 	 2.24776e+02
1.60978e+02 	 2.43751e+02
1.58939e+02 	 2.40752e+02
1.65290e+02 	 2.30870e+02
1.56756e+02 	 2.28686e+02
1.61176e+02 	 2.26569e+02
1.83003e+02 	 2.31650e+02
1.67448e+02 	 2.30055e+02
1.50237e+02 	 2.32481e+02
1.65223e+02 	 2.16814e+02
1.48385e+02 	 2.26163e+02
1.69671e+02 	 2.30029e+02
1.61734e+02 	 2.13831e+02
1.75143e+02 	 2.24635e+02
1.61022e+02 	 2.28111e+02
1.78213e+02 	 2.28743e+02
1.58758e+02 	 2.33717e+02
1.77502e+02 	 2.28465e+02
1.61240e+02 	 2.27386e+02
1.72717e+02 	 2.27651e+02
1.65537e+02 	 2.40109e+02
1.58473e+02 	 2.23431e+02
1.68371e+02 	 2.31014e+02
1.52897e+02 	 2.33360e+02
1.60718e+02 	 2.36889e+02
1.70166e+02 	 2.29709e+02
1.55722e+02 	 2.35370e+02
1.70279e+02 	 2.31840e+02
1.65794e+02 	 2.19711e+02
1.66322e+02 	 2.46177e+02
1.55722e+02 	 2.32248e+02
1.71524e+02 	 2.30258e+02
1.44910e+02 	 2.41800e+02
1.76918e+02 	 2.30752e+02
1.72530e+02 	 2.43998e+02
1.65561e+02 	 2.55140e+02
1.53243e+02 	 2.49656e+02
1.57664e+02 	 2.26428e+02
1.58458e+02 	 2.16786e+02
1.62555e+02 	 2.45539e+02
1.57022e+02 	 2.48071e+02
1.56711e+02 	 2.21962e+02
1.56980e+02 	 2.25670e+02
1.77737e+02 	 2.32410e+02
1.77943e+02 	 2.44213e+02
1.70127e+02 	 2.39067e+02
1.68679e+02 	 2.25893e+02
1.60297e+02 	 2.28488e+02
1.57817e+02 	 2.27219e+02
1.72368e+02 	 2.45969e+02
1.79518e+02 	 2.65654e+02
1.48287e+02 	 2.22525e+02
1.81756e+02 	 2.24678e+02
1.61034e+02 	 2.30068e+02
1.63098e+02 	 2.45202e+02
1.76972e+02 	 2.33751e+02
1.63265e+02 	 2.33028e+02
1.56879e+02 	 2.38700e+02
1.74904e+02 	 2.30901e+02
1.67106e+02 	 2.25046e+02
1.62436e+02 	 2.23667e+02
1.85770e+02 	 2.47941e+02
1.69499e+02 	 2.40575e+02
1.45883e+02 	 2.29979e+02
1.64620e+02 	 2.27860e+02
1.59163e+02 	 2.10371e+02
1.57155e+02 	 2.15451e+02
1.78814e+02 	 2.26287e+02
1.67325e+02 	 2.40004e+02
1.59363e+02 	 2.58165e+02
1.67936e+02 	 2.30198e+02
1.59030e+02 	 2.30787e+02
1.72083e+02 	 2.48049e+02
1.70883e+02 	 2.16584e+02
1.49017e+02 	 2.22546e+02
1.71699e+02 	 2.22341e+02
1.49780e+02 	 2.25106e+02
1.67051e+02 	 2.07802e+02
1.87436e+02 	 2.35506e+02
1.45554e+02 	 2.48047e+02
1.72353e+02 	 2.29465e+02
1.59671e+02 	 2.34870e+02
1.52799e+02 	 2.41006e+02
1.54810e+02 	 2.30432e+02
1.53196e+02 	 2.47079e+02
1.57759e+02 	 2.38302e+02
1.39184e+02 	 2.33497e+02
1.40996e+02 	 2.45474e+02
1.87679e+02 	 2.37047e+02
1.75291e+02 	 2.27139e+02
1.89561e+02 	 2.24184e+02
1.48794e+02 	 2.44546e+02
1.57811e+02 	 2.33094e+02
1.59518e+02 	 2.41362e+02
1.58460e+02 	 2.50357e+02
1.75006e+02 	 2.14446e+02
1.56484e+02 	 2.35290e+02
1.72878e+02 	 2.18649e+02
1.39901e+02 	 2.17520e+02
1.67158e+02 	 2.35722e+02
1.50003e+02 	 2.27501e+02
1.66099e+02 	 2.25149e+02
1.66439e+02 	 2.34232e+02
1.56231e+02 	 2.33416e+02
1.60971e+02 	 2.58360e+02
1.41002e+02 	 2.40423e+02
1.59943e+02 	 2.22564e+02
1.56475e+02 	 2.37296e+02
1.55221e+02 	 2.22557e+02
1.59699e+02 	 2.50702e+02
1.52375e+02 	 2.44849e+02
1.88126e+02 	 2.25451e+02
1.63341e+02 	 2.46377e+02
1.88009e+02 	 2.44176e+02
1.69314e+02 	 2.46478e+02
1.64228e+02 	 2.09338e+02
1.37833e+02 	 2.51985e+02
1.68957e+02 	 2.44080e+02
1.58773e+02 	 2.24258e+02
1.77773e+02 	 2.33006e+02
1.78900e+02 	 2.27737e+02
1.71490e+02 	 2.53439e+02
1.47172e+02 	 2.40600e+02
1.53131e+02 	 2.45801e+02
1.67969e+02 	 2.50866e+02
1.59721e+02 	 2.40417e+02
1.74334e+02 	 2.41359e+02
1.52070e+02 	 2.26813e+02
1.39115e+02 	 2.35559e+02
1.77069e+02 	 2.36531e+02
1.77212e+02 	 2.39261e+02
1.74549e+02 	 2.19894e+02
1.56420e+02 	 2.38839e+02
1.58716e+02 	 2.16049e+02
1.56431e+02 	 2.24961e+02
1.80131e+02 	 2.43371e+02
1.82313e+02 	 2.31088e+02
1.44531e+02 	 2.24321e+02
1.68931e+02 	 2.41089e+02
