# Vel [km/s] 	 Disp [km/s]
1.62118e+02 	 2.44399e+02
1.66874e+02 	 2.16459e+02
1.55371e+02 	 2.42616e+02
1.79112e+02 	 2.22690e+02
1.57831e+02 	 2.25245e+02
1.73850e+02 	 2.47753e+02
1.73263e+02 	 2.38210e+02
1.78092e+02 	 2.23886e+02
1.76457e+02 	 2.47358e+02
1.60936e+02 	 2.34906e+02
1.58729e+02 	 2.28882e+02
1.85387e+02 	 2.34040e+02
1.57330e+02 	 2.49109e+02
1.72689e+02 	 2.61738e+02
1.51032e+02 	 2.42882e+02
1.64990e+02 	 2.37785e+02
1.79453e+02 	 2.45356e+02
1.64455e+02 	 2.42277e+02
2.03670e+02 	 2.57174e+02
1.82934e+02 	 2.38215e+02
1.54344e+02 	 2.25571e+02
1.82362e+02 	 2.30915e+02
1.73070e+02 	 2.40209e+02
1.54408e+02 	 2.28169e+02
1.57724e+02 	 2.51856e+02
1.62997e+02 	 2.30682e+02
1.67888e+02 	 2.48892e+02
1.61909e+02 	 2.29277e+02
1.71612e+02 	 2.31228e+02
1.69108e+02 	 2.58060e+02
1.88778e+02 	 2.18431e+02
1.56511e+02 	 2.27474e+02
1.87551e+02 	 2.34901e+02
1.51003e+02 	 2.52242e+02
1.58833e+02 	 2.26961e+02
1.66431e+02 	 2.31319e+02
1.70131e+02 	 2.42888e+02
1.83327e+02 	 2.32355e+02
1.66432e+02 	 2.43968e+02
1.72085e+02 	 2.34311e+02
1.51759e+02 	 2.31675e+02
1.68222e+02 	 2.29424e+02
1.63956e+02 	 2.34822e+02
1.78339e+02 	 2.37223e+02
1.50119e+02 	 2.50188e+02
1.61140e+02 	 2.24114e+02
1.85218e+02 	 2.28306e+02
1.69104e+02 	 2.49513e+02
1.65771e+02 	 2.46385e+02
1.63476e+02 	 2.48631e+02
1.59594e+02 	 2.43589e+02
1.75680e+02 	 2.38773e+02
1.73217e+02 	 2.41124e+02
1.73997e+02 	 2.40498e+02
1.62830e+02 	 2.34203e+02
1.78650e+02 	 2.48970e+02
1.79260e+02 	 2.47489e+02
1.73503e+02 	 2.22299e+02
1.56089e+02 	 2.43110e+02
1.68252e+02 	 2.33186e+02
1.85531e+02 	 2.35225e+02
1.74985e+02 	 2.38552e+02
1.62610e+02 	 2.45180e+02
1.64664e+02 	 2.59324e+02
1.59338e+02 	 2.46614e+02
1.65207e+02 	 2.40792e+02
1.89552e+02 	 2.38243e+02
1.74252e+02 	 2.29909e+02
1.73703e+02 	 2.57680e+02
1.64411e+02 	 2.29841e+02
1.72678e+02 	 2.44798e+02
1.79937e+02 	 2.40551e+02
1.60168e+02 	 2.44613e+02
1.48272e+02 	 2.46776e+02
1.79539e+02 	 2.21711e+02
1.77946e+02 	 2.39567e+02
1.69702e+02 	 2.38236e+02
1.63803e+02 	 2.29156e+02
1.63073e+02 	 2.34899e+02
1.88042e+02 	 2.37643e+02
1.60326e+02 	 2.42130e+02
1.73013e+02 	 2.26575e+02
1.69351e+02 	 2.43116e+02
1.64811e+02 	 2.48833e+02
1.63999e+02 	 2.54309e+02
1.68135e+02 	 2.31569e+02
1.71159e+02 	 2.27448e+02
1.52633e+02 	 2.44993e+02
1.77453e+02 	 2.20467e+02
1.86512e+02 	 2.38186e+02
1.53524e+02 	 2.41473e+02
1.93623e+02 	 2.46725e+02
1.64217e+02 	 2.55651e+02
1.49504e+02 	 2.34543e+02
1.63568e+02 	 2.47816e+02
1.59261e+02 	 2.29165e+02
1.79125e+02 	 2.59014e+02
1.75987e+02 	 2.42279e+02
1.76662e+02 	 2.23319e+02
1.75485e+02 	 2.52608e+02
1.81086e+02 	 2.43547e+02
1.50514e+02 	 2.41057e+02
1.70873e+02 	 2.57975e+02
1.79181e+02 	 2.43018e+02
1.75793e+02 	 2.32908e+02
1.68542e+02 	 2.41877e+02
1.81322e+02 	 2.31119e+02
1.78635e+02 	 2.39747e+02
1.88103e+02 	 2.39423e+02
1.65102e+02 	 2.43908e+02
1.55251e+02 	 2.30699e+02
1.75418e+02 	 2.34108e+02
1.64826e+02 	 2.41754e+02
1.73705e+02 	 2.30262e+02
1.58570e+02 	 2.32150e+02
1.75579e+02 	 2.32986e+02
1.61520e+02 	 2.45385e+02
1.80443e+02 	 2.50654e+02
1.78414e+02 	 2.39535e+02
1.63379e+02 	 2.26526e+02
1.48872e+02 	 2.40086e+02
1.92899e+02 	 2.40680e+02
1.68138e+02 	 2.20478e+02
1.55390e+02 	 2.21212e+02
1.51831e+02 	 2.48807e+02
1.53597e+02 	 2.27651e+02
1.72929e+02 	 2.34421e+02
1.70244e+02 	 2.56175e+02
1.50227e+02 	 2.47003e+02
1.83768e+02 	 2.48661e+02
1.26962e+02 	 2.58982e+02
1.62179e+02 	 2.47553e+02
1.72415e+02 	 2.16212e+02
1.65640e+02 	 2.50313e+02
1.67619e+02 	 2.63027e+02
1.57487e+02 	 2.38375e+02
1.61735e+02 	 2.45837e+02
1.86551e+02 	 2.52105e+02
1.58313e+02 	 2.30205e+02
1.76341e+02 	 2.52368e+02
1.80371e+02 	 2.28398e+02
1.69689e+02 	 2.36164e+02
1.54727e+02 	 2.51513e+02
1.68230e+02 	 2.46970e+02
1.77957e+02 	 2.46323e+02
1.83696e+02 	 2.47105e+02
1.63763e+02 	 2.52073e+02
1.62786e+02 	 2.39794e+02
1.91562e+02 	 2.37193e+02
1.46225e+02 	 2.48323e+02
1.68995e+02 	 2.43148e+02
1.80621e+02 	 2.53289e+02
1.69537e+02 	 2.45616e+02
1.57614e+02 	 2.39364e+02
1.62013e+02 	 2.34911e+02
1.62710e+02 	 2.53119e+02
1.57315e+02 	 2.39528e+02
1.88654e+02 	 2.47937e+02
1.67949e+02 	 2.22358e+02
1.82819e+02 	 2.13437e+02
1.57392e+02 	 2.25021e+02
1.49618e+02 	 2.36316e+02
1.88767e+02 	 2.23896e+02
1.81819e+02 	 2.47223e+02
1.74468e+02 	 2.22913e+02
1.73138e+02 	 2.33206e+02
1.76689e+02 	 2.61767e+02
1.69673e+02 	 2.39524e+02
1.55801e+02 	 2.16509e+02
1.80035e+02 	 2.29449e+02
1.80436e+02 	 2.42202e+02
1.56011e+02 	 2.21175e+02
1.68779e+02 	 2.15596e+02
1.62955e+02 	 2.36473e+02
1.86560e+02 	 2.61057e+02
1.71125e+02 	 2.30840e+02
1.62050e+02 	 2.69737e+02
1.84834e+02 	 2.38678e+02
1.36585e+02 	 2.26224e+02
1.62519e+02 	 2.40291e+02
1.66549e+02 	 2.34870e+02
1.82975e+02 	 2.31578e+02
1.55816e+02 	 2.21729e+02
1.68582e+02 	 2.37635e+02
1.60751e+02 	 2.45271e+02
1.72831e+02 	 2.29023e+02
1.65050e+02 	 2.44290e+02
1.64171e+02 	 2.44112e+02
1.77560e+02 	 2.26398e+02
1.75449e+02 	 2.37801e+02
1.78015e+02 	 2.52712e+02
1.72457e+02 	 2.41099e+02
1.44678e+02 	 2.44926e+02
1.59430e+02 	 2.42202e+02
1.56905e+02 	 2.42771e+02
1.54295e+02 	 2.29476e+02
1.63023e+02 	 2.57410e+02
1.78177e+02 	 2.54780e+02
1.66146e+02 	 2.33439e+02
1.48769e+02 	 2.51617e+02
