# y_px x_px vel(km/s) disp(km/s) chi2/DOF 1-sigma
4 10 -3.100875511285713628e+02 3.194478600858263349e+02 1.085640845626284934e+00 9.658738156754731463e+00
4 11 -3.017877955856167773e+02 3.337104455791501891e+02 1.338907897724389118e+00 1.070097827096008558e+01
4 12 -3.259488614080440243e+02 3.355002944774088292e+02 1.296923429828585883e+00 1.217513272546191061e+01
4 13 -3.141231244889127652e+02 3.167522223738075127e+02 1.247258076324305076e+00 1.070437979567746112e+01
4 14 -2.967393564151428222e+02 3.072266195576750647e+02 1.955419460359876016e+00 1.315459348771866388e+01
4 15 -2.999378277136547695e+02 3.364359141413978023e+02 1.256757972357052111e+00 1.346912955825980696e+01
4 16 -3.305513276670048413e+02 3.488879614387105335e+02 1.333067185286149980e+00 1.511511318588511976e+01
4 17 -3.215294130373044368e+02 2.916374106530683434e+02 1.292116209803324978e+00 1.279298960312541666e+01
4 18 -3.150935634881752776e+02 2.814949749846783220e+02 1.517490665479155343e+00 1.519991273862372694e+01
4 19 -3.185428531658545239e+02 3.048860726473842533e+02 1.869650649432900824e+00 1.872940274860186705e+01
5 0 -2.997380610193217763e+02 3.208316022353984636e+02 1.617649152828374959e+00 2.071980131911638168e+01
5 1 -2.993776170749057428e+02 3.173154533599956721e+02 1.320382179515891652e+00 1.646242026957303395e+01
5 2 -2.853604103452425989e+02 2.842238045277132983e+02 1.358546320178681377e+00 1.381895377368604194e+01
5 3 -3.174813887636723848e+02 2.974766341786786370e+02 1.385896972693481333e+00 1.414813425448494755e+01
5 4 -3.103328893796170291e+02 3.149396424300174999e+02 1.369917770428929371e+00 1.314101819678089811e+01
5 5 -3.445538147758134073e+02 3.276309652968803334e+02 1.315579955278953328e+00 1.277986947343670465e+01
5 6 -2.768551382653410542e+02 3.215638174744233879e+02 1.164020339398998516e+00 1.095799088948236211e+01
5 7 -3.164305549221696197e+02 3.220910788231680613e+02 1.397654617003377897e+00 1.055527752142921472e+01
5 8 -2.930960463613088223e+02 2.990023536377918276e+02 1.231959578755396967e+00 8.763926377107578602e+00
5 9 -3.229491014973631877e+02 3.258932313888557246e+02 1.356523205085242711e+00 9.296477456565451547e+00
5 10 -3.225443137949268362e+02 3.213108038389428316e+02 1.237212108251805942e+00 8.579323543218260184e+00
5 11 -3.191144796428254153e+02 3.407000607456697026e+02 1.209477322593811355e+00 9.008480521757864068e+00
