# Vel [km/s] 	 Disp [km/s]
1.65706e+02 	 2.47279e+02
1.62095e+02 	 2.44465e+02
1.57607e+02 	 2.49199e+02
1.46843e+02 	 2.36321e+02
1.58597e+02 	 2.39036e+02
1.71369e+02 	 2.44995e+02
1.58631e+02 	 2.49767e+02
1.66958e+02 	 2.38652e+02
1.61436e+02 	 2.36341e+02
1.65194e+02 	 2.33298e+02
1.68072e+02 	 2.44552e+02
1.52852e+02 	 2.37834e+02
1.62225e+02 	 2.49287e+02
1.48325e+02 	 2.41525e+02
1.58804e+02 	 2.51240e+02
1.60832e+02 	 2.49437e+02
1.51944e+02 	 2.34546e+02
1.49520e+02 	 2.30804e+02
1.54306e+02 	 2.50916e+02
1.58814e+02 	 2.30752e+02
1.67992e+02 	 2.31087e+02
1.48764e+02 	 2.34713e+02
1.63954e+02 	 2.37391e+02
1.47661e+02 	 2.52569e+02
1.65860e+02 	 2.42812e+02
1.58250e+02 	 2.41593e+02
1.61265e+02 	 2.41972e+02
1.61248e+02 	 2.49356e+02
1.53388e+02 	 2.43742e+02
1.41854e+02 	 2.52978e+02
1.55909e+02 	 2.47465e+02
1.62246e+02 	 2.39333e+02
1.58865e+02 	 2.51368e+02
1.43802e+02 	 2.33245e+02
1.51945e+02 	 2.44645e+02
1.53843e+02 	 2.30663e+02
1.67395e+02 	 2.36664e+02
1.70860e+02 	 2.40947e+02
1.51789e+02 	 2.55390e+02
1.49829e+02 	 2.49990e+02
1.64628e+02 	 2.50311e+02
1.57878e+02 	 2.35282e+02
1.63476e+02 	 2.46327e+02
1.62297e+02 	 2.46517e+02
1.63974e+02 	 2.33387e+02
1.54708e+02 	 2.34599e+02
1.57116e+02 	 2.42549e+02
1.56550e+02 	 2.35731e+02
1.55550e+02 	 2.29306e+02
1.58191e+02 	 2.34072e+02
1.59770e+02 	 2.42564e+02
1.69642e+02 	 2.42929e+02
1.69421e+02 	 2.49452e+02
1.62616e+02 	 2.47457e+02
1.49479e+02 	 2.42962e+02
1.49484e+02 	 2.35993e+02
1.59038e+02 	 2.39952e+02
1.53402e+02 	 2.42974e+02
1.57546e+02 	 2.53358e+02
1.54444e+02 	 2.41210e+02
1.56522e+02 	 2.43654e+02
1.60796e+02 	 2.51340e+02
1.60686e+02 	 2.35889e+02
1.62531e+02 	 2.39334e+02
1.58180e+02 	 2.38143e+02
1.62770e+02 	 2.46300e+02
1.52451e+02 	 2.39052e+02
1.61778e+02 	 2.48766e+02
1.67498e+02 	 2.42456e+02
1.67124e+02 	 2.43046e+02
1.61674e+02 	 2.48629e+02
1.51474e+02 	 2.56271e+02
1.64337e+02 	 2.35627e+02
1.53442e+02 	 2.44396e+02
1.48150e+02 	 2.55964e+02
1.62789e+02 	 2.40209e+02
1.51440e+02 	 2.51019e+02
1.59831e+02 	 2.48461e+02
1.62288e+02 	 2.42325e+02
1.61951e+02 	 2.53834e+02
1.61289e+02 	 2.39457e+02
1.65086e+02 	 2.50846e+02
1.62949e+02 	 2.38540e+02
1.47549e+02 	 2.44908e+02
1.57097e+02 	 2.42721e+02
1.58454e+02 	 2.48363e+02
1.61331e+02 	 2.42701e+02
1.52466e+02 	 2.35837e+02
1.58664e+02 	 2.46009e+02
1.59729e+02 	 2.45768e+02
1.53616e+02 	 2.42455e+02
1.56868e+02 	 2.38054e+02
1.55579e+02 	 2.47415e+02
1.52603e+02 	 2.53835e+02
1.49695e+02 	 2.47791e+02
1.56035e+02 	 2.46359e+02
1.53933e+02 	 2.40880e+02
1.64562e+02 	 2.43398e+02
