# y_px x_px signal noise
3.100000000000000000e+01 2.000000000000000000e+01 3.874759435653686523e+00 2.416509151458740234e+00
3.100000000000000000e+01 2.100000000000000000e+01 4.969033718109130859e+00 2.391456365585327148e+00
3.100000000000000000e+01 2.200000000000000000e+01 6.446215629577636719e+00 2.444347858428955078e+00
3.100000000000000000e+01 2.300000000000000000e+01 8.619398117065429688e+00 2.348453760147094727e+00
3.100000000000000000e+01 2.400000000000000000e+01 1.143194103240966797e+01 2.399783372879028320e+00
3.100000000000000000e+01 2.500000000000000000e+01 1.555060577392578125e+01 2.445391416549682617e+00
3.100000000000000000e+01 2.600000000000000000e+01 2.067762184143066406e+01 2.492338418960571289e+00
3.100000000000000000e+01 2.700000000000000000e+01 2.726461219787597656e+01 2.693657159805297852e+00
3.100000000000000000e+01 2.800000000000000000e+01 3.382437896728515625e+01 2.774842500686645508e+00
3.100000000000000000e+01 2.900000000000000000e+01 3.737807846069335938e+01 2.815065145492553711e+00
3.100000000000000000e+01 3.000000000000000000e+01 3.642744064331054688e+01 2.896853208541870117e+00
3.100000000000000000e+01 3.100000000000000000e+01 3.037563133239746094e+01 2.842478036880493164e+00
3.100000000000000000e+01 3.200000000000000000e+01 2.377618789672851562e+01 2.723750829696655273e+00
3.100000000000000000e+01 3.300000000000000000e+01 1.774000930786132812e+01 2.522100925445556641e+00
3.100000000000000000e+01 3.400000000000000000e+01 1.296506023406982422e+01 2.466219663619995117e+00
3.100000000000000000e+01 3.500000000000000000e+01 9.584094047546386719e+00 2.504377603530883789e+00
3.100000000000000000e+01 3.600000000000000000e+01 7.108284950256347656e+00 2.438137531280517578e+00
3.100000000000000000e+01 3.700000000000000000e+01 5.410966873168945312e+00 2.302021026611328125e+00
3.100000000000000000e+01 3.800000000000000000e+01 4.286861419677734375e+00 2.300128459930419922e+00
3.200000000000000000e+01 2.000000000000000000e+01 3.775125026702880859e+00 2.363023281097412109e+00
3.200000000000000000e+01 2.100000000000000000e+01 4.808627128601074219e+00 2.339442014694213867e+00
3.200000000000000000e+01 2.200000000000000000e+01 6.256128787994384766e+00 2.382885932922363281e+00
3.200000000000000000e+01 2.300000000000000000e+01 8.036477088928222656e+00 2.352801322937011719e+00
3.200000000000000000e+01 2.400000000000000000e+01 1.032040977478027344e+01 2.377720117568969727e+00
3.200000000000000000e+01 2.500000000000000000e+01 1.358008766174316406e+01 2.399826049804687500e+00
3.200000000000000000e+01 2.600000000000000000e+01 1.759639930725097656e+01 2.450555801391601562e+00
3.200000000000000000e+01 2.700000000000000000e+01 2.216210174560546875e+01 2.593405008316040039e+00
3.200000000000000000e+01 2.800000000000000000e+01 2.626536369323730469e+01 2.643165349960327148e+00
3.200000000000000000e+01 2.900000000000000000e+01 2.811009788513183594e+01 2.667418003082275391e+00
3.200000000000000000e+01 3.000000000000000000e+01 2.726517105102539062e+01 2.694862127304077148e+00
3.200000000000000000e+01 3.100000000000000000e+01 2.377980232238769531e+01 2.667937755584716797e+00
3.200000000000000000e+01 3.200000000000000000e+01 1.909948158264160156e+01 2.590058565139770508e+00
3.200000000000000000e+01 3.300000000000000000e+01 1.473285102844238281e+01 2.468153953552246094e+00
3.200000000000000000e+01 3.400000000000000000e+01 1.121109008789062500e+01 2.357710123062133789e+00
3.200000000000000000e+01 3.500000000000000000e+01 8.210286140441894531e+00 2.448996305465698242e+00
3.200000000000000000e+01 3.600000000000000000e+01 6.399629592895507812e+00 2.265606403350830078e+00
3.200000000000000000e+01 3.700000000000000000e+01 5.098578453063964844e+00 2.206747770309448242e+00
3.200000000000000000e+01 3.800000000000000000e+01 4.003508090972900391e+00 2.214779376983642578e+00
3.300000000000000000e+01 2.100000000000000000e+01 4.374698638916015625e+00 2.330437421798706055e+00
3.300000000000000000e+01 2.200000000000000000e+01 5.578342914581298828e+00 2.360157489776611328e+00
3.300000000000000000e+01 2.300000000000000000e+01 7.284894943237304688e+00 2.334745883941650391e+00
3.300000000000000000e+01 2.400000000000000000e+01 9.042606353759765625e+00 2.342560052871704102e+00
3.300000000000000000e+01 2.500000000000000000e+01 1.145427608489990234e+01 2.370108842849731445e+00
3.300000000000000000e+01 2.600000000000000000e+01 1.410095882415771484e+01 2.388926029205322266e+00
3.300000000000000000e+01 2.700000000000000000e+01 1.700993156433105469e+01 2.518481016159057617e+00
3.300000000000000000e+01 2.800000000000000000e+01 1.973324775695800781e+01 2.550888299942016602e+00
3.300000000000000000e+01 2.900000000000000000e+01 2.076652145385742188e+01 2.589463710784912109e+00
3.300000000000000000e+01 3.000000000000000000e+01 2.025848770141601562e+01 2.630560636520385742e+00
3.300000000000000000e+01 3.100000000000000000e+01 1.808095932006835938e+01 2.627686738967895508e+00
3.300000000000000000e+01 3.200000000000000000e+01 1.525322818756103516e+01 2.552766799926757812e+00
3.300000000000000000e+01 3.300000000000000000e+01 1.220171165466308594e+01 2.461412668228149414e+00
3.300000000000000000e+01 3.400000000000000000e+01 9.505226135253906250e+00 2.356146335601806641e+00
3.300000000000000000e+01 3.500000000000000000e+01 7.278057098388671875e+00 2.400681257247924805e+00
3.300000000000000000e+01 3.600000000000000000e+01 5.828277587890625000e+00 2.294033288955688477e+00
3.300000000000000000e+01 3.700000000000000000e+01 4.579975128173828125e+00 2.195035457611083984e+00
3.300000000000000000e+01 3.800000000000000000e+01 3.595117807388305664e+00 2.211895227432250977e+00
3.400000000000000000e+01 2.100000000000000000e+01 4.039505004882812500e+00 2.311105251312255859e+00
3.400000000000000000e+01 2.200000000000000000e+01 5.150289535522460938e+00 2.328332901000976562e+00
3.400000000000000000e+01 2.300000000000000000e+01 6.238969326019287109e+00 2.270873546600341797e+00
3.400000000000000000e+01 2.400000000000000000e+01 7.685750961303710938e+00 2.287944555282592773e+00
3.400000000000000000e+01 2.500000000000000000e+01 9.460673332214355469e+00 2.281674146652221680e+00
3.400000000000000000e+01 2.600000000000000000e+01 1.137433052062988281e+01 2.277295827865600586e+00
3.400000000000000000e+01 2.700000000000000000e+01 1.321461772918701172e+01 2.372713804244995117e+00
3.400000000000000000e+01 2.800000000000000000e+01 1.464889240264892578e+01 2.408853054046630859e+00
3.400000000000000000e+01 2.900000000000000000e+01 1.538116168975830078e+01 2.414455652236938477e+00
3.400000000000000000e+01 3.000000000000000000e+01 1.490134334564208984e+01 2.448373794555664062e+00
3.400000000000000000e+01 3.100000000000000000e+01 1.362255001068115234e+01 2.469311714172363281e+00
3.400000000000000000e+01 3.200000000000000000e+01 1.172383785247802734e+01 2.459899425506591797e+00
3.400000000000000000e+01 3.300000000000000000e+01 9.855730056762695312e+00 2.373237848281860352e+00
3.400000000000000000e+01 3.400000000000000000e+01 7.966435432434082031e+00 2.267354011535644531e+00
3.400000000000000000e+01 3.500000000000000000e+01 6.042089939117431641e+00 2.331968069076538086e+00
3.400000000000000000e+01 3.600000000000000000e+01 4.964010238647460938e+00 2.240156888961791992e+00
3.400000000000000000e+01 3.700000000000000000e+01 3.951014995574951172e+00 2.143410682678222656e+00
3.400000000000000000e+01 3.800000000000000000e+01 3.226457595825195312e+00 2.150689363479614258e+00
3.500000000000000000e+01 2.100000000000000000e+01 3.562638044357299805e+00 2.298830032348632812e+00
3.500000000000000000e+01 2.200000000000000000e+01 4.299343109130859375e+00 2.320822715759277344e+00
3.500000000000000000e+01 2.300000000000000000e+01 5.240904331207275391e+00 2.279762506484985352e+00
3.500000000000000000e+01 2.400000000000000000e+01 6.457663059234619141e+00 2.302048683166503906e+00
3.500000000000000000e+01 2.500000000000000000e+01 7.606028079986572266e+00 2.281401872634887695e+00
3.500000000000000000e+01 2.600000000000000000e+01 9.075801849365234375e+00 2.276876926422119141e+00
3.500000000000000000e+01 2.700000000000000000e+01 1.023463249206542969e+01 2.348833799362182617e+00
3.500000000000000000e+01 2.800000000000000000e+01 1.120154094696044922e+01 2.371914863586425781e+00
3.500000000000000000e+01 2.900000000000000000e+01 1.146130084991455078e+01 2.376330375671386719e+00
