# Vel [km/s] 	 Disp [km/s]
1.63851e+02 	 2.43300e+02
1.47368e+02 	 2.46678e+02
1.52634e+02 	 2.48194e+02
1.54891e+02 	 2.47497e+02
1.48144e+02 	 2.49048e+02
1.45610e+02 	 2.49090e+02
1.61035e+02 	 2.42590e+02
1.55246e+02 	 2.45815e+02
1.50326e+02 	 2.35871e+02
1.37460e+02 	 2.55268e+02
1.54134e+02 	 2.52808e+02
1.55815e+02 	 2.44247e+02
1.51127e+02 	 2.40700e+02
1.48554e+02 	 2.53411e+02
1.57824e+02 	 2.41714e+02
1.52143e+02 	 2.49231e+02
1.59151e+02 	 2.40535e+02
1.52103e+02 	 2.46681e+02
1.41902e+02 	 2.37420e+02
1.36061e+02 	 2.47214e+02
1.45629e+02 	 2.43204e+02
1.60298e+02 	 2.41890e+02
1.38399e+02 	 2.36748e+02
1.44208e+02 	 2.52401e+02
1.55290e+02 	 2.41124e+02
1.59671e+02 	 2.34960e+02
1.50285e+02 	 2.44849e+02
1.40264e+02 	 2.48768e+02
1.52233e+02 	 2.43912e+02
1.50114e+02 	 2.38269e+02
1.43345e+02 	 2.45043e+02
1.49434e+02 	 2.52080e+02
1.53669e+02 	 2.55030e+02
1.57790e+02 	 2.51272e+02
1.62003e+02 	 2.47788e+02
1.49617e+02 	 2.54359e+02
1.59844e+02 	 2.35315e+02
1.61096e+02 	 2.56289e+02
1.45134e+02 	 2.39494e+02
1.46166e+02 	 2.48096e+02
1.55974e+02 	 2.46292e+02
1.53690e+02 	 2.55521e+02
1.50837e+02 	 2.49876e+02
1.56357e+02 	 2.40159e+02
1.54797e+02 	 2.54679e+02
1.55074e+02 	 2.48243e+02
1.53512e+02 	 2.47308e+02
1.51104e+02 	 2.50278e+02
1.49151e+02 	 2.41686e+02
1.50980e+02 	 2.40330e+02
1.49022e+02 	 2.54346e+02
1.40237e+02 	 2.35296e+02
1.54680e+02 	 2.45005e+02
1.50383e+02 	 2.48817e+02
1.58234e+02 	 2.40965e+02
1.56098e+02 	 2.44866e+02
1.55627e+02 	 2.49303e+02
1.53470e+02 	 2.43917e+02
1.52073e+02 	 2.46137e+02
1.51576e+02 	 2.47056e+02
1.36566e+02 	 2.38953e+02
1.52022e+02 	 2.44455e+02
1.39415e+02 	 2.46049e+02
1.51216e+02 	 2.52784e+02
1.40163e+02 	 2.44298e+02
1.55934e+02 	 2.49721e+02
1.53888e+02 	 2.45124e+02
1.49680e+02 	 2.41641e+02
1.40224e+02 	 2.41447e+02
1.52108e+02 	 2.35553e+02
1.57153e+02 	 2.48509e+02
1.49208e+02 	 2.36436e+02
1.47119e+02 	 2.41200e+02
1.46420e+02 	 2.45313e+02
1.54348e+02 	 2.49141e+02
1.51601e+02 	 2.51453e+02
1.59207e+02 	 2.49266e+02
1.38416e+02 	 2.49966e+02
1.38224e+02 	 2.47100e+02
1.57082e+02 	 2.53481e+02
1.58008e+02 	 2.40623e+02
1.55174e+02 	 2.42364e+02
1.53024e+02 	 2.43996e+02
1.72965e+02 	 2.46932e+02
1.47542e+02 	 2.49175e+02
1.51134e+02 	 2.44241e+02
1.62381e+02 	 2.34447e+02
1.53428e+02 	 2.58853e+02
1.55208e+02 	 2.40657e+02
1.51632e+02 	 2.50648e+02
1.45731e+02 	 2.49573e+02
1.55370e+02 	 2.40059e+02
1.46912e+02 	 2.42337e+02
1.52412e+02 	 2.49932e+02
1.49956e+02 	 2.33429e+02
1.59975e+02 	 2.34283e+02
1.49606e+02 	 2.33473e+02
1.57362e+02 	 2.32430e+02
1.54956e+02 	 2.39007e+02
1.42610e+02 	 2.31369e+02
1.61499e+02 	 2.50696e+02
1.56211e+02 	 2.56210e+02
1.57911e+02 	 2.44419e+02
1.49115e+02 	 2.47016e+02
1.47548e+02 	 2.39064e+02
1.49104e+02 	 2.51281e+02
1.50573e+02 	 2.54328e+02
1.48456e+02 	 2.40956e+02
1.54296e+02 	 2.46642e+02
1.49078e+02 	 2.43888e+02
1.40197e+02 	 2.41243e+02
1.49754e+02 	 2.42344e+02
1.50988e+02 	 2.44262e+02
1.54109e+02 	 2.53870e+02
1.58056e+02 	 2.50598e+02
1.50487e+02 	 2.50616e+02
1.50852e+02 	 2.35637e+02
1.49957e+02 	 2.49587e+02
1.51548e+02 	 2.46868e+02
1.50725e+02 	 2.27849e+02
1.50730e+02 	 2.49707e+02
1.47008e+02 	 2.38433e+02
1.52816e+02 	 2.46600e+02
1.49909e+02 	 2.45936e+02
1.48935e+02 	 2.56371e+02
1.55442e+02 	 2.40178e+02
1.43760e+02 	 2.47828e+02
1.52305e+02 	 2.55840e+02
1.53421e+02 	 2.50523e+02
1.44766e+02 	 2.37753e+02
1.65063e+02 	 2.37508e+02
1.47901e+02 	 2.38673e+02
1.50584e+02 	 2.39133e+02
1.53555e+02 	 2.40413e+02
1.52707e+02 	 2.38480e+02
1.52391e+02 	 2.45377e+02
1.55718e+02 	 2.42740e+02
1.38528e+02 	 2.44152e+02
1.62411e+02 	 2.44812e+02
1.49441e+02 	 2.46237e+02
1.50989e+02 	 2.52465e+02
1.54791e+02 	 2.38424e+02
1.47808e+02 	 2.50584e+02
1.40477e+02 	 2.35426e+02
1.75091e+02 	 2.39590e+02
1.34964e+02 	 2.53255e+02
1.52765e+02 	 2.38275e+02
1.56606e+02 	 2.59536e+02
1.42803e+02 	 2.43369e+02
1.60273e+02 	 2.45987e+02
1.51475e+02 	 2.47240e+02
1.68115e+02 	 2.39787e+02
1.50226e+02 	 2.43296e+02
1.48994e+02 	 2.29881e+02
1.57669e+02 	 2.39621e+02
1.54696e+02 	 2.44671e+02
1.48887e+02 	 2.35423e+02
1.50063e+02 	 2.52311e+02
1.47689e+02 	 2.56834e+02
1.56492e+02 	 2.39053e+02
1.31326e+02 	 2.43151e+02
1.57428e+02 	 2.42182e+02
1.66362e+02 	 2.40178e+02
1.50264e+02 	 2.54698e+02
1.57469e+02 	 2.38548e+02
1.44939e+02 	 2.44224e+02
1.60184e+02 	 2.48100e+02
1.43787e+02 	 2.48905e+02
1.63763e+02 	 2.32472e+02
1.52554e+02 	 2.43458e+02
1.49700e+02 	 2.44912e+02
1.36922e+02 	 2.44888e+02
1.62508e+02 	 2.47199e+02
1.51597e+02 	 2.54081e+02
1.65205e+02 	 2.49223e+02
1.58605e+02 	 2.42555e+02
1.59871e+02 	 2.35141e+02
1.58615e+02 	 2.40862e+02
1.47301e+02 	 2.52648e+02
1.43170e+02 	 2.51227e+02
1.47976e+02 	 2.48007e+02
1.47654e+02 	 2.45381e+02
1.55498e+02 	 2.41978e+02
1.57870e+02 	 2.49782e+02
1.46068e+02 	 2.43982e+02
1.59254e+02 	 2.42666e+02
1.60507e+02 	 2.45976e+02
1.56473e+02 	 2.57092e+02
1.54845e+02 	 2.41070e+02
1.56790e+02 	 2.37890e+02
1.49420e+02 	 2.40121e+02
1.53836e+02 	 2.44863e+02
1.48684e+02 	 2.34891e+02
1.48976e+02 	 2.43596e+02
1.52944e+02 	 2.53577e+02
1.59955e+02 	 2.36165e+02
1.66333e+02 	 2.42294e+02
1.59248e+02 	 2.38183e+02
1.48264e+02 	 2.50041e+02
1.52455e+02 	 2.40307e+02
