# y_px x_px vel(km/s) disp(km/s) chi2/DOF dV dsigma
0 15 -3.066304814919472506e+02 2.647994673030867148e+02 9.999999682278594149e-01 1.658269755763248909e+01 1.611098228167313096e+01
0 16 -3.396251197550229790e+02 2.522747123407913818e+02 9.999999626118927232e-01 1.712994529446130088e+01 1.790736277290519496e+01
0 17 -3.196014829176130547e+02 2.833972840711669505e+02 1.000000025449302665e+00 1.859996903082883790e+01 1.825721198321037164e+01
0 18 -2.884905015892914548e+02 3.201604093413924375e+02 1.000000039268780005e+00 2.270749888382130521e+01 2.206952828709358627e+01
0 19 -3.207719716418438338e+02 3.030755030359626971e+02 1.000000004557465738e+00 2.344231234223071425e+01 2.278507876300484369e+01
1 0 -2.474701540259836747e+02 2.909066712919800466e+02 9.999999595521055218e-01 2.467409112826698703e+01 2.373741752912501823e+01
1 1 -2.640786413714903347e+02 2.410886578874967938e+02 9.999999606556808640e-01 2.069025593462191637e+01 2.101700272659941149e+01
1 2 -3.239649977505064840e+02 2.817023577385377280e+02 9.999999847549493337e-01 2.285378378695982349e+01 2.171541619604081319e+01
1 3 -2.932112503392407348e+02 2.890496931377134047e+02 1.000000014018217254e+00 1.880426788638927960e+01 1.846752899940684500e+01
1 4 -2.917368868000897351e+02 2.912399312940877394e+02 9.999999881753532938e-01 2.155207653608584195e+01 2.112494433262328997e+01
1 5 -3.344099717117894670e+02 2.902581432592157853e+02 9.999999834641557506e-01 1.608923567289103573e+01 1.581160135510265974e+01
1 6 -2.757156310455743551e+02 3.013904130557002645e+02 9.999999534056670525e-01 1.921795216120008121e+01 1.808937846868974475e+01
1 7 -2.926715567616531644e+02 2.903930499823459854e+02 9.999999976743796370e-01 1.930653456809490720e+01 1.863980296589503638e+01
1 8 -2.928103916736019414e+02 3.235252349162913106e+02 1.000000024361777706e+00 1.943857741390798566e+01 1.910574498743025629e+01
1 9 -3.349258682394669222e+02 2.987960935356820187e+02 1.000000015783807594e+00 1.635430704624778642e+01 1.626366000211616836e+01
1 10 -3.254384257084214482e+02 3.012960689691619791e+02 1.000000044078819927e+00 1.495938553208575428e+01 1.430572442100746677e+01
1 11 -3.357408047047367177e+02 3.399063063020822710e+02 1.000000009780457333e+00 1.792876244287712240e+01 1.704514274429918785e+01
1 12 -3.129769626573901746e+02 2.998670601844843873e+02 9.999999986545357045e-01 1.566907082548002883e+01 1.477113172760867243e+01
1 13 -3.321316858945646686e+02 2.882316621533539660e+02 9.999999927841561886e-01 1.627620919748547479e+01 1.590526399761140475e+01
1 14 -3.016246660673808719e+02 2.921989954077872085e+02 1.000000015593732972e+00 1.590999293567955242e+01 1.535065894623969918e+01
1 15 -3.005258715957842810e+02 2.872285447076080231e+02 9.999999688062900516e-01 1.527565796679557941e+01 1.529281190775516208e+01
1 16 -2.989853551554558067e+02 3.226325676984359347e+02 9.999999574675373371e-01 2.034139102438699709e+01 1.920055409770520427e+01
1 17 -3.051374641266160666e+02 2.709818671175304416e+02 1.000000008530174789e+00 1.657761309168919794e+01 1.637658212850440620e+01
1 18 -3.148013589192629524e+02 3.620795222864292668e+02 1.000000023561929963e+00 2.540789415880147573e+01 2.446431241142141388e+01
1 19 -3.207870630513318702e+02 2.770340553713010650e+02 9.999999963482527621e-01 1.952959301016672811e+01 1.971812747021107981e+01
2 0 -3.022578690279251532e+02 3.081396861143780370e+02 1.000000007825362802e+00 2.749741084556711002e+01 2.531737755471244000e+01
2 1 -3.475383755751407762e+02 2.778108328244883864e+02 1.000000026723557145e+00 2.153862834788809266e+01 2.095373071214330452e+01
2 2 -3.042896736489907994e+02 3.291674247011955572e+02 9.999999803906051143e-01 2.403325643994544691e+01 2.258892671817493536e+01
2 3 -3.257383503067305242e+02 3.437471795887964277e+02 1.000000001018580109e+00 2.038854898546014027e+01 1.970996643007466886e+01
2 4 -3.046561031509926920e+02 2.969428896670474955e+02 9.999999965328368878e-01 1.890766831666377001e+01 1.782052741982032984e+01
2 5 -3.173727618451281955e+02 2.466760323848575354e+02 1.000000033894618445e+00 1.450962876193068318e+01 1.452818149234898648e+01
2 6 -3.528803225576588716e+02 2.966072743585402804e+02 9.999999653464154425e-01 1.592642375721954018e+01 1.534233521449426441e+01
2 7 -3.118222023455790577e+02 3.135024128693259513e+02 1.000000012117606918e+00 1.632655898617663581e+01 1.566263918098640140e+01
2 8 -3.238604431030761361e+02 2.897015051872052140e+02 9.999999662654199817e-01 1.587339793192767523e+01 1.581480906502214800e+01
2 9 -3.056078955723506283e+02 2.952672229662618975e+02 1.000000013736499715e+00 1.442889522810963676e+01 1.423209152078750250e+01
2 10 -3.105783861931947740e+02 2.950183823218516750e+02 9.999999857988782770e-01 1.461855774856237566e+01 1.416727672050402376e+01
2 11 -3.347180607965509012e+02 3.020544830383892076e+02 9.999999810272449663e-01 1.378514516780276189e+01 1.379026028889740196e+01
2 12 -3.199305366814359104e+02 3.253639875002661483e+02 9.999999754543018593e-01 1.610326202579384969e+01 1.482173780865130119e+01
2 13 -3.154255456129283175e+02 2.998978961868702413e+02 1.000000044227488338e+00 1.360316610574960627e+01 1.315538482675349741e+01
2 14 -3.428270327502863779e+02 3.125916915768424929e+02 1.000000048938622266e+00 1.590719351004382354e+01 1.558004800682040347e+01
2 15 -3.306984292423672400e+02 3.298028769523763231e+02 9.999999914753597841e-01 1.638810203384673869e+01 1.582126557474750506e+01
2 16 -3.030766763953305372e+02 3.098927504973412397e+02 1.000000036186443397e+00 1.630276651546736488e+01 1.603412145338692696e+01
2 17 -2.633451068410833500e+02 3.081265049700238592e+02 9.999999941149914084e-01 1.803994283085996386e+01 1.750695368801119756e+01
2 18 -2.870864559648996988e+02 2.970354653609880984e+02 1.000000013803845622e+00 1.705459835342823283e+01 1.636132835634129634e+01
2 19 -2.966093384085993421e+02 2.868051893574875066e+02 1.000000036355387145e+00 2.013111712918433227e+01 1.939355910113826198e+01
3 0 -3.263276916899841922e+02 2.632082596981089750e+02 9.999999740055911523e-01 1.899549124907049702e+01 1.832132937808154338e+01
3 1 -2.852095646184158113e+02 2.777947168720888840e+02 1.000000031303862613e+00 1.795874672877672751e+01 1.765037137268600631e+01
3 2 -3.247396944952444073e+02 2.875653387108600896e+02 9.999999796498885152e-01 1.838031367378567182e+01 1.835838269816619572e+01
3 3 -3.586446607172699146e+02 3.169844150837860184e+02 9.999999673563486624e-01 1.925970582442841561e+01 1.824767855641458425e+01
3 4 -3.046955267661308540e+02 3.004649790717923565e+02 1.000000019840419974e+00 1.615745504477210304e+01 1.564701461795330850e+01
3 5 -2.712497673059262979e+02 3.022256058327716346e+02 1.000000014778861468e+00 1.624457090720355268e+01 1.567647215529098048e+01
3 6 -3.430695020084029352e+02 3.047597104311224712e+02 9.999999929568249568e-01 1.405236673173460460e+01 1.384321011472362706e+01
3 7 -3.186920301097540573e+02 3.249767215987239979e+02 9.999999591855527337e-01 1.454585466286400930e+01 1.413100595323404107e+01
3 8 -2.954654496166197646e+02 3.101989314623165797e+02 1.000000034101329760e+00 1.389436398931734473e+01 1.364107898817308495e+01
3 9 -3.169782085840960235e+02 3.181205575946146951e+02 9.999999664387289044e-01 1.380007912976610207e+01 1.342925148276816749e+01
