# y_px x_px signal noise
2.200000000000000000e+01 2.800000000000000000e+01 8.994846343994140625e+00 2.401971340179443359e+00
2.200000000000000000e+01 2.900000000000000000e+01 9.504029273986816406e+00 2.385728120803833008e+00
2.200000000000000000e+01 3.000000000000000000e+01 9.635660171508789062e+00 2.395000219345092773e+00
2.200000000000000000e+01 3.100000000000000000e+01 9.051435470581054688e+00 2.436559200286865234e+00
2.200000000000000000e+01 3.200000000000000000e+01 8.178646087646484375e+00 2.455772876739501953e+00
2.200000000000000000e+01 3.300000000000000000e+01 7.408718109130859375e+00 2.322925329208374023e+00
2.200000000000000000e+01 3.400000000000000000e+01 6.387744903564453125e+00 2.363120794296264648e+00
2.200000000000000000e+01 3.500000000000000000e+01 5.429820060729980469e+00 2.491058826446533203e+00
2.300000000000000000e+01 2.300000000000000000e+01 5.207908153533935547e+00 2.191359043121337891e+00
2.300000000000000000e+01 2.400000000000000000e+01 6.407998561859130859e+00 2.188147783279418945e+00
2.300000000000000000e+01 2.500000000000000000e+01 7.655136108398437500e+00 2.173966646194458008e+00
2.300000000000000000e+01 2.600000000000000000e+01 9.070182800292968750e+00 2.157385349273681641e+00
2.300000000000000000e+01 2.700000000000000000e+01 1.051155281066894531e+01 2.306260585784912109e+00
2.300000000000000000e+01 2.800000000000000000e+01 1.164048576354980469e+01 2.324317216873168945e+00
2.300000000000000000e+01 2.900000000000000000e+01 1.224652290344238281e+01 2.332859039306640625e+00
2.300000000000000000e+01 3.000000000000000000e+01 1.224969482421875000e+01 2.330889701843261719e+00
2.300000000000000000e+01 3.100000000000000000e+01 1.172555637359619141e+01 2.382307052612304688e+00
2.300000000000000000e+01 3.200000000000000000e+01 1.046073722839355469e+01 2.391081809997558594e+00
2.300000000000000000e+01 3.300000000000000000e+01 9.327824592590332031e+00 2.249525547027587891e+00
2.300000000000000000e+01 3.400000000000000000e+01 7.787889003753662109e+00 2.292383432388305664e+00
2.300000000000000000e+01 3.500000000000000000e+01 6.334908485412597656e+00 2.423284053802490234e+00
2.300000000000000000e+01 3.600000000000000000e+01 5.081584930419921875e+00 2.303779363632202148e+00
2.300000000000000000e+01 3.700000000000000000e+01 4.275009632110595703e+00 2.113072395324707031e+00
2.400000000000000000e+01 2.200000000000000000e+01 4.916406631469726562e+00 2.272855043411254883e+00
2.400000000000000000e+01 2.300000000000000000e+01 6.099485397338867188e+00 2.218635082244873047e+00
2.400000000000000000e+01 2.400000000000000000e+01 7.587659835815429688e+00 2.222198486328125000e+00
2.400000000000000000e+01 2.700000000000000000e+01 1.323848056793212891e+01 2.368645429611206055e+00
2.400000000000000000e+01 2.800000000000000000e+01 1.505005931854248047e+01 2.404197454452514648e+00
2.400000000000000000e+01 2.900000000000000000e+01 1.623691940307617188e+01 2.416994810104370117e+00
2.400000000000000000e+01 3.000000000000000000e+01 1.636555862426757812e+01 2.420957326889038086e+00
2.400000000000000000e+01 3.100000000000000000e+01 1.532269668579101562e+01 2.455250740051269531e+00
2.400000000000000000e+01 3.200000000000000000e+01 1.347167015075683594e+01 2.450084447860717773e+00
2.400000000000000000e+01 3.300000000000000000e+01 1.125905418395996094e+01 2.287920951843261719e+00
2.400000000000000000e+01 3.400000000000000000e+01 9.331238746643066406e+00 2.322775125503540039e+00
2.400000000000000000e+01 3.500000000000000000e+01 7.473767757415771484e+00 2.416511774063110352e+00
2.400000000000000000e+01 3.600000000000000000e+01 5.802263259887695312e+00 2.334676027297973633e+00
2.400000000000000000e+01 3.700000000000000000e+01 4.712993621826171875e+00 2.122819423675537109e+00
2.500000000000000000e+01 2.200000000000000000e+01 5.402981758117675781e+00 2.360414505004882812e+00
2.500000000000000000e+01 2.300000000000000000e+01 6.903542995452880859e+00 2.311428070068359375e+00
2.500000000000000000e+01 2.400000000000000000e+01 8.816202163696289062e+00 2.331912517547607422e+00
2.500000000000000000e+01 2.600000000000000000e+01 1.405182170867919922e+01 2.358160734176635742e+00
2.500000000000000000e+01 2.700000000000000000e+01 1.700790977478027344e+01 2.519341230392456055e+00
2.500000000000000000e+01 2.800000000000000000e+01 1.999945068359375000e+01 2.578545808792114258e+00
2.500000000000000000e+01 2.900000000000000000e+01 2.194569396972656250e+01 2.606428861618041992e+00
2.500000000000000000e+01 3.000000000000000000e+01 2.220300483703613281e+01 2.616236925125122070e+00
2.500000000000000000e+01 3.100000000000000000e+01 2.025880813598632812e+01 2.630648851394653320e+00
2.500000000000000000e+01 3.200000000000000000e+01 1.733751678466796875e+01 2.588314533233642578e+00
2.500000000000000000e+01 3.300000000000000000e+01 1.405202293395996094e+01 2.413270711898803711e+00
2.500000000000000000e+01 3.400000000000000000e+01 1.123691749572753906e+01 2.428614139556884766e+00
2.500000000000000000e+01 3.500000000000000000e+01 8.755509376525878906e+00 2.525126218795776367e+00
2.500000000000000000e+01 3.600000000000000000e+01 6.689871788024902344e+00 2.434591770172119141e+00
2.500000000000000000e+01 3.700000000000000000e+01 5.188960075378417969e+00 2.218079566955566406e+00
2.600000000000000000e+01 2.100000000000000000e+01 4.827096462249755859e+00 2.223808526992797852e+00
2.600000000000000000e+01 2.200000000000000000e+01 6.005806922912597656e+00 2.268019914627075195e+00
2.600000000000000000e+01 2.300000000000000000e+01 7.740531444549560547e+00 2.210193634033203125e+00
