# Vel [km/s] 	 Disp [km/s]
1.32316e+02 	 2.39624e+02
1.43221e+02 	 2.35697e+02
1.24626e+02 	 2.46304e+02
1.49436e+02 	 2.34263e+02
1.40036e+02 	 2.42572e+02
1.46480e+02 	 2.49582e+02
1.36443e+02 	 2.32085e+02
1.46045e+02 	 2.35557e+02
1.48581e+02 	 2.30479e+02
1.44452e+02 	 2.31429e+02
1.48506e+02 	 2.35892e+02
1.32046e+02 	 2.41257e+02
1.49661e+02 	 2.39597e+02
1.48277e+02 	 2.32477e+02
1.39260e+02 	 2.38041e+02
1.50940e+02 	 2.47064e+02
1.35869e+02 	 2.26481e+02
1.36241e+02 	 2.46123e+02
1.40768e+02 	 2.26170e+02
1.43786e+02 	 2.50051e+02
1.34409e+02 	 2.29726e+02
1.49506e+02 	 2.38378e+02
1.40430e+02 	 2.33660e+02
1.41135e+02 	 2.43268e+02
1.42957e+02 	 2.33622e+02
1.35872e+02 	 2.41587e+02
1.43217e+02 	 2.39552e+02
1.34493e+02 	 2.29865e+02
1.38898e+02 	 2.32013e+02
1.34690e+02 	 2.47501e+02
1.44570e+02 	 2.33231e+02
1.39454e+02 	 2.39188e+02
1.38850e+02 	 2.35293e+02
1.29347e+02 	 2.38164e+02
1.36951e+02 	 2.29214e+02
1.43887e+02 	 2.39964e+02
1.35710e+02 	 2.30178e+02
1.39429e+02 	 2.37787e+02
1.39678e+02 	 2.34961e+02
1.50144e+02 	 2.27954e+02
1.38994e+02 	 2.30595e+02
1.42825e+02 	 2.39691e+02
1.33795e+02 	 2.41405e+02
1.42689e+02 	 2.31490e+02
1.55041e+02 	 2.34024e+02
1.34393e+02 	 2.34686e+02
1.45682e+02 	 2.41113e+02
1.39607e+02 	 2.44310e+02
1.40166e+02 	 2.32749e+02
1.36825e+02 	 2.46583e+02
1.45211e+02 	 2.42363e+02
1.39919e+02 	 2.38056e+02
1.45282e+02 	 2.34817e+02
1.54893e+02 	 2.32369e+02
1.45430e+02 	 2.38868e+02
1.38784e+02 	 2.41644e+02
1.33145e+02 	 2.33980e+02
1.41741e+02 	 2.29141e+02
1.43886e+02 	 2.44435e+02
1.40695e+02 	 2.41268e+02
1.37919e+02 	 2.37332e+02
1.47938e+02 	 2.36496e+02
1.50896e+02 	 2.30736e+02
1.33658e+02 	 2.43949e+02
1.38029e+02 	 2.44017e+02
1.46502e+02 	 2.53434e+02
1.43130e+02 	 2.36658e+02
1.33724e+02 	 2.34854e+02
1.44562e+02 	 2.30565e+02
1.38722e+02 	 2.33312e+02
1.27083e+02 	 2.46467e+02
1.53853e+02 	 2.28972e+02
1.40705e+02 	 2.37051e+02
1.48961e+02 	 2.38780e+02
1.43946e+02 	 2.41098e+02
1.47484e+02 	 2.34408e+02
1.47510e+02 	 2.35732e+02
1.35492e+02 	 2.22700e+02
1.30131e+02 	 2.21667e+02
1.33368e+02 	 2.32326e+02
1.45484e+02 	 2.26573e+02
1.43895e+02 	 2.40049e+02
1.41750e+02 	 2.46555e+02
1.43290e+02 	 2.19537e+02
1.43281e+02 	 2.26089e+02
1.35403e+02 	 2.35206e+02
1.40492e+02 	 2.24672e+02
1.50988e+02 	 2.39415e+02
1.40829e+02 	 2.37425e+02
