# y_px x_px signal noise
2.600000000000000000e+01 3.000000000000000000e+01 2.226663780212402344e+01 2.583171844482421875e+00
2.600000000000000000e+01 3.100000000000000000e+01 2.006962013244628906e+01 2.527459383010864258e+00
2.600000000000000000e+01 3.200000000000000000e+01 1.621551513671875000e+01 2.588334321975708008e+00
2.600000000000000000e+01 3.300000000000000000e+01 1.305171966552734375e+01 2.500643730163574219e+00
2.600000000000000000e+01 3.400000000000000000e+01 1.005526924133300781e+01 2.445570230484008789e+00
2.600000000000000000e+01 3.500000000000000000e+01 7.578279972076416016e+00 2.482792615890502930e+00
2.600000000000000000e+01 3.600000000000000000e+01 5.739583969116210938e+00 2.309376239776611328e+00
2.600000000000000000e+01 3.700000000000000000e+01 4.633675098419189453e+00 2.015397787094116211e+00
2.600000000000000000e+01 3.800000000000000000e+01 3.519830703735351562e+00 2.048124551773071289e+00
2.600000000000000000e+01 3.900000000000000000e+01 2.675322294235229492e+00 2.298634290695190430e+00
2.700000000000000000e+01 1.900000000000000000e+01 2.232773303985595703e+00 2.071569681167602539e+00
2.700000000000000000e+01 2.000000000000000000e+01 2.677265882492065430e+00 2.352591991424560547e+00
2.700000000000000000e+01 2.100000000000000000e+01 3.561871528625488281e+00 2.168669939041137695e+00
2.700000000000000000e+01 2.200000000000000000e+01 4.782927036285400391e+00 2.239721536636352539e+00
2.700000000000000000e+01 2.300000000000000000e+01 6.267432689666748047e+00 2.214549064636230469e+00
2.700000000000000000e+01 2.400000000000000000e+01 8.531497001647949219e+00 2.297436714172363281e+00
2.700000000000000000e+01 2.500000000000000000e+01 1.184724521636962891e+01 2.468309402465820312e+00
2.700000000000000000e+01 2.600000000000000000e+01 1.543656349182128906e+01 2.391181707382202148e+00
2.700000000000000000e+01 2.700000000000000000e+01 2.044731330871582031e+01 2.470020055770874023e+00
2.700000000000000000e+01 2.800000000000000000e+01 2.545672798156738281e+01 2.674397945404052734e+00
2.700000000000000000e+01 2.900000000000000000e+01 2.867259216308593750e+01 2.628266572952270508e+00
2.700000000000000000e+01 3.000000000000000000e+01 2.851535415649414062e+01 2.539997100830078125e+00
2.700000000000000000e+01 3.100000000000000000e+01 2.493077278137207031e+01 2.481111764907836914e+00
2.700000000000000000e+01 3.200000000000000000e+01 1.994568061828613281e+01 2.539510726928710938e+00
2.700000000000000000e+01 3.300000000000000000e+01 1.525390815734863281e+01 2.413461208343505859e+00
2.700000000000000000e+01 3.400000000000000000e+01 1.106219005584716797e+01 2.360021352767944336e+00
2.700000000000000000e+01 3.500000000000000000e+01 8.357460975646972656e+00 2.245377779006958008e+00
2.700000000000000000e+01 3.600000000000000000e+01 6.116918563842773438e+00 2.297932624816894531e+00
2.700000000000000000e+01 3.700000000000000000e+01 4.864996433258056641e+00 2.013167142868041992e+00
2.700000000000000000e+01 3.800000000000000000e+01 3.536726236343383789e+00 2.041609287261962891e+00
2.700000000000000000e+01 3.900000000000000000e+01 2.514108657836914062e+00 2.275756597518920898e+00
2.800000000000000000e+01 1.800000000000000000e+01 2.271074056625366211e+00 2.176797389984130859e+00
2.800000000000000000e+01 2.000000000000000000e+01 3.111529350280761719e+00 2.564514875411987305e+00
2.800000000000000000e+01 2.100000000000000000e+01 4.198789119720458984e+00 2.361886262893676758e+00
2.800000000000000000e+01 2.200000000000000000e+01 5.565534114837646484e+00 2.455493450164794922e+00
