# x[px] 		 y[px] 		 Vrms[kms⁻¹] 		 Erms[kms⁻¹]
1.292682099171975e+01 -1.702145425054407e+00 1.879673919677734e+02 8.093347167968750e+01
1.313302517711638e+01 -7.236364399526287e-01 1.879673919677734e+02 8.093347167968750e+01
1.153590363582471e+01 -3.452959209861334e+00 2.421122436523438e+02 4.255093002319336e+01
1.174210782122134e+01 -2.474450224759556e+00 2.421122436523438e+02 4.255093002319336e+01
1.194831200661797e+01 -1.495941239657777e+00 2.421122436523438e+02 4.255093002319336e+01
1.215451619201460e+01 -5.174322545559991e-01 2.421122436523438e+02 4.255093002319336e+01
1.236072037741123e+01 4.610767305457792e-01 2.421122436523438e+02 4.255093002319336e+01
1.014498627992967e+01 -5.203772994668261e+00 3.986220397949219e+02 4.812702941894531e+01
1.035119046532630e+01 -4.225264009566483e+00 3.986220397949219e+02 4.812702941894531e+01
1.055739465072293e+01 -3.246755024464705e+00 3.986220397949219e+02 4.812702941894531e+01
1.076359883611956e+01 -2.268246039362926e+00 3.986220397949219e+02 4.812702941894531e+01
1.096980302151619e+01 -1.289737054261148e+00 3.986220397949219e+02 4.812702941894531e+01
1.117600720691282e+01 -3.112280691593694e-01 3.986220397949219e+02 4.812702941894531e+01
1.138221139230945e+01 6.672809159424089e-01 3.986220397949219e+02 4.812702941894531e+01
1.158841557770608e+01 1.645789901044187e+00 3.986220397949219e+02 4.812702941894531e+01
1.179461976310271e+01 2.624298886145966e+00 2.421122436523438e+02 4.255093002319336e+01
8.960273109431265e+00 -5.976077794373410e+00 3.986220397949219e+02 4.812702941894531e+01
9.166477294827894e+00 -4.997568809271632e+00 3.986220397949219e+02 4.812702941894531e+01
9.372681480224525e+00 -4.019059824169854e+00 2.811135253906250e+02 2.714380073547363e+01
9.578885665621154e+00 -3.040550839068075e+00 2.811135253906250e+02 2.714380073547363e+01
9.785089851017784e+00 -2.062041853966297e+00 2.811135253906250e+02 2.714380073547363e+01
9.991294036414413e+00 -1.083532868864518e+00 2.811135253906250e+02 2.714380073547363e+01
1.019749822181104e+01 -1.050238837627397e-01 2.811135253906250e+02 2.714380073547363e+01
1.040370240720767e+01 8.734851013390386e-01 2.811135253906250e+02 2.714380073547363e+01
1.060990659260430e+01 1.851994086440817e+00 2.811135253906250e+02 2.714380073547363e+01
1.081611077800093e+01 2.830503071542595e+00 3.986220397949219e+02 4.812702941894531e+01
1.102231496339756e+01 3.809012056644374e+00 3.986220397949219e+02 4.812702941894531e+01
1.143472333419082e+01 5.766030026847931e+00 1.879673919677734e+02 8.093347167968750e+01
7.569355753536228e+00 -7.726891579180338e+00 2.421122436523438e+02 4.255093002319336e+01
7.775559938932858e+00 -6.748382594078558e+00 3.986220397949219e+02 4.812702941894531e+01
7.981764124329487e+00 -5.769873608976781e+00 2.811135253906250e+02 2.714380073547363e+01
8.187968309726116e+00 -4.791364623875002e+00 2.811135253906250e+02 2.714380073547363e+01
8.394172495122746e+00 -3.812855638773224e+00 2.075976867675781e+02 1.660055351257324e+01
8.600376680519377e+00 -2.834346653671445e+00 2.075976867675781e+02 1.660055351257324e+01
8.806580865916006e+00 -1.855837668569667e+00 2.075976867675781e+02 1.660055351257324e+01
9.012785051312635e+00 -8.773286834678885e-01 2.075976867675781e+02 1.660055351257324e+01
9.218989236709266e+00 1.011803016338899e-01 2.075976867675781e+02 1.660055351257324e+01
9.425193422105895e+00 1.079689286735668e+00 2.075976867675781e+02 1.660055351257324e+01
9.631397607502524e+00 2.058198271837447e+00 2.075976867675781e+02 1.660055351257324e+01
9.837601792899154e+00 3.036707256939225e+00 2.811135253906250e+02 2.714380073547363e+01
1.004380597829578e+01 4.015216242041003e+00 3.986220397949219e+02 4.812702941894531e+01
1.025001016369241e+01 4.993725227142782e+00 3.986220397949219e+02 4.812702941894531e+01
1.045621434908904e+01 5.972234212244560e+00 2.421122436523438e+02 4.255093002319336e+01
6.590846768434449e+00 -7.520687393783708e+00 3.986220397949219e+02 4.812702941894531e+01
6.797050953831079e+00 -6.542178408681929e+00 2.811135253906250e+02 2.714380073547363e+01
7.003255139227709e+00 -5.563669423580151e+00 2.075976867675781e+02 1.660055351257324e+01
7.209459324624339e+00 -4.585160438478372e+00 2.075976867675781e+02 1.660055351257324e+01
7.415663510020968e+00 -3.606651453376594e+00 2.412396545410156e+02 1.655758666992188e+01
7.621867695417597e+00 -2.628142468274816e+00 2.412396545410156e+02 1.655758666992188e+01
7.828071880814227e+00 -1.649633483173037e+00 2.412396545410156e+02 1.655758666992188e+01
8.034276066210857e+00 -6.711244980712588e-01 2.412396545410156e+02 1.655758666992188e+01
8.240480251607487e+00 3.073844870305196e-01 2.412396545410156e+02 1.655758666992188e+01
8.446684437004116e+00 1.285893472132298e+00 2.412396545410156e+02 1.655758666992188e+01
8.652888622400745e+00 2.264402457234076e+00 2.075976867675781e+02 1.660055351257324e+01
8.859092807797376e+00 3.242911442335854e+00 2.075976867675781e+02 1.660055351257324e+01
9.065296993194005e+00 4.221420427437633e+00 2.811135253906250e+02 2.714380073547363e+01
9.271501178590634e+00 5.199929412539412e+00 3.986220397949219e+02 4.812702941894531e+01
9.477705363987265e+00 6.178438397641190e+00 2.421122436523438e+02 4.255093002319336e+01
5.406133597936041e+00 -8.292992193488857e+00 3.986220397949219e+02 4.812702941894531e+01
5.612337783332671e+00 -7.314483208387077e+00 2.811135253906250e+02 2.714380073547363e+01
5.818541968729301e+00 -6.335974223285300e+00 2.075976867675781e+02 1.660055351257324e+01
6.024746154125930e+00 -5.357465238183521e+00 2.412396545410156e+02 1.655758666992188e+01
6.230950339522559e+00 -4.378956253081743e+00 2.412396545410156e+02 1.655758666992188e+01
