# Vel [km/s] 	 Disp [km/s]
1.13178e+02 	 2.22039e+02
1.32724e+02 	 2.52707e+02
1.41164e+02 	 2.44032e+02
1.33798e+02 	 2.52564e+02
1.33774e+02 	 2.44107e+02
1.43281e+02 	 2.27697e+02
1.31990e+02 	 2.57113e+02
1.36915e+02 	 2.52101e+02
1.30750e+02 	 2.48810e+02
1.45560e+02 	 2.23948e+02
1.39166e+02 	 2.44629e+02
1.58092e+02 	 2.35416e+02
1.19301e+02 	 2.37537e+02
1.47090e+02 	 2.46551e+02
1.47011e+02 	 2.45502e+02
1.49326e+02 	 2.37705e+02
1.25156e+02 	 2.37655e+02
1.45814e+02 	 2.38205e+02
1.33597e+02 	 2.37378e+02
1.26811e+02 	 2.41310e+02
1.37546e+02 	 2.41170e+02
1.27749e+02 	 2.41200e+02
1.35470e+02 	 2.40795e+02
1.41243e+02 	 2.35117e+02
1.26749e+02 	 2.47969e+02
1.40392e+02 	 2.39440e+02
1.40457e+02 	 2.48671e+02
1.29444e+02 	 2.23502e+02
1.36800e+02 	 2.47093e+02
1.25786e+02 	 2.36998e+02
1.34407e+02 	 2.47864e+02
1.30067e+02 	 2.47295e+02
1.37925e+02 	 2.39256e+02
1.40990e+02 	 2.47856e+02
1.41098e+02 	 2.68585e+02
1.29717e+02 	 2.43583e+02
1.37522e+02 	 2.50537e+02
1.41892e+02 	 2.28934e+02
1.50923e+02 	 2.40490e+02
1.37232e+02 	 2.54300e+02
1.41502e+02 	 2.35935e+02
1.42354e+02 	 2.56348e+02
1.45981e+02 	 2.48888e+02
1.29758e+02 	 2.36095e+02
1.49437e+02 	 2.38340e+02
1.27036e+02 	 2.46784e+02
1.46079e+02 	 2.29685e+02
1.42092e+02 	 2.41936e+02
1.32023e+02 	 2.62659e+02
1.41099e+02 	 2.56168e+02
1.30639e+02 	 2.32871e+02
1.30638e+02 	 2.45118e+02
1.37438e+02 	 2.56795e+02
1.42012e+02 	 2.39697e+02
1.44282e+02 	 2.23400e+02
1.27796e+02 	 2.50111e+02
1.40992e+02 	 2.47809e+02
1.28138e+02 	 2.27550e+02
1.23445e+02 	 2.38857e+02
1.30594e+02 	 2.46742e+02
1.19541e+02 	 2.40372e+02
1.20896e+02 	 2.44898e+02
1.24792e+02 	 2.53133e+02
1.42739e+02 	 2.46718e+02
1.26465e+02 	 2.51871e+02
1.27001e+02 	 2.42178e+02
1.35710e+02 	 2.41265e+02
1.26413e+02 	 2.37713e+02
1.28635e+02 	 2.35340e+02
1.31781e+02 	 2.55899e+02
1.28283e+02 	 2.38002e+02
1.34235e+02 	 2.44738e+02
1.35025e+02 	 2.56403e+02
1.40989e+02 	 2.51605e+02
1.56967e+02 	 2.39079e+02
1.43067e+02 	 2.47985e+02
1.10160e+02 	 2.39978e+02
1.34417e+02 	 2.56925e+02
1.32144e+02 	 2.53216e+02
1.26167e+02 	 2.46707e+02
1.33094e+02 	 2.35259e+02
1.30308e+02 	 2.28714e+02
1.42491e+02 	 2.48827e+02
1.31064e+02 	 2.50197e+02
1.36927e+02 	 2.33675e+02
1.45225e+02 	 2.43434e+02
1.42348e+02 	 2.49383e+02
1.48009e+02 	 2.52752e+02
1.35154e+02 	 2.38022e+02
1.39006e+02 	 2.44061e+02
1.54151e+02 	 2.60385e+02
1.26098e+02 	 2.19111e+02
1.36223e+02 	 2.34648e+02
1.32103e+02 	 2.45099e+02
1.28902e+02 	 2.37125e+02
1.37235e+02 	 2.24732e+02
1.21209e+02 	 2.36269e+02
1.28652e+02 	 2.49034e+02
1.38759e+02 	 2.50572e+02
1.55457e+02 	 2.43819e+02
1.25157e+02 	 2.30529e+02
1.39009e+02 	 2.45601e+02
1.37119e+02 	 2.42460e+02
1.50682e+02 	 2.58544e+02
1.17056e+02 	 2.46536e+02
1.24726e+02 	 2.43388e+02
1.29794e+02 	 2.46074e+02
1.51050e+02 	 2.54200e+02
1.43398e+02 	 2.41993e+02
1.50722e+02 	 2.26064e+02
1.30705e+02 	 2.29011e+02
1.20706e+02 	 2.37879e+02
1.39019e+02 	 2.33246e+02
1.29984e+02 	 2.39972e+02
1.33094e+02 	 2.58930e+02
1.33293e+02 	 2.43382e+02
1.19681e+02 	 2.43784e+02
1.36489e+02 	 2.37812e+02
1.42628e+02 	 2.52311e+02
1.37809e+02 	 2.42742e+02
1.18538e+02 	 2.46008e+02
1.18246e+02 	 2.39863e+02
1.30549e+02 	 2.36690e+02
1.40760e+02 	 2.63197e+02
1.31536e+02 	 2.40157e+02
1.28617e+02 	 2.49203e+02
1.30237e+02 	 2.40642e+02
1.36399e+02 	 2.29519e+02
1.31749e+02 	 2.47782e+02
1.30229e+02 	 2.23860e+02
1.38754e+02 	 2.42554e+02
1.03648e+02 	 2.45946e+02
1.44066e+02 	 2.39978e+02
1.28110e+02 	 2.67129e+02
1.49978e+02 	 2.19957e+02
1.22115e+02 	 2.47316e+02
1.26198e+02 	 2.43834e+02
1.39965e+02 	 2.43815e+02
1.36038e+02 	 2.50695e+02
1.30301e+02 	 2.23876e+02
1.50578e+02 	 2.46339e+02
1.43010e+02 	 2.66118e+02
1.29603e+02 	 2.62449e+02
1.37710e+02 	 2.40318e+02
1.50611e+02 	 2.32057e+02
1.23427e+02 	 2.60231e+02
1.41465e+02 	 2.54814e+02
1.32797e+02 	 2.31783e+02
1.31892e+02 	 2.48349e+02
1.38768e+02 	 2.34097e+02
1.38745e+02 	 2.44739e+02
1.36905e+02 	 2.30143e+02
1.30482e+02 	 2.45332e+02
1.21032e+02 	 2.50445e+02
1.37329e+02 	 2.38169e+02
1.36198e+02 	 2.60412e+02
1.45656e+02 	 2.39148e+02
1.41059e+02 	 2.30903e+02
1.41441e+02 	 2.52202e+02
1.37862e+02 	 2.39279e+02
1.41171e+02 	 2.51959e+02
1.43994e+02 	 2.43764e+02
1.33645e+02 	 2.55865e+02
1.54956e+02 	 2.51405e+02
1.26791e+02 	 2.44970e+02
1.22170e+02 	 2.44470e+02
1.26296e+02 	 2.47015e+02
1.31751e+02 	 2.29624e+02
1.50005e+02 	 2.53641e+02
1.34635e+02 	 2.49695e+02
1.27322e+02 	 2.37775e+02
1.47451e+02 	 2.48061e+02
1.37487e+02 	 2.39500e+02
1.49634e+02 	 2.51255e+02
1.22362e+02 	 2.46066e+02
1.25885e+02 	 2.35075e+02
1.30919e+02 	 2.30243e+02
1.20645e+02 	 2.45363e+02
1.23600e+02 	 2.41424e+02
1.48158e+02 	 2.35677e+02
1.43311e+02 	 2.47710e+02
1.39443e+02 	 2.47879e+02
1.22743e+02 	 2.47198e+02
1.34414e+02 	 2.34361e+02
1.23083e+02 	 2.44923e+02
1.42359e+02 	 2.43105e+02
1.19735e+02 	 2.32471e+02
1.15690e+02 	 2.38621e+02
1.29870e+02 	 2.37827e+02
1.29037e+02 	 2.37942e+02
1.39487e+02 	 2.34534e+02
1.30060e+02 	 2.40457e+02
1.37213e+02 	 2.48782e+02
1.34835e+02 	 2.57729e+02
1.30723e+02 	 2.57212e+02
1.34421e+02 	 2.48239e+02
1.41488e+02 	 2.19737e+02
1.49111e+02 	 2.41193e+02
1.42099e+02 	 2.40602e+02
1.25682e+02 	 2.46506e+02
