# R[arcsec] 	 Vrms[km/s] 	 Erms[Km/s]
0.000000e+00 	 2.435360e+02 	 9.420872e+00
3.000000e-01 	 2.309443e+02 	 6.727415e+00
6.000000e-01 	 2.283604e+02 	 6.892114e+00
9.000000e-01 	 2.170869e+02 	 8.319864e+00
1.200000e+00 	 2.178581e+02 	 1.058417e+01
1.500000e+00 	 2.492831e+02 	 1.462560e+01
1.800000e+00 	 1.855124e+02 	 1.435320e+01
2.100000e+00 	 2.636418e+02 	 5.502795e+01
