# Vel [km/s] 	 Disp [km/s]
1.43353e+02 	 2.28838e+02
1.35028e+02 	 2.32143e+02
1.60695e+02 	 2.22527e+02
1.49443e+02 	 2.25804e+02
1.46095e+02 	 2.27801e+02
1.43814e+02 	 2.28716e+02
1.48358e+02 	 2.42965e+02
1.51727e+02 	 2.20001e+02
1.46904e+02 	 2.29794e+02
1.46959e+02 	 2.27019e+02
1.52812e+02 	 2.31503e+02
1.48230e+02 	 2.30194e+02
1.49935e+02 	 2.31989e+02
1.46572e+02 	 2.24956e+02
1.52014e+02 	 2.27362e+02
1.53278e+02 	 2.36685e+02
1.52732e+02 	 2.24754e+02
1.39964e+02 	 2.34664e+02
1.50977e+02 	 2.35957e+02
1.51432e+02 	 2.23488e+02
1.51381e+02 	 2.32723e+02
1.47604e+02 	 2.36573e+02
1.43279e+02 	 2.31626e+02
1.57408e+02 	 2.24889e+02
1.58881e+02 	 2.30458e+02
1.46230e+02 	 2.31134e+02
1.39036e+02 	 2.33715e+02
1.47366e+02 	 2.32504e+02
1.51572e+02 	 2.26890e+02
1.45352e+02 	 2.35508e+02
1.51335e+02 	 2.32163e+02
1.52612e+02 	 2.26248e+02
1.49649e+02 	 2.38682e+02
1.57786e+02 	 2.36754e+02
1.46457e+02 	 2.28992e+02
1.62553e+02 	 2.31461e+02
1.55831e+02 	 2.36501e+02
1.49396e+02 	 2.33635e+02
1.45118e+02 	 2.33815e+02
1.52611e+02 	 2.28607e+02
1.65896e+02 	 2.30912e+02
1.46664e+02 	 2.42042e+02
1.56788e+02 	 2.24228e+02
1.56552e+02 	 2.19893e+02
1.63506e+02 	 2.28084e+02
1.58155e+02 	 2.19335e+02
1.49713e+02 	 2.35197e+02
1.50836e+02 	 2.30389e+02
1.62066e+02 	 2.34869e+02
1.57509e+02 	 2.24091e+02
1.45560e+02 	 2.26559e+02
1.40718e+02 	 2.35174e+02
1.51211e+02 	 2.41325e+02
1.47028e+02 	 2.27430e+02
1.42582e+02 	 2.19930e+02
1.60278e+02 	 2.23617e+02
1.46884e+02 	 2.28591e+02
1.50892e+02 	 2.30278e+02
1.53612e+02 	 2.29821e+02
1.54180e+02 	 2.34017e+02
1.47839e+02 	 2.37387e+02
1.43732e+02 	 2.29864e+02
1.53499e+02 	 2.36980e+02
1.50297e+02 	 2.32991e+02
1.39069e+02 	 2.31341e+02
1.55245e+02 	 2.37200e+02
1.56275e+02 	 2.24845e+02
1.45877e+02 	 2.37785e+02
1.59522e+02 	 2.28957e+02
1.52057e+02 	 2.35432e+02
1.51443e+02 	 2.28951e+02
1.46819e+02 	 2.27892e+02
1.43119e+02 	 2.27619e+02
1.39593e+02 	 2.30551e+02
1.55245e+02 	 2.27516e+02
1.47554e+02 	 2.22917e+02
1.51647e+02 	 2.28436e+02
1.47454e+02 	 2.24438e+02
1.50678e+02 	 2.44449e+02
1.44560e+02 	 2.31721e+02
1.45022e+02 	 2.20861e+02
1.61799e+02 	 2.33249e+02
1.39872e+02 	 2.34832e+02
1.34304e+02 	 2.33393e+02
1.53842e+02 	 2.25589e+02
1.47789e+02 	 2.33834e+02
1.52437e+02 	 2.37057e+02
1.43639e+02 	 2.36089e+02
1.52109e+02 	 2.39248e+02
1.50366e+02 	 2.33082e+02
1.53437e+02 	 2.27694e+02
1.49882e+02 	 2.28707e+02
1.59902e+02 	 2.21784e+02
1.49241e+02 	 2.27768e+02
1.56188e+02 	 2.36070e+02
1.45858e+02 	 2.37466e+02
1.49962e+02 	 2.20990e+02
1.56132e+02 	 2.37201e+02
1.45584e+02 	 2.23376e+02
1.45804e+02 	 2.43631e+02
1.48056e+02 	 2.27095e+02
1.45544e+02 	 2.29104e+02
1.46004e+02 	 2.26937e+02
1.54601e+02 	 2.23035e+02
1.62368e+02 	 2.39135e+02
1.49688e+02 	 2.28147e+02
1.48042e+02 	 2.29831e+02
1.48063e+02 	 2.36586e+02
1.56415e+02 	 2.33732e+02
1.51128e+02 	 2.32146e+02
1.53041e+02 	 2.38164e+02
1.49703e+02 	 2.26826e+02
1.55988e+02 	 2.33804e+02
1.41648e+02 	 2.16347e+02
1.66921e+02 	 2.28812e+02
1.49185e+02 	 2.22876e+02
1.48371e+02 	 2.33024e+02
1.49637e+02 	 2.31571e+02
1.54687e+02 	 2.30940e+02
1.60064e+02 	 2.34342e+02
1.56489e+02 	 2.27152e+02
1.54528e+02 	 2.32012e+02
1.54649e+02 	 2.32856e+02
1.46215e+02 	 2.27505e+02
1.48805e+02 	 2.28102e+02
1.52901e+02 	 2.33010e+02
1.51633e+02 	 2.29878e+02
1.43998e+02 	 2.32439e+02
1.44320e+02 	 2.29514e+02
1.41066e+02 	 2.24104e+02
1.57645e+02 	 2.25296e+02
1.47053e+02 	 2.41457e+02
1.50106e+02 	 2.24366e+02
1.59327e+02 	 2.39942e+02
1.44654e+02 	 2.32972e+02
1.57969e+02 	 2.34515e+02
1.69852e+02 	 2.31086e+02
1.46489e+02 	 2.27506e+02
1.46354e+02 	 2.35186e+02
1.49792e+02 	 2.30221e+02
1.52731e+02 	 2.28571e+02
1.56946e+02 	 2.30269e+02
1.49692e+02 	 2.30264e+02
1.48450e+02 	 2.35376e+02
1.52662e+02 	 2.41722e+02
1.40431e+02 	 2.41363e+02
1.56503e+02 	 2.33796e+02
1.42902e+02 	 2.42976e+02
1.54071e+02 	 2.16638e+02
1.63883e+02 	 2.34335e+02
1.53135e+02 	 2.34934e+02
1.51162e+02 	 2.24599e+02
1.52662e+02 	 2.22310e+02
1.54628e+02 	 2.36905e+02
1.51895e+02 	 2.25857e+02
1.48746e+02 	 2.45226e+02
1.47026e+02 	 2.31212e+02
1.42161e+02 	 2.26977e+02
1.52597e+02 	 2.24886e+02
1.61718e+02 	 2.31471e+02
1.63411e+02 	 2.27213e+02
1.40265e+02 	 2.33027e+02
1.47141e+02 	 2.30369e+02
1.53002e+02 	 2.25633e+02
1.43716e+02 	 2.40037e+02
1.47957e+02 	 2.32401e+02
1.52319e+02 	 2.31630e+02
1.53778e+02 	 2.40266e+02
1.49081e+02 	 2.36088e+02
1.62319e+02 	 2.29068e+02
1.55977e+02 	 2.40377e+02
1.49241e+02 	 2.41088e+02
1.54976e+02 	 2.26343e+02
1.40066e+02 	 2.32705e+02
1.50500e+02 	 2.36363e+02
1.48179e+02 	 2.28663e+02
1.48591e+02 	 2.21301e+02
1.58802e+02 	 2.27549e+02
1.56990e+02 	 2.35795e+02
1.51760e+02 	 2.25460e+02
1.59823e+02 	 2.38125e+02
1.44576e+02 	 2.25438e+02
1.47223e+02 	 2.34513e+02
1.51490e+02 	 2.27679e+02
1.54627e+02 	 2.28353e+02
1.52450e+02 	 2.22440e+02
1.50665e+02 	 2.31205e+02
1.58630e+02 	 2.40300e+02
1.40337e+02 	 2.28901e+02
1.52717e+02 	 2.30955e+02
1.59991e+02 	 2.34721e+02
1.38978e+02 	 2.31669e+02
1.62172e+02 	 2.38848e+02
1.54238e+02 	 2.29530e+02
1.53983e+02 	 2.37632e+02
1.54042e+02 	 2.27619e+02
1.53415e+02 	 2.36806e+02
1.39895e+02 	 2.26567e+02
1.45595e+02 	 2.27487e+02
1.49713e+02 	 2.33610e+02
