# Vel [km/s] 	 Disp [km/s]
1.54404e+02 	 2.68857e+02
1.44931e+02 	 2.52178e+02
1.46066e+02 	 2.53634e+02
1.50727e+02 	 2.36128e+02
1.35785e+02 	 2.39160e+02
1.46286e+02 	 2.50452e+02
1.56150e+02 	 2.35347e+02
1.45147e+02 	 2.48869e+02
1.47077e+02 	 2.37925e+02
1.34244e+02 	 2.53212e+02
1.32913e+02 	 2.49649e+02
1.20045e+02 	 2.55488e+02
1.51587e+02 	 2.43755e+02
1.34497e+02 	 2.50418e+02
1.30945e+02 	 2.44244e+02
1.52431e+02 	 2.41137e+02
1.32254e+02 	 2.47861e+02
1.57876e+02 	 2.55708e+02
1.57160e+02 	 2.30764e+02
1.30213e+02 	 2.52970e+02
1.42918e+02 	 2.46901e+02
1.13159e+02 	 2.49782e+02
1.40190e+02 	 2.33188e+02
1.46682e+02 	 2.55664e+02
1.36460e+02 	 2.65831e+02
1.60061e+02 	 2.42115e+02
1.28326e+02 	 2.48492e+02
1.42595e+02 	 2.39019e+02
1.59040e+02 	 2.42363e+02
1.36198e+02 	 2.55247e+02
1.39264e+02 	 2.46782e+02
1.40223e+02 	 2.45278e+02
1.44295e+02 	 2.57631e+02
1.43231e+02 	 2.41115e+02
1.51645e+02 	 2.74761e+02
1.51425e+02 	 2.57990e+02
1.28869e+02 	 2.53872e+02
1.50390e+02 	 2.50938e+02
1.41458e+02 	 2.45948e+02
1.52764e+02 	 2.46426e+02
1.42537e+02 	 2.57149e+02
1.54002e+02 	 2.50858e+02
1.36991e+02 	 2.54787e+02
1.42707e+02 	 2.49344e+02
1.48903e+02 	 2.60996e+02
1.47272e+02 	 2.29924e+02
1.43232e+02 	 2.39136e+02
1.27008e+02 	 2.39310e+02
1.40393e+02 	 2.57953e+02
1.49077e+02 	 2.31979e+02
1.48434e+02 	 2.43351e+02
1.35901e+02 	 2.39021e+02
1.51394e+02 	 2.18960e+02
1.56571e+02 	 2.65744e+02
1.34426e+02 	 2.45419e+02
1.56845e+02 	 2.58181e+02
1.47761e+02 	 2.60590e+02
1.49220e+02 	 2.46963e+02
1.63327e+02 	 2.55995e+02
1.35738e+02 	 2.55218e+02
1.60946e+02 	 2.42953e+02
1.54771e+02 	 2.60441e+02
1.48755e+02 	 2.42993e+02
1.51699e+02 	 2.38992e+02
1.49172e+02 	 2.41736e+02
1.29742e+02 	 2.53707e+02
1.46940e+02 	 2.48808e+02
1.40592e+02 	 2.45377e+02
1.43357e+02 	 2.54815e+02
1.53322e+02 	 2.47458e+02
1.54453e+02 	 2.65977e+02
1.44131e+02 	 2.54957e+02
1.41321e+02 	 2.42526e+02
1.23850e+02 	 2.43675e+02
1.45286e+02 	 2.42573e+02
1.40500e+02 	 2.50660e+02
1.42242e+02 	 2.57009e+02
1.27289e+02 	 2.45500e+02
1.63337e+02 	 2.53905e+02
1.47499e+02 	 2.51535e+02
1.50084e+02 	 2.50821e+02
1.29014e+02 	 2.50453e+02
1.41729e+02 	 2.49736e+02
1.70735e+02 	 2.48308e+02
1.54895e+02 	 2.49559e+02
1.25389e+02 	 2.56577e+02
1.48274e+02 	 2.49519e+02
1.43263e+02 	 2.62407e+02
1.52750e+02 	 2.51741e+02
1.59585e+02 	 2.40515e+02
1.51208e+02 	 2.50181e+02
1.48116e+02 	 2.50586e+02
1.45250e+02 	 2.40041e+02
1.40295e+02 	 2.28370e+02
1.48287e+02 	 2.56868e+02
1.43163e+02 	 2.31907e+02
1.37707e+02 	 2.41085e+02
1.30215e+02 	 2.42936e+02
1.33772e+02 	 2.45402e+02
1.35850e+02 	 2.54959e+02
1.43430e+02 	 2.53979e+02
1.41941e+02 	 2.47135e+02
1.35860e+02 	 2.47690e+02
1.59169e+02 	 2.65029e+02
1.55358e+02 	 2.52888e+02
1.29248e+02 	 2.41812e+02
1.48400e+02 	 2.46484e+02
1.42798e+02 	 2.43344e+02
1.31481e+02 	 2.55369e+02
1.52286e+02 	 2.47694e+02
1.54333e+02 	 2.53020e+02
1.38488e+02 	 2.57487e+02
1.41232e+02 	 2.43848e+02
1.43907e+02 	 2.48400e+02
1.50060e+02 	 2.47968e+02
1.48408e+02 	 2.36686e+02
1.53266e+02 	 2.42881e+02
1.31460e+02 	 2.44586e+02
1.49874e+02 	 2.42447e+02
1.49658e+02 	 2.44156e+02
1.29527e+02 	 2.60364e+02
1.32745e+02 	 2.56094e+02
1.42176e+02 	 2.59523e+02
1.39325e+02 	 2.43145e+02
1.50066e+02 	 2.45449e+02
1.45474e+02 	 2.42540e+02
1.42238e+02 	 2.36223e+02
1.29316e+02 	 2.47551e+02
1.47863e+02 	 2.36401e+02
1.49172e+02 	 2.53581e+02
1.40709e+02 	 2.45161e+02
1.52891e+02 	 2.48086e+02
1.48383e+02 	 2.40446e+02
1.44115e+02 	 2.37778e+02
1.54877e+02 	 2.31412e+02
1.38116e+02 	 2.44958e+02
1.31692e+02 	 2.53702e+02
1.47632e+02 	 2.40263e+02
1.27160e+02 	 2.46059e+02
1.57863e+02 	 2.55971e+02
1.55616e+02 	 2.40811e+02
1.31757e+02 	 2.58869e+02
1.39857e+02 	 2.74235e+02
1.44244e+02 	 2.39842e+02
1.25549e+02 	 2.41567e+02
1.30905e+02 	 2.54462e+02
1.54702e+02 	 2.35530e+02
1.47775e+02 	 2.55370e+02
1.52474e+02 	 2.34715e+02
1.38255e+02 	 2.56661e+02
1.42971e+02 	 2.50354e+02
1.56277e+02 	 2.57483e+02
1.45120e+02 	 2.43329e+02
1.68600e+02 	 2.65918e+02
1.60518e+02 	 2.32858e+02
1.57571e+02 	 2.44264e+02
1.46725e+02 	 2.38759e+02
1.50643e+02 	 2.55417e+02
1.49556e+02 	 2.46313e+02
1.40077e+02 	 2.45617e+02
1.30570e+02 	 2.40611e+02
1.33708e+02 	 2.42274e+02
1.38560e+02 	 2.62806e+02
1.36990e+02 	 2.57840e+02
1.42121e+02 	 2.60281e+02
1.31543e+02 	 2.74297e+02
1.48489e+02 	 2.48063e+02
1.50250e+02 	 2.49015e+02
1.42352e+02 	 2.56822e+02
1.24050e+02 	 2.40864e+02
1.50399e+02 	 2.46210e+02
1.55376e+02 	 2.37359e+02
1.22789e+02 	 2.65112e+02
1.41094e+02 	 2.37844e+02
1.54386e+02 	 2.52112e+02
1.49466e+02 	 2.36117e+02
1.59942e+02 	 2.38959e+02
1.34558e+02 	 2.42464e+02
1.51776e+02 	 2.37167e+02
1.58988e+02 	 2.48807e+02
1.37773e+02 	 2.50348e+02
1.42806e+02 	 2.58878e+02
1.47961e+02 	 2.61018e+02
1.38297e+02 	 2.41200e+02
1.53628e+02 	 2.46942e+02
1.42541e+02 	 2.43752e+02
