# Vel [km/s] 	 Disp [km/s]
1.79026e+02 	 2.30590e+02
1.66414e+02 	 2.36989e+02
1.91222e+02 	 2.52002e+02
1.90072e+02 	 2.55656e+02
1.84304e+02 	 2.38578e+02
1.90372e+02 	 2.51458e+02
1.79367e+02 	 2.70332e+02
1.79402e+02 	 2.46211e+02
1.93747e+02 	 2.54443e+02
1.77257e+02 	 2.37568e+02
1.87832e+02 	 2.44041e+02
1.93743e+02 	 2.40412e+02
1.62753e+02 	 2.39651e+02
1.96775e+02 	 2.49514e+02
1.85257e+02 	 2.44132e+02
1.81860e+02 	 2.48820e+02
1.97003e+02 	 2.26063e+02
1.92102e+02 	 2.55250e+02
1.71541e+02 	 2.64105e+02
1.68883e+02 	 2.39601e+02
1.73397e+02 	 2.45031e+02
1.72460e+02 	 2.17669e+02
1.69340e+02 	 2.56727e+02
1.79357e+02 	 2.56961e+02
1.74739e+02 	 2.42209e+02
1.79543e+02 	 2.63564e+02
1.80380e+02 	 2.49323e+02
1.73802e+02 	 2.43183e+02
1.95119e+02 	 2.25727e+02
1.76004e+02 	 2.39889e+02
1.70239e+02 	 2.39132e+02
1.96448e+02 	 2.49312e+02
1.74377e+02 	 2.61966e+02
1.73373e+02 	 2.49185e+02
1.83857e+02 	 2.54565e+02
1.89133e+02 	 2.42092e+02
1.85682e+02 	 2.61459e+02
1.79618e+02 	 2.51375e+02
1.75813e+02 	 2.43387e+02
1.74924e+02 	 2.43887e+02
1.86859e+02 	 2.54825e+02
1.64701e+02 	 2.56163e+02
1.79226e+02 	 2.28886e+02
1.71083e+02 	 2.50887e+02
1.89863e+02 	 2.47599e+02
1.87418e+02 	 2.62207e+02
1.71572e+02 	 2.27826e+02
1.86880e+02 	 2.91476e+02
1.80417e+02 	 2.43846e+02
1.97355e+02 	 2.62595e+02
1.88128e+02 	 2.45233e+02
1.91575e+02 	 2.34566e+02
1.77245e+02 	 2.39823e+02
1.76880e+02 	 2.38410e+02
1.91151e+02 	 2.49948e+02
1.74158e+02 	 2.58808e+02
1.85851e+02 	 2.61889e+02
1.95644e+02 	 2.69522e+02
1.95832e+02 	 2.40982e+02
1.83779e+02 	 2.41952e+02
1.98729e+02 	 2.41240e+02
1.81210e+02 	 2.43900e+02
1.80521e+02 	 2.47033e+02
1.66992e+02 	 2.24132e+02
1.93224e+02 	 2.45660e+02
1.76103e+02 	 2.33895e+02
1.90577e+02 	 2.41427e+02
1.63552e+02 	 2.47241e+02
1.91560e+02 	 2.51845e+02
2.02388e+02 	 2.45955e+02
1.67882e+02 	 2.45276e+02
1.80955e+02 	 2.66172e+02
1.75897e+02 	 2.61608e+02
1.84966e+02 	 2.46781e+02
1.76666e+02 	 2.49258e+02
1.93320e+02 	 2.31846e+02
2.03950e+02 	 2.42679e+02
1.70016e+02 	 2.41472e+02
1.96059e+02 	 2.52665e+02
1.79503e+02 	 2.55232e+02
1.70611e+02 	 2.64692e+02
2.00689e+02 	 2.56346e+02
1.99366e+02 	 2.47757e+02
1.80929e+02 	 2.40618e+02
2.00537e+02 	 2.40054e+02
1.78676e+02 	 2.54080e+02
1.73033e+02 	 2.55476e+02
1.89067e+02 	 2.59563e+02
1.80749e+02 	 2.55358e+02
1.85206e+02 	 2.31988e+02
1.69651e+02 	 2.33046e+02
1.84197e+02 	 2.47552e+02
1.64744e+02 	 2.60248e+02
1.67257e+02 	 2.46478e+02
1.74951e+02 	 2.56474e+02
1.89503e+02 	 2.48152e+02
1.69716e+02 	 2.67822e+02
1.77049e+02 	 2.61817e+02
1.79910e+02 	 2.83340e+02
1.92749e+02 	 2.52869e+02
1.79702e+02 	 2.49993e+02
1.88955e+02 	 2.38389e+02
1.83816e+02 	 2.47911e+02
1.78141e+02 	 2.69713e+02
1.87981e+02 	 2.42908e+02
1.78627e+02 	 2.30056e+02
1.76988e+02 	 2.56994e+02
1.75959e+02 	 2.31468e+02
1.76828e+02 	 2.37707e+02
1.86664e+02 	 2.30264e+02
1.94401e+02 	 2.44217e+02
1.79354e+02 	 2.25978e+02
1.64626e+02 	 2.30370e+02
1.78894e+02 	 2.62990e+02
1.85944e+02 	 2.43874e+02
1.73927e+02 	 2.32357e+02
1.77420e+02 	 2.54619e+02
1.85831e+02 	 2.27933e+02
1.86723e+02 	 2.64632e+02
1.95792e+02 	 2.61783e+02
