# x[px] 		 y[px] 		 Vrms[kms⁻¹] 		 Erms[kms⁻¹]
2.198979746386290e+01 -2.239305266144589e+01 2.930611877441406e+02 5.710948467254639e+00
2.291698131842968e+01 -2.201844606802998e+01 2.930611877441406e+02 5.710948467254639e+00
2.384416517299647e+01 -2.164383947461407e+01 2.930611877441406e+02 5.710948467254639e+00
2.477134902756326e+01 -2.126923288119816e+01 2.930611877441406e+02 5.710948467254639e+00
2.569853288213005e+01 -2.089462628778224e+01 2.900201721191406e+02 6.932975292205811e+00
2.662571673669684e+01 -2.052001969436633e+01 2.900201721191406e+02 6.932975292205811e+00
2.755290059126362e+01 -2.014541310095042e+01 2.900201721191406e+02 6.932975292205811e+00
2.848008444583041e+01 -1.977080650753451e+01 2.795461730957031e+02 8.892334938049316e+00
2.940726830039720e+01 -1.939619991411860e+01 2.795461730957031e+02 8.892334938049316e+00
3.033445215496398e+01 -1.902159332070269e+01 2.795461730957031e+02 8.892334938049316e+00
3.126163600953077e+01 -1.864698672728677e+01 2.875028381347656e+02 1.007656764984131e+01
3.218881986409756e+01 -1.827238013387086e+01 2.875028381347656e+02 1.007656764984131e+01
3.311600371866435e+01 -1.789777354045495e+01 2.721914978027344e+02 9.096488952636719e+00
3.404318757323114e+01 -1.752316694703904e+01 2.721914978027344e+02 9.096488952636719e+00
3.497037142779792e+01 -1.714856035362313e+01 2.842728881835938e+02 1.077946472167969e+01
3.589755528236471e+01 -1.677395376020721e+01 2.842728881835938e+02 1.077946472167969e+01
3.682473913693150e+01 -1.639934716679130e+01 2.821408996582031e+02 1.114881896972656e+01
3.775192299149828e+01 -1.602474057337539e+01 2.821408996582031e+02 1.114881896972656e+01
3.867910684606507e+01 -1.565013397995948e+01 3.074966125488281e+02 1.681470298767090e+01
3.960629070063186e+01 -1.527552738654356e+01 3.031728820800781e+02 1.616935539245605e+01
-1.547216331222451e+01 -3.645013254351559e+01 2.648367919921875e+02 2.347509384155273e+01
-1.454497945765772e+01 -3.607552595009967e+01 2.850688171386719e+02 1.975656890869141e+01
-1.361779560309094e+01 -3.570091935668376e+01 2.831891784667969e+02 1.945791435241699e+01
-1.269061174852415e+01 -3.532631276326785e+01 2.831891784667969e+02 1.945791435241699e+01
-1.176342789395736e+01 -3.495170616985194e+01 2.626545715332031e+02 1.816491317749023e+01
-1.083624403939057e+01 -3.457709957643603e+01 2.951261291503906e+02 2.076451301574707e+01
-9.909060184823785e+00 -3.420249298302011e+01 3.031728820800781e+02 1.616935539245605e+01
-8.981876330257000e+00 -3.382788638960420e+01 3.031728820800781e+02 1.616935539245605e+01
-8.054692475690212e+00 -3.345327979618829e+01 3.074966125488281e+02 1.681470298767090e+01
-7.127508621123424e+00 -3.307867320277238e+01 3.074966125488281e+02 1.681470298767090e+01
-6.200324766556639e+00 -3.270406660935647e+01 2.821408996582031e+02 1.114881896972656e+01
-5.273140911989850e+00 -3.232946001594055e+01 2.842728881835938e+02 1.077946472167969e+01
-4.345957057423062e+00 -3.195485342252464e+01 2.842728881835938e+02 1.077946472167969e+01
-3.418773202856274e+00 -3.158024682910873e+01 2.721914978027344e+02 9.096488952636719e+00
-2.491589348289487e+00 -3.120564023569282e+01 2.721914978027344e+02 9.096488952636719e+00
-1.564405493722701e+00 -3.083103364227690e+01 2.875028381347656e+02 1.007656764984131e+01
-6.372216391559125e-01 -3.045642704886099e+01 2.875028381347656e+02 1.007656764984131e+01
2.899622154108759e-01 -3.008182045544508e+01 2.795461730957031e+02 8.892334938049316e+00
1.217146069977662e+00 -2.970721386202917e+01 2.795461730957031e+02 8.892334938049316e+00
2.144329924544449e+00 -2.933260726861326e+01 2.900201721191406e+02 6.932975292205811e+00
3.071513779111237e+00 -2.895800067519734e+01 2.900201721191406e+02 6.932975292205811e+00
3.998697633678025e+00 -2.858339408178143e+01 2.930611877441406e+02 5.710948467254639e+00
4.925881488244812e+00 -2.820878748836552e+01 2.930611877441406e+02 5.710948467254639e+00
5.853065342811600e+00 -2.783418089494961e+01 2.930611877441406e+02 5.710948467254639e+00
6.780249197378387e+00 -2.745957430153370e+01 2.823609619140625e+02 6.177535533905029e+00
7.707433051945174e+00 -2.708496770811778e+01 2.823609619140625e+02 6.177535533905029e+00
8.634616906511962e+00 -2.671036111470187e+01 2.823609619140625e+02 6.177535533905029e+00
9.561800761078750e+00 -2.633575452128596e+01 2.823609619140625e+02 6.177535533905029e+00
1.048898461564554e+01 -2.596114792787005e+01 2.894122924804688e+02 5.593411445617676e+00
1.141616847021232e+01 -2.558654133445414e+01 2.894122924804688e+02 5.593411445617676e+00
1.234335232477911e+01 -2.521193474103822e+01 2.894122924804688e+02 5.593411445617676e+00
1.327053617934590e+01 -2.483732814762231e+01 2.894122924804688e+02 5.593411445617676e+00
1.419772003391269e+01 -2.446272155420640e+01 2.894122924804688e+02 5.593411445617676e+00
1.512490388847947e+01 -2.408811496079049e+01 2.894122924804688e+02 5.593411445617676e+00
1.605208774304626e+01 -2.371350836737458e+01 2.894122924804688e+02 5.593411445617676e+00
1.697927159761305e+01 -2.333890177395866e+01 2.894122924804688e+02 5.593411445617676e+00
1.790645545217983e+01 -2.296429518054275e+01 2.894122924804688e+02 5.593411445617676e+00
1.883363930674663e+01 -2.258968858712684e+01 2.894122924804688e+02 5.593411445617676e+00
1.976082316131341e+01 -2.221508199371093e+01 2.894122924804688e+02 5.593411445617676e+00
2.068800701588020e+01 -2.184047540029502e+01 2.894122924804688e+02 5.593411445617676e+00
2.161519087044699e+01 -2.146586880687910e+01 2.823609619140625e+02 6.177535533905029e+00
2.254237472501377e+01 -2.109126221346319e+01 2.823609619140625e+02 6.177535533905029e+00
2.346955857958056e+01 -2.071665562004728e+01 2.823609619140625e+02 6.177535533905029e+00
2.439674243414735e+01 -2.034204902663137e+01 2.823609619140625e+02 6.177535533905029e+00
2.532392628871413e+01 -1.996744243321546e+01 2.930611877441406e+02 5.710948467254639e+00
2.625111014328093e+01 -1.959283583979954e+01 2.930611877441406e+02 5.710948467254639e+00
2.717829399784771e+01 -1.921822924638363e+01 2.930611877441406e+02 5.710948467254639e+00
2.810547785241450e+01 -1.884362265296772e+01 2.900201721191406e+02 6.932975292205811e+00
2.903266170698129e+01 -1.846901605955181e+01 2.900201721191406e+02 6.932975292205811e+00
2.995984556154807e+01 -1.809440946613590e+01 2.900201721191406e+02 6.932975292205811e+00
3.088702941611486e+01 -1.771980287271998e+01 2.795461730957031e+02 8.892334938049316e+00
3.181421327068165e+01 -1.734519627930407e+01 2.795461730957031e+02 8.892334938049316e+00
3.274139712524843e+01 -1.697058968588816e+01 2.875028381347656e+02 1.007656764984131e+01
3.366858097981522e+01 -1.659598309247225e+01 2.875028381347656e+02 1.007656764984131e+01
3.459576483438201e+01 -1.622137649905633e+01 2.721914978027344e+02 9.096488952636719e+00
3.552294868894879e+01 -1.584676990564042e+01 2.721914978027344e+02 9.096488952636719e+00
3.645013254351559e+01 -1.547216331222451e+01 2.842728881835938e+02 1.077946472167969e+01
3.737731639808237e+01 -1.509755671880860e+01 2.821408996582031e+02 1.114881896972656e+01
3.830450025264916e+01 -1.472295012539269e+01 2.821408996582031e+02 1.114881896972656e+01
3.923168410721595e+01 -1.434834353197678e+01 3.074966125488281e+02 1.681470298767090e+01
-1.584676990564042e+01 -3.552294868894879e+01 2.850688171386719e+02 1.975656890869141e+01
-1.491958605107363e+01 -3.514834209553288e+01 2.831891784667969e+02 1.945791435241699e+01
-1.399240219650685e+01 -3.477373550211697e+01 2.626545715332031e+02 1.816491317749023e+01
-1.306521834194006e+01 -3.439912890870106e+01 2.626545715332031e+02 1.816491317749023e+01
-1.213803448737327e+01 -3.402452231528515e+01 2.951261291503906e+02 2.076451301574707e+01
-1.121085063280649e+01 -3.364991572186923e+01 3.031728820800781e+02 1.616935539245605e+01
-1.028366677823970e+01 -3.327530912845332e+01 3.074966125488281e+02 1.681470298767090e+01
-9.356482923672912e+00 -3.290070253503741e+01 3.074966125488281e+02 1.681470298767090e+01
-8.429299069106124e+00 -3.252609594162150e+01 2.821408996582031e+02 1.114881896972656e+01
-7.502115214539335e+00 -3.215148934820559e+01 2.842728881835938e+02 1.077946472167969e+01
-6.574931359972551e+00 -3.177688275478967e+01 2.842728881835938e+02 1.077946472167969e+01
-5.647747505405762e+00 -3.140227616137376e+01 2.721914978027344e+02 9.096488952636719e+00
-4.720563650838974e+00 -3.102766956795785e+01 2.721914978027344e+02 9.096488952636719e+00
-3.793379796272186e+00 -3.065306297454194e+01 2.875028381347656e+02 1.007656764984131e+01
-2.866195941705399e+00 -3.027845638112603e+01 2.795461730957031e+02 8.892334938049316e+00
-1.939012087138613e+00 -2.990384978771012e+01 2.795461730957031e+02 8.892334938049316e+00
-1.011828232571824e+00 -2.952924319429420e+01 2.900201721191406e+02 6.932975292205811e+00
-8.464437800503610e-02 -2.915463660087829e+01 2.900201721191406e+02 6.932975292205811e+00
8.425394765617504e-01 -2.878003000746238e+01 2.930611877441406e+02 5.710948467254639e+00
1.769723331128537e+00 -2.840542341404647e+01 2.930611877441406e+02 5.710948467254639e+00
2.696907185695325e+00 -2.803081682063056e+01 2.930611877441406e+02 5.710948467254639e+00
3.624091040262113e+00 -2.765621022721464e+01 2.823609619140625e+02 6.177535533905029e+00
4.551274894828900e+00 -2.728160363379873e+01 2.823609619140625e+02 6.177535533905029e+00
5.478458749395688e+00 -2.690699704038282e+01 2.894122924804688e+02 5.593411445617676e+00
6.405642603962475e+00 -2.653239044696691e+01 2.894122924804688e+02 5.593411445617676e+00
7.332826458529262e+00 -2.615778385355100e+01 2.894122924804688e+02 5.593411445617676e+00
8.260010313096050e+00 -2.578317726013508e+01 2.894122924804688e+02 5.593411445617676e+00
9.187194167662838e+00 -2.540857066671917e+01 2.932249755859375e+02 6.529096603393555e+00
1.011437802222962e+01 -2.503396407330326e+01 2.932249755859375e+02 6.529096603393555e+00
1.104156187679641e+01 -2.465935747988735e+01 2.932249755859375e+02 6.529096603393555e+00
1.196874573136320e+01 -2.428475088647144e+01 2.932249755859375e+02 6.529096603393555e+00
1.289592958592999e+01 -2.391014429305552e+01 2.932249755859375e+02 6.529096603393555e+00
1.382311344049677e+01 -2.353553769963961e+01 2.932249755859375e+02 6.529096603393555e+00
1.475029729506356e+01 -2.316093110622370e+01 2.932249755859375e+02 6.529096603393555e+00
1.567748114963035e+01 -2.278632451280779e+01 2.932249755859375e+02 6.529096603393555e+00
1.660466500419714e+01 -2.241171791939188e+01 2.932249755859375e+02 6.529096603393555e+00
1.753184885876392e+01 -2.203711132597596e+01 2.932249755859375e+02 6.529096603393555e+00
1.845903271333071e+01 -2.166250473256005e+01 2.932249755859375e+02 6.529096603393555e+00
1.938621656789750e+01 -2.128789813914414e+01 2.932249755859375e+02 6.529096603393555e+00
2.031340042246428e+01 -2.091329154572823e+01 2.932249755859375e+02 6.529096603393555e+00
2.124058427703108e+01 -2.053868495231232e+01 2.932249755859375e+02 6.529096603393555e+00
2.216776813159786e+01 -2.016407835889640e+01 2.894122924804688e+02 5.593411445617676e+00
2.309495198616465e+01 -1.978947176548049e+01 2.894122924804688e+02 5.593411445617676e+00
2.402213584073144e+01 -1.941486517206458e+01 2.894122924804688e+02 5.593411445617676e+00
2.494931969529822e+01 -1.904025857864867e+01 2.894122924804688e+02 5.593411445617676e+00
2.587650354986501e+01 -1.866565198523276e+01 2.823609619140625e+02 6.177535533905029e+00
2.680368740443180e+01 -1.829104539181684e+01 2.823609619140625e+02 6.177535533905029e+00
2.773087125899858e+01 -1.791643879840093e+01 2.930611877441406e+02 5.710948467254639e+00
2.865805511356537e+01 -1.754183220498502e+01 2.930611877441406e+02 5.710948467254639e+00
2.958523896813216e+01 -1.716722561156911e+01 2.930611877441406e+02 5.710948467254639e+00
3.051242282269894e+01 -1.679261901815320e+01 2.900201721191406e+02 6.932975292205811e+00
3.143960667726574e+01 -1.641801242473728e+01 2.900201721191406e+02 6.932975292205811e+00
3.236679053183252e+01 -1.604340583132137e+01 2.795461730957031e+02 8.892334938049316e+00
3.329397438639931e+01 -1.566879923790546e+01 2.795461730957031e+02 8.892334938049316e+00
3.422115824096610e+01 -1.529419264448955e+01 2.875028381347656e+02 1.007656764984131e+01
3.514834209553288e+01 -1.491958605107363e+01 2.721914978027344e+02 9.096488952636719e+00
3.607552595009967e+01 -1.454497945765772e+01 2.721914978027344e+02 9.096488952636719e+00
3.700270980466646e+01 -1.417037286424181e+01 2.842728881835938e+02 1.077946472167969e+01
3.792989365923324e+01 -1.379576627082590e+01 2.842728881835938e+02 1.077946472167969e+01
3.885707751380004e+01 -1.342115967740999e+01 2.821408996582031e+02 1.114881896972656e+01
-1.622137649905633e+01 -3.459576483438201e+01 2.831891784667969e+02 1.945791435241699e+01
-1.529419264448955e+01 -3.422115824096610e+01 2.626545715332031e+02 1.816491317749023e+01
-1.436700878992276e+01 -3.384655164755019e+01 2.951261291503906e+02 2.076451301574707e+01
-1.343982493535597e+01 -3.347194505413427e+01 2.951261291503906e+02 2.076451301574707e+01
-1.251264108078919e+01 -3.309733846071836e+01 3.031728820800781e+02 1.616935539245605e+01
-1.158545722622240e+01 -3.272273186730245e+01 3.074966125488281e+02 1.681470298767090e+01
-1.065827337165561e+01 -3.234812527388654e+01 2.821408996582031e+02 1.114881896972656e+01
-9.731089517088824e+00 -3.197351868047063e+01 2.821408996582031e+02 1.114881896972656e+01
-8.803905662522036e+00 -3.159891208705471e+01 2.842728881835938e+02 1.077946472167969e+01
-7.876721807955247e+00 -3.122430549363880e+01 2.721914978027344e+02 9.096488952636719e+00
-6.949537953388463e+00 -3.084969890022289e+01 2.721914978027344e+02 9.096488952636719e+00
-6.022354098821674e+00 -3.047509230680698e+01 2.875028381347656e+02 1.007656764984131e+01
-5.095170244254886e+00 -3.010048571339107e+01 2.795461730957031e+02 8.892334938049316e+00
-4.167986389688098e+00 -2.972587911997515e+01 2.795461730957031e+02 8.892334938049316e+00
-3.240802535121311e+00 -2.935127252655924e+01 2.900201721191406e+02 6.932975292205811e+00
-2.313618680554525e+00 -2.897666593314333e+01 2.900201721191406e+02 6.932975292205811e+00
-1.386434825987736e+00 -2.860205933972742e+01 2.930611877441406e+02 5.710948467254639e+00
-4.592509714209481e-01 -2.822745274631151e+01 2.930611877441406e+02 5.710948467254639e+00
4.679328831458385e-01 -2.785284615289559e+01 2.823609619140625e+02 6.177535533905029e+00
1.395116737712625e+00 -2.747823955947968e+01 2.823609619140625e+02 6.177535533905029e+00
2.322300592279413e+00 -2.710363296606377e+01 2.894122924804688e+02 5.593411445617676e+00
3.249484446846201e+00 -2.672902637264786e+01 2.894122924804688e+02 5.593411445617676e+00
4.176668301412988e+00 -2.635441977923195e+01 2.894122924804688e+02 5.593411445617676e+00
5.103852155979776e+00 -2.597981318581603e+01 2.932249755859375e+02 6.529096603393555e+00
6.031036010546563e+00 -2.560520659240012e+01 2.932249755859375e+02 6.529096603393555e+00
6.958219865113350e+00 -2.523059999898421e+01 2.932249755859375e+02 6.529096603393555e+00
7.885403719680138e+00 -2.485599340556830e+01 2.935903930664062e+02 5.556482791900635e+00
8.812587574246926e+00 -2.448138681215239e+01 2.935903930664062e+02 5.556482791900635e+00
9.739771428813713e+00 -2.410678021873647e+01 2.935903930664062e+02 5.556482791900635e+00
1.066695528338050e+01 -2.373217362532056e+01 2.935903930664062e+02 5.556482791900635e+00
1.159413913794729e+01 -2.335756703190465e+01 2.935903930664062e+02 5.556482791900635e+00
1.252132299251408e+01 -2.298296043848874e+01 2.935903930664062e+02 5.556482791900635e+00
1.344850684708086e+01 -2.260835384507283e+01 2.881392211914062e+02 5.851551532745361e+00
1.437569070164765e+01 -2.223374725165692e+01 2.881392211914062e+02 5.851551532745361e+00
1.530287455621444e+01 -2.185914065824100e+01 2.881392211914062e+02 5.851551532745361e+00
1.623005841078123e+01 -2.148453406482509e+01 2.881392211914062e+02 5.851551532745361e+00
1.715724226534801e+01 -2.110992747140918e+01 2.935903930664062e+02 5.556482791900635e+00
1.808442611991480e+01 -2.073532087799327e+01 2.935903930664062e+02 5.556482791900635e+00
1.901160997448159e+01 -2.036071428457736e+01 2.935903930664062e+02 5.556482791900635e+00
1.993879382904837e+01 -1.998610769116144e+01 2.935903930664062e+02 5.556482791900635e+00
2.086597768361516e+01 -1.961150109774553e+01 2.935903930664062e+02 5.556482791900635e+00
2.179316153818195e+01 -1.923689450432962e+01 2.935903930664062e+02 5.556482791900635e+00
2.272034539274874e+01 -1.886228791091371e+01 2.932249755859375e+02 6.529096603393555e+00
2.364752924731552e+01 -1.848768131749780e+01 2.932249755859375e+02 6.529096603393555e+00
2.457471310188231e+01 -1.811307472408188e+01 2.932249755859375e+02 6.529096603393555e+00
2.550189695644910e+01 -1.773846813066597e+01 2.894122924804688e+02 5.593411445617676e+00
2.642908081101589e+01 -1.736386153725006e+01 2.894122924804688e+02 5.593411445617676e+00
2.735626466558267e+01 -1.698925494383415e+01 2.894122924804688e+02 5.593411445617676e+00
2.828344852014946e+01 -1.661464835041824e+01 2.823609619140625e+02 6.177535533905029e+00
2.921063237471625e+01 -1.624004175700232e+01 2.823609619140625e+02 6.177535533905029e+00
3.013781622928303e+01 -1.586543516358641e+01 2.930611877441406e+02 5.710948467254639e+00
3.106500008384982e+01 -1.549082857017050e+01 2.930611877441406e+02 5.710948467254639e+00
3.199218393841661e+01 -1.511622197675459e+01 2.900201721191406e+02 6.932975292205811e+00
3.291936779298340e+01 -1.474161538333867e+01 2.900201721191406e+02 6.932975292205811e+00
3.384655164755019e+01 -1.436700878992276e+01 2.795461730957031e+02 8.892334938049316e+00
3.477373550211697e+01 -1.399240219650685e+01 2.875028381347656e+02 1.007656764984131e+01
3.570091935668376e+01 -1.361779560309094e+01 2.875028381347656e+02 1.007656764984131e+01
3.662810321125055e+01 -1.324318900967503e+01 2.721914978027344e+02 9.096488952636719e+00
3.755528706581733e+01 -1.286858241625911e+01 2.842728881835938e+02 1.077946472167969e+01
3.848247092038412e+01 -1.249397582284320e+01 2.842728881835938e+02 1.077946472167969e+01
-1.659598309247225e+01 -3.366858097981522e+01 2.626545715332031e+02 1.816491317749023e+01
-1.566879923790546e+01 -3.329397438639931e+01 2.951261291503906e+02 2.076451301574707e+01
-1.474161538333867e+01 -3.291936779298340e+01 3.031728820800781e+02 1.616935539245605e+01
-1.381443152877189e+01 -3.254476119956749e+01 3.074966125488281e+02 1.681470298767090e+01
-1.288724767420510e+01 -3.217015460615158e+01 3.074966125488281e+02 1.681470298767090e+01
-1.196006381963831e+01 -3.179554801273567e+01 2.821408996582031e+02 1.114881896972656e+01
-1.103287996507152e+01 -3.142094141931975e+01 2.842728881835938e+02 1.077946472167969e+01
-1.010569611050474e+01 -3.104633482590384e+01 2.842728881835938e+02 1.077946472167969e+01
-9.178512255937948e+00 -3.067172823248793e+01 2.721914978027344e+02 9.096488952636719e+00
-8.251328401371159e+00 -3.029712163907201e+01 2.875028381347656e+02 1.007656764984131e+01
-7.324144546804375e+00 -2.992251504565610e+01 2.875028381347656e+02 1.007656764984131e+01
