galaxies_lens_mass_centre_0,galaxies_lens_mass_centre_1,galaxies_lens_mass_elliptical_comps_0,galaxies_lens_mass_elliptical_comps_1,galaxies_lens_mass_einstein_radius,galaxies_source_regularization_coefficient,log_likelihood,log_prior,log_posterior,weights
0.22204630621634777,-0.2966091698549834,0.056287036347507646,0.19692583717937784,2.7177740049634465,9.016459437372102e-06,55043.94341418357,110909.1496582456,165953.09307242918,0.0
0.7116811934268052,0.007361562863288312,-0.2517698733011988,-0.6068195661180364,3.053475066600378,7.819133116156118e-06,55891.62939381265,127894.25076685373,183785.88016066636,0.0
-0.4801308037207724,0.09775266901726375,0.2259515545169788,-0.6749900853111481,2.433792994270693,3.0822384874981666e-06,56222.816404420715,324441.39470179245,380664.21110621316,0.0
0.08766701687313434,0.11437167102427563,-0.14629693083851558,-0.2949194659903156,2.832629345578249,0.00244249278784677,56443.721700571274,409.5607108366953,56853.28241140797,0.0
0.09427828118036699,-0.44319353777203374,-0.8424046869399722,-0.21045600034194822,3.469452489090809,3.98839340329636e-06,56676.71082243004,250729.20357820587,307405.9144006359,0.0
0.06647197263172833,-0.25194650095283894,-0.3663292972035217,0.09322265814895836,3.192868252437752,0.0002756084192946575,56737.059924893314,3628.8313503051168,60365.89127519843,0.0
-0.1715159279247037,-0.40817591385790447,0.760952686012007,0.0037554057324553636,3.3586744092224117,0.00020269428624388196,56796.33452835426,4934.961238678683,61731.29576703294,0.0
-0.3449559598015542,-0.2009092533819616,-0.5956077616729469,0.4914109549106369,2.7947847400085526,0.00025211991842068686,57100.52148768954,3967.3000184424113,61067.82150613195,0.0
-0.3896595739686474,0.08359813916681942,0.1696021954212521,0.13362503919916136,3.5021342645814495,0.003111208611469769,57346.74644663836,322.91055414904406,57669.6570007874,0.0
0.4594489886334159,0.2616430229441652,0.6153144675765705,0.49513136506399347,2.8166793942919623,8.573344203122555e-05,57476.0357872821,11665.64846847242,69141.68425575452,0.0
0.219412183412525,0.06421551950647562,-0.5458639408386239,-0.27775884694823905,3.5624071817861673,0.0028959789625085976,57557.43343866064,346.3468239298181,57903.78026259046,0.0
0.3325774168622794,0.21078432118469861,0.03566175755957701,-0.8468359167186628,2.6144839843504815,5.088006302506243e-06,57688.019949173984,196541.723511161,254229.74346033498,0.0
-0.02450085093971388,-0.10490399443142233,-0.07319101994783028,-0.5055993331565121,3.4808829482244557,0.0011299082720017356,57893.39855223267,885.6557409298291,58779.054293162495,0.0
0.3804777573611749,0.15730298495629788,0.27185775444936766,0.4486624061372202,2.970920504292462,0.09995997572162298,58065.63725021472,10.9465879927703,58076.583838207494,0.0
-0.12666479368084466,0.39105423457109156,0.8386501897601997,-0.34278111916638054,2.883562360083172,0.00015202938367330195,58086.38961335531,6578.623349576506,64665.01296293182,0.0
0.5800142861208762,0.0528004968584375,-0.19366863689214608,0.9648036693324249,2.0800882794131335,3.2149397791210135e-05,58287.756506778824,31108.1796594986,89395.93616627742,0.0
-0.1635440967427429,-0.21853497883130424,-0.41910100268309813,0.9448559613140253,2.2280119194558425,2.1495187776934027e-05,58317.59286974318,46523.49711734409,104841.08998708727,0.0
-0.2411602872921111,0.26969265981316,-0.8679243424778629,0.6158515483796072,2.2738442888747827,4.702018222290238e-05,58403.52366911991,21269.104857749153,79672.62852686906,0.0
0.26690760397337665,-0.05285717625394741,0.17193613720108814,0.6639651420113832,2.9049697327052026,0.029540055891977186,58518.63484708563,34.267692420116155,58552.90253950575,0.0
-0.4730135539571418,-0.44926036426359756,0.5901785180426209,0.28819964785283214,4.144583915820899,0.0015706743462220259,58585.59186966597,641.887589518916,59227.47945918489,0.0
0.2826314461590657,0.05346470823215187,0.031201708393465477,-0.6582565725189651,3.467168342556846,0.07015937835982736,58726.83376554336,15.247849330670789,58742.08161487403,0.0
0.0824856647302988,-0.3055896619699656,0.9403704869861844,-0.5244793366760125,2.480129977696761,9393.304656762231,58770.259707959725,0.9982672811297845,58771.25797524086,0.0
0.16023650014259744,0.44854911048416335,0.19758438571474457,-0.11822330214180421,3.109142664126212,0.02314907209215972,58808.53831645745,44.50932876760702,58853.04764522506,0.0
-0.15766250003343807,-0.23769128548659468,-0.8929654877497084,0.8587020149667111,3.7784517768049213,0.00025709514970650825,58889.4724579178,3891.435158880006,62780.907616797806,0.0
0.07596620989876736,0.3017251290141083,0.7617104779947865,-0.982225484077345,2.6347262278662287,0.00028219049366100187,58910.45950093735,3544.442106714404,62454.90160765176,0.0
-0.6509706012746059,0.172911437383353,0.8433503975442229,-0.2817229313940637,2.6081126843941425,0.001173898773002505,58912.72944533235,854.6163206269131,59767.34576595926,0.0
0.163056031302297,0.07803032460305835,0.9937468479018094,0.7018048141817759,3.46760290120236,0.00033931602030468793,58986.08901725514,2947.8225356322378,61933.91155288737,0.0
0.05631983626279203,0.15834701129424966,0.990876383081168,0.9873629631419916,2.543069156163347,5547.421980915119,58994.981791424805,0.48828624248147084,58995.47007766728,0.0
0.6639261770114178,0.05361600902111286,-0.33951880118139144,-0.9257772195069585,1.6940908868176525,0.00048098725060093,59105.98154966794,2084.6766499769765,61190.65819964491,0.0
0.587803228355527,0.8887527669855857,0.5336118683400046,-0.46104183589723835,3.3789295507792954,0.004388157812805363,59196.16278936528,234.56176743483513,59430.72455680011,0.0
-0.3158906229717368,0.2574170783300623,-0.531894110736765,0.48967921331994413,2.287373333278324,0.04705277449615571,59328.824691816364,23.05338249940432,59351.87807431577,0.0
